-----
{
 "description": "Formulation of overall DRDO budget based on the assessment made from the analysis of demands received from labs/estts.Allocation and Priority based enhancement of allocations (where necessary) of funds to labs/estts/programmes/high value projects.Formulation of Revised Budget Estimates (RE) based...", 
 "file_name": "Budgetary_allocations_for_different_technology_Clusters.xls", 
 "title": "Annual Buget for Different Technology Cluster of DRDO ", 
 "url": "http://data.gov.in/sites/default/files/Budgetary_allocations_for_different_technology_Clusters.xls"
}
-----
"Field","Budget - FY 08-09 ( in Crore)","Percentage % - FY 08-09","Budget - FY 09-10 (in Crore)","Percentage % - FY 09-10","Budget -  FY 10-11 (in Crore)","Percentage % - FY 10-11"
"Naval Systems",1255.8,26.4,142.14,2.44,2382.62,31.39
"Missiles",1384.24,29.1,3496.336,59.9,2339.8,30.83
"Aeronautics",1341.42,28.2,1196.44,20.5,1674.98,22.07
"Electronics",309.19,6.5,354.99,6.08,460.59,6.07
"Armaments",171.24,3.6,209.61,3.59,186.82,2.46
"Materials",71.35,1.5,132.49,2.27,124.09,1.63
"Combat Veh & Engg",114.16,2.4,138.4,2.37,99.97,1.32
"Life Sciences",109.4,2.3,110.51,1.89,83.29,1.1
"Others","NA","NA",56.15,0.96,237.84,3.13
"Total",4756.84,100.0,5837.06,100.0,7590.0,100.0
