-----
{
 "description": "Macro economic data on key parameters from 2004-05 onwards using the new base year are provided in this.  Besides data on Gross Domestic product, Capital Formation, Net income, Savings etc growth rates and sectoral breakups are also provided.  For details regarding concepts, definitions,...", 
 "file_name": "Annual_Estimates_of_GDP_at_Constant_2004-05_Prices_1.xls", 
 "title": "Annual Estimates of GDP at Constant (2004-05) Prices ", 
 "url": "http://data.gov.in/sites/default/files/Annual_Estimates_of_GDP_at_Constant_2004-05_Prices_1.xls"
}
-----
"Indicator","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11 (QE)"
"1.1 Agriculture",5.53086854903,4.12508250563,6.34106292184,-0.27183475894,0.708264769319,7.78778496038
"1.2 Forestry & Logging",1.78780012979,3.27213031143,1.39208272243,1.87984230635,2.81031494651,2.89044221295
"1.3 Fishing",5.8817030053,6.6124039097,5.79771615008,2.73845869183,3.01665916254,3.03613053613
"2. Mining & Quarrying",1.30898057111,7.47263207996,3.69310203288,2.14381699428,6.2923869257,4.98536819381
"3.1 Manufacturing - Registered",12.1073119339,15.754914734,10.0570940549,5.87433657144,11.7265951069,7.75998040061
"3.2 Manufacturing - Unregistered",6.46440536794,11.5617026991,10.7078562308,1.27726961167,5.40871050703,7.13264108752
"4. Electricity, Gas & Water Supply",7.09692859992,9.29487656988,8.27131212344,4.55747198791,6.2805538832,3.0340108309
"5. Construction",12.7915055384,10.3347551031,10.7754050125,5.33574224631,7.03760430176,8.00692685478
"6.1 Trade",11.649272871,10.7677479407,9.79125868979,6.6840109836,8.29633471041,9.08384500132
"6.2 Hotels & Restaurants",17.3989292967,14.4449249155,12.960068699,-3.30540815861,2.83189458622,7.73723967094
"7.1 Railways",7.46519443111,11.1458566004,9.76975195223,7.65267425134,9.41425135444,6.84341415756
"7.2 Transport by Other Means",9.26262537133,8.95117394652,8.69805847791,5.27119730507,7.23644435232,8.41129022515
"7.3 Storage",4.69696969697,10.8538350217,3.35073977372,14.1473684211,8.742161564,7.8697421981
"7.4 Communication",23.492288961,24.33902427,24.1300929046,25.0585554893,31.7243434214,27.2345375816
"8.1 Banking & Insurance",15.8154975511,20.5598562763,16.6919911762,14.0076620656,11.3439429122,14.482875551
"8.2 Real Estate, O'ship of Dwellings",10.5631473714,9.51179881842,8.43793844129,10.4351534859,7.82782922891,6.93744997031
"9.1 Public Administration & Defence",4.33695173384,1.88070651536,7.61401631368,19.8102132573,18.1918855544,1.25923437922
"9.2 Other Services",9.07854327632,3.47386276499,6.34768549015,7.39202657807,7.22829577779,7.34004675968
"10. Gross Domestic Product (GDP) at Factor Cost",9.4771118132,9.5691328042,9.32207222692,6.72476235694,8.39115841326,8.39280665805
"19. Consumption of Fixed Capital","","","","","",""
"20. Net Domestic Product (NDP) at Factor Cost",9.45121879612,9.52683744087,9.13407314724,6.36397032443,8.06402157759,8.38093029125
"21. Net Factor Income from abroad","","","","","",""
"22. Gross National Income (GNI) at Factor Cost",9.46352837277,9.49984706794,9.74888785731,6.54304953408,8.38752300498,7.88409908777
"23. Net National Income (NNI) at Factor Cost",9.43576232194,9.44873611731,9.61140195222,6.15795037981,8.05765483177,7.8052927938
"24. Population (in Mn.)","","","","","",""
"25. Per Capita Income (Rs.)","","","","","",""
"26. Net Indirect Taxes",-12.4763167852,-16.9445010495,10.6154514455,-50.9847873325,5.77008157594,28.7394236485
"27. Indirect Taxes",11.4708201568,12.5900566158,10.190522267,-5.8285834623,-3.03833893449,18.7379652616
"28. Subsidies",23.9471369419,29.5345576653,-0.42492917847,45.1562038702,-13.5299419881,4.16646620159
"29. Gross Domestic Product (GDP) at Market Prices",9.28487231295,9.26396475894,9.80136033672,3.8909570625,8.23823046123,9.5528694188
