-----
{
 "description": "This data provides all India (2001 to 2011) and state-wise (2009 to 2011) details on number of taxed and tax-exempted motor vehicles registered in India such as two wheelers, light motor vehicles (passengers), jeeps, cars, taxis, buses, goods vehicles and other miscellaneous vehicles.", 
 "file_name": "NUMBER_OF_MOTOR_VEHICLES_REGISTERED_IN_INDIA_TAXED_AND_TAX-EXEMPTED_1.XLS", 
 "title": "All India And State-wise Number Of Taxed And Tax-Exempted Motor Vehicles Registered In India ", 
 "url": "http://data.gov.in/sites/default/files/NUMBER_OF_MOTOR_VEHICLES_REGISTERED_IN_INDIA_TAXED_AND_TAX-EXEMPTED_1.XLS"
}
-----
"State /Union Territory","Two-Wheeler -2009","Two-Wheeler -2010","Two-Wheeler -2011","Light Motor Vehicles(Passengers) -2009","Light Motor Vehicles(Passengers) -2010","Light Motor Vehicles(Passengers) -2011","Jeeps-2009","Jeeps-2010","Jeeps-2011","Cars-2009","Cars-2010","Cars-2011","Taxis-2009","Taxis-2010","Taxis-2011","Buses (b)-2009","Buses (b)-2010","Buses (b)-2011","Goods Vehicles(1)-2009","Goods Vehicles(1)-2010","Goods Vehicles(1)-2011","Miscellaneous(2)-2009","Miscellaneous(2)-2010","Miscellaneous(2)-2011","Total-2009","Total-2010","Total-2011"
"Andhra Pradesh",5851893.0,6514593.0,7488771.0,381488.0,434448.0,513266.0,29494.0,29587.0,29652.0,701920.0,777746.0,880817.0,9554.0,103290.0,114923.0,53820.0,56664.0,60622.0,428161.0,455543.0,498810.0,516618.0,551268.0,602486.0,8058948.0,8923139.0,10189347.0
"Arunachal Pradesh*",11112.0,11112.0,"NA",1449.0,1449.0,"NA",2284.0,2284.0,"NA",2595.0,2595.0,"NA",343.0,343.0,"NA",682.0,682.0,"NA",2956.0,2956.0,"NA",680.0,680.0,"NA",22101.0,22101.0,144534.0
"Assam ",740420.0,830836.0,958935.0,45266.0,51185.0,59742.0,18131.0,20742.0,20861.0,203000.0,232546.0,269605.0,19680.0,24088.0,28161.0,13257.0,13859.0,14741.0,144188.0,156605.0,171878.0,50809.0,53860.0,58205.0,1234751.0,1383721.0,1582128.0
"Bihar ",1364757.0,1606613.0,1899017.0,"NA",74968.0,92390.0,56270.0,66132.0,75878.0,103077.0,188031.0,136845.0,30857.0,38204.0,43623.0,19654.0,21209.0,22703.0,120588.0,66485.0,73472.0,264350.0,137344.0,329281.0,1959553.0,2356986.0,2673209.0
"Chhatisgarh",1686424.0,1964769.0,2232929.0,13589.0,15047.0,17566.0,11637.0,13277.0,15062.0,92437.0,108326.0,131862.0,6589.0,7499.0,8723.0,41098.0,7658.0,8596.0,107791.0,116922.0,127610.0,155024.0,202275.0,223689.0,2114589.0,2435773.0,2766037.0
"Goa",467827.0,502042.0,541934.0,14863.0,4238.0,4309.0,1065.0,"NA","NA",120425.0,133717.0,149869.0,12768.0,13143.0,13306.0,7644.0,8332.0,8907.0,42755.0,45258.0,48824.0,6562.0,7149.0,7521.0,673909.0,727042.0,790075.0
"Gujarat",8087416.0,8716981.0,9507556.0,426616.0,464862.0,511270.0,141565.0,152985.0,160800.0,952400.0,1057383.0,1218030.0,62915.0,67740.0,74512.0,58253.0,60023.0,62386.0,58598.0,626344.0,678804.0,10547157.0,726255.0,779777.0,10998651.0,11872573.0,12993135.0
"Haryana ",2768197.0,2975418.0,3370426.0,73134.0,83745.0,94770.0,111602.0,115852.0,113384.0,618942.0,720441.0,855596.0,14791.0,15081.0,19978.0,29516.0,33520.0,35646.0,327416.0,352532.0,389546.0,4461987.0,495236.0,497657.0,4425221.0,4791825.0,5377003.0
"Himachal Pradesh",249994.0,283081.0,331418.0,2744.0,2771.0,2805.0,18932.0,20693.0,22756.0,80224.0,95791.0,116176.0,20582.0,21993.0,23791.0,5398.0,5714.0,6186.0,86397.0,92459.0,99294.0,30127.0,15839.0,19288.0,494398.0,538341.0,621714.0
"Jammu & Kashmir",363029.0,407928.0,446791.0,19673.0,10958.0,12420.0,11402.0,11601.0,118301.0,145060.0,172071.0,198238.0,18971.0,15939.0,21307.0,24051.0,23480.0,25858.0,66464.0,78347.0,82206.0,19795.0,18581.0,21840.0,668445.0,738905.0,926961.0
