-----
{
 "description": "The list contain the details of Post offices where Philatelic bureau is available.   Name, Pincode of Post office and the State in which the Post office is situated.", 
 "file_name": "Philatelic_bureaux_11012013.csv", 
 "title": "List of Philatelic bureaux  ", 
 "url": "http://data.gov.in/sites/default/files/Philatelic_bureaux_11012013.csv"
}
-----
officename,pincode,statename
Port Blair H.O,744101,ANDAMAN & NICOBAR ISLANDS
Hyderabad G.P.O. ,500001,ANDHRA PRADESH
Kurnool H.O,518001,ANDHRA PRADESH
Vijayawada H.O,520001,ANDHRA PRADESH
Visakhapatnam H.O,530001,ANDHRA PRADESH
Guwahati G.P.O. ,781001,ASSAM
Muzaffarpur H.O,842001,BIHAR
Patna G.P.O. ,800001,BIHAR
Chandigarh G.P.O. ,160017,CHANDIGARH
Bhilai 1 S.O,490001,CHATTISGARH
Bilaspur (Bilaspur-CGH) H.O,495001,CHATTISGARH
Raipur H.O,492001,CHATTISGARH
Sansad Marg H.O,110001,DELHI
Panaji H.O,403001,GOA
Ahmedabad G.P.O. ,380001,GUJARAT
Rajkot H.O,360001,GUJARAT
Vadodara H.O,390001,GUJARAT
Ambala G.P.O.,133001,HARYANA
Shimla G.P.O. ,171001,HIMACHAL PRADESH
Jammu H.O,180001,JAMMU & KASHMIR
Jamshedpur H.O,831001,JHARKHAND
Bangalore G.P.O. ,560001,KARNATAKA
Belgaum H.O,590001,KARNATAKA
Mangalore H.O,575001,KARNATAKA
Mysore H.O,570001,KARNATAKA
Calicut H.O,673001,KERALA
Ernakulam H.O,682011,KERALA
Thiruvananthapuram G.P.O. ,695001,KERALA
Thrissur H.O,680001,KERALA
Bhopal G.P.O. ,462001,MADHYA PRADESH
Gwalior City S.O,474003,MADHYA PRADESH
Indore G.P.O. ,452001,MADHYA PRADESH
Jabalpur H.O,482001,MADHYA PRADESH
Mumbai G.P.O. ,400001,MAHARASHTRA
Nagpur GPO,440001,MAHARASHTRA
Nashik H.O,422001,MAHARASHTRA
Pune H.O,411001,MAHARASHTRA
Imphal H.O,795001,MANIPUR
Shillong G.P.O. ,793001,MEGHALAYA
Aizawl H.O,796001,MIZORAM
Kohima H.O,797001,NAGALAND
Bhubaneswar G.P.O. ,751001,ORISSA
Cuttack G.P.O. ,753001,ORISSA
Pondicherry H.O,605001,PONDICHERRY
Amritsar G.P.O. ,143001,PUNJAB
Jalandhar City H.O,144001,PUNJAB
Ludhiana H.O,141001,PUNJAB
Patiala H.O,147001,PUNJAB
Ajmer H.O,305001,RAJASTHAN
Jaipur G.P.O. ,302001,RAJASTHAN
Jodhpur H.O,342001,RAJASTHAN
Udaipur Shastri Circle S.O,313001,RAJASTHAN
Chennai G.P.O. ,600001,TAMIL NADU
Coimbatore H.O,641001,TAMIL NADU
Madurai H.O,625001,TAMIL NADU
Tiruchirappalli H.O,620001,TAMIL NADU
Agartala H.O,799001,TRIPURA
Agra H.O,282001,UTTAR PRADESH
Allahabad H.O,211001,UTTAR PRADESH
Kanpur H.O,208001,UTTAR PRADESH
Lucknow G.P.O. ,226001,UTTAR PRADESH
Varanasi H.O,221001,UTTAR PRADESH
Dehradun G.P.O. ,248001,UTTARAKHAND
Kolkatta G.P.O. ,700001,WEST BENGAL
Siliguri H.O,734001,WEST BENGAL
