"ODS",2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0
"CFC-11",3002.0,2196.0,1680.0,829.0,426.0,337.29,514.89,274.9,101.58,43.5,78.616
"CFC-12",2612.0,2315.0,2210.0,1777.0,1808.0,1609.0,3017.85,723.6,109.682,158.7,212.117
"CFC-113","NA",5.0,29.0,4.0,10.0,14.32,"NA","NA",6.6,"NA","NULL"
"CTC",11043.0,8471.0,9510.0,9798.0,6781.0,1494.5,3636.8,634.0,1563.68,34.7,"NULL"
"HCFC-22",3583.0,2973.0,3207.0,3648.0,7228.0,8854.27,6136.95,14576.6,10831.73,9386.4,12503.013
"HCFC-123",20.0,25.0,25.0,0.0,60.0,15.26,"NA",27.2,101.0,238.0,115.085
"HCFC-141b",483.0,359.0,1401.0,952.0,1357.0,2155.92,"NA",4711.9,12588.9,7900.0,7836.8
"Mythyl Bromide","NA",27.0,9510.0,"NA","NA","NA","NA","NA","NA","NA","NA"
"Total",20743.0,16371.0,27572.0,17008.0,17670.0,14480.56,13306.49,20948.2,25303.172,17761.3,20745.631
