-----
{
 "description": "This data provides State-wise plan expenditure for public sector by heads of development from 2007-08 to 2010-11.", 
 "file_name": "PLAN_EXPENDITURE_FOR_PUBLIC_SECTOR_BY_HEADS_OF_DEVELOPMENT_1.XLS", 
 "title": "State-wise Plan Expenditure For Public Sector By Heads Of Development From 2007-08 To 2010-11 ", 
 "url": "http://data.gov.in/sites/default/files/PLAN_EXPENDITURE_FOR_PUBLIC_SECTOR_BY_HEADS_OF_DEVELOPMENT_1.XLS"
}
-----
"State/Union Territory","Agriculture and Allied Activities(2007-08)","Agriculture and Allied Activities (2008-09)","Agriculture and Allied Activities (2009-10)","Agriculture and Allied Activities (2010-11)","Rural Development(2007-08)","Rural Development (2008-09)","Rural Development (2009-10)","Rural Development (2010-11)","Special Ara Programmes (2007-08)","Special Ara Programmes (2008-09)","Special Ara Programmes (2009-10)","Special Ara Programmes(2010-11)","Irrigation and Flood Control(2007-08)","Irrigation and Flood Control (2008-09)","Irrigation and Flood Control (2009-10)","Irrigation and Flood Control (2010-11)","Energy(2007-08)","Energy (2008-09)","Energy (2009-10)","Energy (2010-11)","Industry and Minerals(2007-08)","Industry and Minerals(2008-09)","Industry and Minerals(2009-10)","Industry and Minerals(2010-2011)","Transport(2007-08)","Transport (2008-09)","Transport(2009-10)","Transport(2010-11)","Science Technology and Environment (2007-08)","Science Technology and Environment (2008-09)","Science Technology and Environment (2009-10)","Science Technology and Environment (2010-11)","General Economic Services(2007-08)","General Economic Services(2008-09)","General Economic Services(2009-10)","General Economic Services(2010-11)","Social Services(2007-08)","Social Services(2008-09)","Social Services(2009-10)","Social Services(2010-11)","General Services(2007-08)","General Services(2008-09)","General Services(2009-10)","General Services(2010-11)","Total (2007-08)","Total(2008-09)","Total(2009-10)","Total(2010-11)"
"Andhra Pradesh",85717.39,280904.39,153162.84,185351.0,144803.51,273098.51,308775.47,403519.0,87763.57,12000.0,5785.78,1545.0,1221595.89,900144.8,1173938.25,967802.0,4649.83,1836.75,3026.13,53104.0,43692.69,26237.79,24020.86,40482.0,168905.12,222830.61,210171.95,194871.0,14049.13,12706.57,5393.9,3854.0,122857.89,86354.5,89672.88,38541.0,815918.26,1232211.3,949798.19,1247864.0,7126.32,13442.41,15350.64,20702.0,2717079.6,3061767.63,2939096.89,3157636.0
"Arunachal Pradesh",8926.24,9649.21,8078.0,11195.0,2446.84,4218.0,4151.0,7859.0,9972.59,9754.8,11581.0,11777.0,6748.8,11923.55,10666.0,18641.0,11883.52,21959.79,35971.0,32057.0,991.45,1059.13,1015.0,2086.0,23407.55,61271.31,54360.0,73653.0,989.04,262.95,4905.0,7079.0,10088.77,7973.13,8057.0,13388.0,30469.99,38804.42,50080.0,61683.0,2373.68,7051.88,12737.0,16094.0,108298.47,173928.17,201601.0,255512.0
"Assam",12290.03,30859.86,41022.89,56587.0,20696.55,30009.09,39688.65,83846.0,47279.25,65009.23,98948.36,106216.0,5344.28,20211.27,22260.99,71056.0,35455.0,31564.91,16507.03,23362.0,5834.22,7780.01,11021.56,20536.0,29634.74,28635.82,49101.84,52017.0,3043.32,6502.31,14777.74,12027.0,29414.72,14782.99,27601.58,17379.0,56515.8,102238.01,163522.58,223564.0,21419.89,21782.02,17855.73,21721.0,266927.8,359375.52,502308.95,688310.0
"Bihar",30990.14,77555.9,62766.22,124030.0,65270.77,67823.62,93570.84,80398.0,60382.77,71296.9,66907.32,97289.0,133541.38,129722.2,107093.91,141155.0,27043.83,56533.95,84994.34,160877.0,28907.51,46981.68,43934.15,25750.0,334600.29,361291.71,368951.74,493279.0,6398.78,7302.78,10024.42,11593.0,17205.95,7908.56,18048.66,34710.0,240292.21,402582.33,532985.36,667706.0,20596.78,22078.06,29074.04,34972.0,965230.41,1251077.69,1418351.0,1871758.0
"Chhattisgarh",24030.6,65544.15,82336.25,119661.0,45313.72,42578.91,29593.95,37551.0,29155.51,32238.81,30616.7,38477.0,90563.67,91615.24,103152.62,111018.0,11132.83,11309.35,18142.1,28256.0,18318.34,11814.25,22752.04,22735.0,134366.96,100352.54,88281.09,83875.0,18815.83,23894.08,27872.77,29764.0,25263.22,23288.4,59187.55,9990.0,326132.29,403458.22,559961.94,524009.0,11029.03,7643.06,6246.48,2764.0,734122.0,813737.01,1028143.49,1008100.0
"Goa",4633.35,5222.81,6167.91,7275.0,2442.92,3577.09,4652.07,5054.0,504.31,636.76,812.21,1245.0,17153.01,19872.27,20576.21,24795.0,13033.16,18557.17,20122.36,19154.0,2389.99,3266.2,2820.25,2830.0,14030.24,16793.09,26231.43,36059.0,5951.13,3931.58,7155.85,6241.0,3136.06,5249.64,25118.29,13418.0,50238.91,58947.9,67015.89,76028.0,8936.5,21395.38,15884.52,18642.0,122449.58,157449.89,196556.99,210740.0
"Gujarat",89057.06,138824.49,175735.16,207535.0,47021.53,56690.53,58013.45,108544.0,1900.43,5999.29,12931.0,9559.0,481453.3,787241.9,542897.42,618509.0,60772.32,80212.15,96327.46,334328.0,42825.23,63456.51,80365.47,89885.0,118304.14,168326.06,264493.0,342587.0,8472.36,11362.08,28566.61,49389.0,35313.69,40743.83,59032.32,85989.0,679338.56,821395.73,944229.63,1159398.0,688.68,2115.43,790.98,3983.0,1565147.3,2176368.0,2263382.5,3009705.0
"Haryana",10608.39,25297.32,36684.5,56100.0,36711.57,48126.28,59221.9,69397.0,2275.58,2191.62,2669.63,2109.0,75936.68,80250.19,79810.87,73203.0,85714.51,86582.75,103227.11,96865.0,10873.97,13427.72,4947.22,4897.0,53359.11,91778.59,130984.1,104178.0,10219.34,12237.02,13254.23,15163.0,5153.02,11984.29,30122.16,17120.0,272559.53,327975.55,488035.48,507905.0,11706.78,10976.76,13486.73,10529.0,575118.48,710828.09,962443.93,957467.0
"Himachal Pradesh",11389.06,14944.25,24380.0,33115.0,8513.89,12615.1,14755.0,16800.0,1118.98,1297.3,1297.0,1297.0,20937.13,24414.12,28649.0,31098.0,11005.24,19622.0,21774.0,32594.0,2648.24,1913.12,2112.0,2680.0,35584.13,46239.84,65709.0,53700.0,12377.02,12277.76,12563.0,13447.0,7722.51,8703.22,9299.0,8863.0,93328.83,79861.84,94501.0,110489.0,5199.59,6032.74,5728.0,6407.0,209824.62,227921.29,280767.0,310490.0
"Jammu & Kashmir",7727.2,11928.8,16381.08,18945.0,12699.25,6630.61,10079.62,12660.0,24297.28,26616.74,38792.74,33591.0,17183.9,28737.76,39375.09,35973.0,66907.94,101888.29,51022.24,50654.0,8812.8,11206.22,10066.21,10412.0,88555.23,103154.68,98885.72,112238.0,2152.18,2956.67,3163.67,3131.0,30941.75,30212.22,27662.31,29089.0,111054.33,101006.37,176766.58,216306.0,69999.19,58331.65,55718.85,53806.0,440331.05,482670.01,527914.11,576805.0
"Jharkhand",24185.33,28349.34,25157.0,41619.0,96414.37,102820.39,107502.0,125171.0,16122.0,52200.86,22672.0,86171.0,80121.0,40230.53,29179.0,32667.0,47685.0,29985.78,53190.0,35968.0,9497.0,9742.14,13508.0,11815.0,46542.0,67604.0,92443.0,98949.0,14663.0,15488.38,9016.0,13252.0,7091.3,23656.7,22339.0,55245.0,207993.0,295997.73,263425.0,312816.0,20321.0,20540.76,14457.0,13086.0,570635.0,686616.61,652888.0,826759.0
"Karnataka",141505.12,157269.09,169160.63,209273.0,103548.22,91059.63,104125.72,113873.0,7385.09,33211.24,64119.1,58694.0,250441.15,269527.85,387569.96,450794.0,205071.72,326614.05,355283.49,305772.0,50828.15,23068.96,32638.43,79105.0,267477.98,355115.69,304739.25,370430.0,18268.99,27046.74,33858.62,34555.0,47417.23,39859.6,71786.19,96042.0,592673.8,843634.38,1016964.55,1326322.0,38074.07,45413.78,56453.57,60139.0,1722691.52,2211821.01,2596699.51,3105000.0
"Kerala",20463.63,36783.65,48136.9,58150.0,20675.65,23239.97,32221.65,37583.0,4628.89,2630.67,5496.88,6004.0,19631.43,17997.52,21627.2,22381.0,54795.56,79882.42,73363.44,65895.0,9707.72,24060.27,27369.3,41645.0,69402.07,58610.64,111521.15,152873.0,19952.57,17374.51,21150.42,32599.0,18328.54,24033.86,38761.21,27332.0,129621.65,188908.33,208782.23,219284.0,2837.54,150159.28,188977.55,206351.0,370045.25,623681.12,777407.93,870098.0
"Madhya Pradesh",61908.22,72682.48,96268.17,171968.0,133911.42,135383.28,117860.81,146715.0,66229.62,43407.22,30934.86,93836.0,208957.58,224798.11,229434.73,349420.0,118594.36,146296.41,157311.5,176710.0,21795.51,15007.9,17418.08,22281.0,202023.86,185903.42,211724.97,260895.0,5625.3,6236.97,6362.39,6217.0,31147.49,32593.36,35241.29,34903.0,349119.84,431871.54,552292.49,735757.0,5430.4,13921.44,6150.66,16983.0,1204743.6,1308102.13,1460999.95,2015684.0
"Maharashtra",130299.0,129966.0,189245.0,222617.0,91929.0,95694.0,78394.0,75568.0,19333.0,18350.0,16431.0,20446.0,513140.0,669996.0,718311.0,866371.0,139820.0,132805.0,227938.0,231433.0,20933.0,27395.0,15615.0,19223.0,176125.0,243749.0,390790.0,356586.0,7815.0,11326.0,11967.0,18605.0,49043.0,21230.0,56653.0,52424.0,758343.0,883515.0,1026781.0,1335099.0,35442.0,52999.0,40934.0,59306.0,1942222.0,2287025.0,2773059.0,3257678.0
"Manipur",2259.31,2538.89,4381.45,6216.0,3740.27,2783.95,5616.12,5409.0,2311.96,2307.18,6726.66,6254.0,18929.01,27693.98,20754.05,29377.0,14244.08,7817.39,14976.21,13495.0,6247.72,1569.49,2908.48,3675.0,2512.0,10888.03,11981.17,11586.0,1732.22,2514.47,2233.55,6646.0,51470.61,57448.24,65539.0,6811.0,29057.83,33321.82,41667.51,72846.0,1145.31,3266.79,1657.18,5695.0,133650.32,152150.23,178441.38,168011.0
"Meghalaya",7430.17,9835.12,14006.07,27278.0,9386.11,14190.62,10672.46,15739.0,1311.72,1987.46,2077.93,3516.0,1429.13,4390.95,4557.02,8888.0,23418.31,38367.28,31365.4,51560.0,2841.23,3837.02,4408.37,6398.0,16237.36,16478.93,21192.96,25791.0,3262.57,3337.46,4394.41,4599.0,2449.1,2032.18,2533.17,12360.0,28096.95,39489.1,41749.36,51089.0,2543.89,4749.66,4829.18,3701.0,98406.54,138695.78,141786.33,210919.0
"Mizoram",5844.98,7423.8,5746.74,6099.0,4705.26,4176.72,3128.33,3956.0,4740.83,6541.54,6005.83,8092.0,3330.57,6655.01,4817.23,5957.0,6756.11,5040.44,10161.73,7359.0,2123.6,2384.82,1867.49,4539.0,13371.94,5548.21,7415.99,13318.0,2257.47,1736.5,1446.91,4246.0,3450.94,3849.98,6626.87,7993.0,28378.1,37155.78,56760.14,44006.0,1773.55,1740.01,2744.82,5503.0,76733.35,82252.81,106722.08,111069.0
"Nagaland",7105.67,8759.1,11149.13,13799.0,7191.74,9006.03,11936.304,11236.0,8397.97,9665.67,11355.8,11730.0,5282.56,5517.8,8186.22,14452.0,4277.21,11076.28,8092.0,5869.0,4644.19,5504.54,4623.11,5286.0,7399.85,7723.23,16068.8,12798.0,2258.49,2753.62,3344.9,3617.0,4975.52,6125.27,10063.06,14228.0,28049.04,39401.26,52956.11,37387.0,4980.81,4208.71,5074.14,5209.0,84563.05,109741.51,142849.574,135611.0
"Orissa",17618.17,39978.56,37805.2,71158.0,13735.98,23958.11,17739.0,27690.0,82489.98,102948.48,92760.45,136806.0,154157.29,157286.77,160310.63,164182.0,32989.63,37586.95,24557.5,68393.0,16494.43,5392.27,4340.08,7277.0,40813.83,93723.11,96018.96,142893.0,12652.21,21251.6,23860.09,29945.0,26013.78,36942.09,19712.97,20117.0,199633.32,227227.64,283268.29,328318.0,6682.81,10924.52,12400.89,13788.0,603281.43,757220.1,772774.06,1010567.0
"Punjab",15099.2,21462.5,13944.04,44129.0,39806.48,82681.13,59700.06,103193.0,"NA","NA","NA","NA",21340.34,41871.06,47649.9,34581.0,153558.98,192619.47,126721.89,235261.0,20.0,2040.0,"NA",2800.0,127493.8,124842.89,84736.28,164887.0,3621.3,5327.89,4442.8,2002.0,22671.55,10397.45,5225.24,7339.0,114241.31,204549.04,146173.87,221788.0,4556.47,6718.44,8783.64,16457.0,502409.43,692509.87,497377.72,832437.0
"Rajasthan",46527.89,72749.27,82845.23,180411.0,73923.36,120715.65,140799.03,136156.0,42820.56,24577.35,47994.4,51681.0,87701.81,83683.41,78395.59,68353.0,569237.98,604460.0,776324.0,905606.0,17017.38,12062.86,21458.47,22783.0,67821.63,72473.0,77124.58,129146.0,5693.29,5075.81,6020.09,12532.0,69386.59,27781.01,7109.73,10396.0,383490.34,456830.76,552605.12,617142.0,15841.06,11925.68,11592.3,19822.0,1379461.89,1492334.8,1802268.54,2154028.0
"Sikkim",3663.57,8760.74,5586.35,4720.0,10537.61,11477.1,23097.83,7615.0,3180.09,3400.0,2392.25,2582.0,1216.58,3273.0,3762.3,4724.0,3866.07,10110.0,8579.54,5921.0,2249.98,2545.0,1217.83,3728.0,4606.94,18410.15,8750.67,5469.0,2312.3,3191.0,1995.95,3341.0,2259.73,5238.51,4194.7,2269.0,23125.31,41978.05,37900.53,41742.0,3686.06,5641.31,4447.62,2053.0,60704.24,114024.86,101925.57,84165.0
"Tamil Nadu",91502.96,127734.78,155292.0,137761.0,147091.02,178005.52,190227.0,342420.0,5254.0,"NA",12708.0,16834.0,32525.11,48822.26,68355.0,52332.0,229183.76,251594.03,277828.0,275664.0,68124.33,56906.73,60261.0,46768.0,238748.9,246621.61,229598.0,196947.0,15941.09,18103.74,17390.0,17923.0,21870.84,12066.25,8956.0,5618.0,566516.94,674054.97,732631.0,947885.0,5672.61,10695.44,30104.0,6325.0,1422431.56,1624605.33,1783350.0,2046477.0
"Tripura",7571.67,10299.71,12661.65,13799.0,11557.25,10467.34,10585.22,7044.0,9121.63,9512.57,14200.45,12430.0,4126.7,4260.83,4479.91,4539.0,6765.97,6771.24,8947.2,4011.0,3848.86,4197.33,6802.46,3304.0,17914.81,32683.68,32523.07,21153.0,3120.83,5048.23,5568.91,6720.0,1116.53,1024.74,1215.21,1464.0,38467.04,54689.03,67855.79,63444.0,3103.78,4161.07,8716.91,6196.0,106715.07,143115.77,173556.78,144103.0
"Uttar Pradesh",172875.37,213852.45,267173.46,320738.0,175223.17,307022.94,327773.26,354165.0,45702.78,92638.68,91769.02,101958.0,235422.24,270540.47,235740.84,277366.0,455280.91,599583.2,595351.15,610412.0,10633.96,21574.59,357449.25,341525.0,454137.23,544840.07,379768.36,431709.0,25836.69,29989.06,22109.97,13744.0,10186.51,5719.97,21994.14,33304.0,825589.05,1320446.56,1405638.23,1632951.0,18764.76,22554.07,16383.43,12198.0,2429652.67,3428762.06,3721151.11,4130070.0
"Uttaranchal ",31451.03,31267.77,24492.11,28517.0,20503.72,18883.51,19498.17,28162.0,"NA","NA","NA","NA",37559.42,51165.1,28430.23,35713.0,39427.77,23256.49,38283.73,12776.0,1743.93,1827.18,1729.1,2083.0,83426.05,77236.05,82196.17,95708.0,15111.1,15685.74,9539.53,10535.0,8289.54,7586.05,4130.15,7353.0,146782.58,129231.49,140824.93,167767.0,10193.08,9217.4,2284.59,58895.0,394488.22,365356.78,351408.71,447510.0
