-----
{
 "description": "This data provides details on number of passengers, railways servants and other persons (persons killed due to trespass and suicides) killed and injured in railway related accidents according to nature of accidents from 2002-03 to 2010-11.", 
 "file_name": "NUMBER_OF_PERSONS_KILLED_AND_INJURED_ACCORDING_TO_NATURE_OF_ACCIDENTS.xls", 
 "title": "Number Of Persons Killed And Injured In Railway Related Accidents From 2002-03 To 2010-11 ", 
 "url": "http://data.gov.in/sites/default/files/NUMBER_OF_PERSONS_KILLED_AND_INJURED_ACCORDING_TO_NATURE_OF_ACCIDENTS.xls"
}
-----
"Name","Killed (2002-03)","Injured (2002-03)","Killed (2003-04)","Injured (2003-04)","Killed (2004-05)","Injured (2004-05)","Killed (2005-06)","Injured (2005-06)","Killed (2006-07)","Injured (2006-07)","Killed (2007-08)","Injured (2007-08)","Killed (2008-09)","Injured (2008-09)","Killed (2009-10)","Injured (2009-10)","Killed (2010-11)","Injured (2010-11)"
"Passengers",251.0,951.0,138.0,599.0,118.0,360.0,346.0,688.0,204.0,665.0,134.0,667.0,200.0,651.0,115.0,427.0,291.0,544.0
"Passengers : In train accidents, failures of railway equipment and misc. accidents",157.0,658.0,84.0,279.0,35.0,86.0,168.0,483.0,38.0,227.0,9.0,245.0,52.0,257.0,67.0,253.0,235.0,358.0
"Passengers : In unusual occurrences caused by movement of railway vehicles exclusive of train accidents etc.",94.0,293.0,54.0,320.0,83.0,274.0,178.0,205.0,166.0,430.0,125.0,405.0,146.0,367.0,46.0,162.0,54.0,179.0
"Passengers : In unusual occurrences on railway premises not connected with the movement of railway vehicles","NA","NA","NA","NA","NA","NA","NA","NA","NA",8.0,"NA",17.0,2.0,27.0,2.0,12.0,2.0,7.0
"Railway servants",143.0,1181.0,77.0,1017.0,85.0,841.0,109.0,341.0,109.0,386.0,113.0,335.0,77.0,324.0,58.0,264.0,51.0,344.0
"Railway servants : In train accidents, failures of railway equipment and misc. accidents",29.0,41.0,3.0,28.0,5.0,8.0,9.0,31.0,6.0,24.0,10.0,26.0,12.0,22.0,4.0,9.0,8.0,20.0
"Railway servants : In unusual occurrences caused by movement of railway vehicles exclusive of train accidents etc.",84.0,244.0,50.0,151.0,64.0,129.0,77.0,99.0,90.0,183.0,91.0,172.0,60.0,191.0,46.0,141.0,26.0,161.0
"Railway servants : In unusual occurrences on railway premises not connected with the movement of railway vehicles",30.0,896.0,24.0,838.0,16.0,704.0,23.0,211.0,13.0,179.0,12.0,137.0,5.0,111.0,8.0,114.0,17.0,163.0
"Other persons (1)",1443.0,1844.0,2748.0,2217.0,2023.0,2984.0,3265.0,3438.0,3882.0,4024.0,4102.0,4387.0,4575.0,4721.0,3824.0,4027.0,3613.0,4246.0
"Other persons (1) : In train accidents, failures of railway equipment and misc.accidents",232.0,283.0,155.0,159.0,181.0,209.0,138.0,113.0,166.0,156.0,172.0,135.0,145.0,165.0,167.0,135.0,138.0,85.0
"In unusual occurrences caused by movement of railway vehicles exclusive of train accidents etc.",1210.0,1561.0,2593.0,2058.0,1842.0,2775.0,3127.0,3325.0,3713.0,3866.0,3926.0,4252.0,4428.0,4555.0,3654.0,3890.0,3471.0,4151.0
"In unusual occurrences on railway premises not connected with the movement of  railway vehicles",1.0,"NA","NA","NA","NA","NA","NA","NA",3.0,2.0,4.0,"-",2.0,1.0,3.0,2.0,4.0,10.0
"Grand total (Passengers+Railway servants+Other persons)  ",1837.0,3976.0,2963.0,3833.0,2226.0,4185.0,3720.0,4467.0,4195.0,5075.0,4349.0,5389.0,4852.0,5696.0,3997.0,4718.0,3955.0,5134.0
