"Chassis Dynamometer (For Four Wheelers only) g/km",2000.0,"BS II @","BS II (2005)+","BS III (2010)+"
"Carbon Monoxide(CO)","2.72-6.90","1.0-1.5",1.0,0.5
"Hydrocarbon(HC)","NA","NA","NA","NA"
"Oxide of Nitrogen (NOX)","NA","NA","NA","NA"
"Hydrocarbon and Oxide of Nitrogen(HC+NOX)","0.97-1.70","0.7-1.2",0.85,0.5
"Particulate Matter (PM)","0.14-0.25","0.08-0.17",0.1,0.5
