-----
{
 "description": "Approved Outlay for all States and Union Territories for Eleventh Plan Period and its Annual Plan period", 
 "file_name": "Approved_Outlay_11th_Plan_State-wise.xls", 
 "title": "Approved Outlay state-wise for Eleventh Plan and its plan period including 2012-13 ", 
 "url": "http://data.gov.in/sites/default/files/Approved_Outlay_11th_Plan_State-wise.xls"
}
-----
"S.No.","States/UTs (all figures in Rs. Crore)","Approved Annual Plan 2007-08","Approved Annual Plan 2008-09","Approved Annual Plan 2009-10","Approved Annual Plan 2010-11","Approved Annual Plan 2011-12","Approved Annual Plan Eleventh Plan","Approved Annual Plan 2012-13"
"1.","Andhra Pradesh ",30500.0,44000.0,33496.75,36800.0,43000.0,187796.75,48935.0
"2.","Arunachal Pradesh",1320.0,2264.6,2100.0,2500.0,3200.0,11384.6,3535.0
"3.","Assam",3800.0,5011.51,6000.0,7645.0,9000.0,31456.51,10500.0
"4.","Bihar",10200.0,13500.0,16000.0,20000.0,24000.0,83700.0,28000.0
"5.","Chattisgarh",7413.72,9600.0,10947.76,13230.0,16710.0,57901.48,23480.0
"6.","Goa",1430.0,1737.65,2240.0,2710.0,3320.0,11437.65,4700.0
"7.","Gujarat",16000.0,21000.0,23500.0,30000.0,38000.0,128500.0,51000.0
"8.","Haryana",5300.0,6650.0,10000.0,18260.0,20358.0,60568.0,26485.0
"9.","Himachal Pradesh",2100.0,2400.0,2700.0,3000.0,3300.0,13500.0,3700.0
"10.","Jammu & Kashmir",4850.0,5512.97,5500.0,6000.0,6600.001,28462.971,7300.0
"11.","Jharkhand",6676.0,8015.0,8200.0,9240.0,15322.75,47453.75,16300.0
"12.","Karnataka",17782.58,26188.53,29500.0,31050.0,38070.0,142591.11,42030.0
"13.","Kerala",6950.0,7700.47,8920.0,10025.0,12010.0,45605.47,14010.0
"14.","Madhya Pradesh",12011.0,14182.61,16174.1653,19000.0,23000.0,84367.7753,28000.0
"15.","Maharashtra",20200.0,25000.0,35958.95,37916.0,42000.0,161074.95,45000.0
"16.","Manipur",1374.31,1660.0,2000.0,2600.0,3210.0,10844.31,3500.0
"17.","Meghalaya",1120.0,1500.0,2100.0,2230.0,2727.0,9677.0,3939.0
"18.","Mizoram",850.0,1000.0,1250.0,1500.0,1700.0,6300.0,2100.0
"19.","Nagaland",900.0,1200.0,1500.0,1500.0,1810.0,6910.0,2300.0
"20.","Odisha",5105.0,7500.0,9500.0,11000.0,15200.0,48305.0,17250.0
"21.","Punjab",5111.0,6210.0,8600.0,9150.0,11520.0,40591.0,14000.0
"22.","Rajasthan",11638.86,14000.0,17322.0,24000.0,27500.0,94460.86,33500.0
"23.","Sikkim",691.14,852.0,1045.0,1175.0,1400.0,5163.14,1877.0
"24.","Tamil Nadu",14000.0,16000.0,17500.0,20068.0,23535.0,91103.0,28000.0
"25.","Tripura",1220.0,1450.0,1680.0,1860.0,1950.0,8160.0,2250.0
"26.","Uttar Pradesh",25000.0,35000.0,39000.0,42000.0,47000.0,188000.0,57800.0
"27.","Uttarakhand",4378.63,4775.0,5800.81,6800.0,7800.0,29554.44,8200.0
"28.","West Bengal",9150.0,11602.38,14150.0,17985.0,22214.0,75101.38,25910.0
"29.","Andaman & Nicobar Islands",604.83,672.62,833.18,958.38,1434.84,4503.85,1706.04
"30.","Chandigarh",267.63,304.65,319.22,450.91,661.89,2004.3,737.23
"31.","Dadra & Nagar Haveli",78.88,150.0,155.71,195.82,336.35,916.76,610.0
"32.","Daman & Diu",71.67,150.0,154.34,169.23,324.95,870.19,568.25
"33.","Delhi ",9000.0,10000.0,10000.0,11400.0,15133.01,55533.01,15862.0
"34.","Lakshdweep",222.11,263.68,296.86,322.0,388.79,1493.44,400.78
"35.","Puducherry",1455.0,1750.0,2250.0,2500.0,2750.0,10705.0,3000.0
"36.","India",238772.36,308803.67,346694.7453,405240.34,486486.581,1785997.6963,576485.3
