-----
{
 "description": "This data provides for G-20 countries details on area, population, gross domestic product (GDP), domestic product per capita income and purchasing power from 2010 to 2012.", 
 "file_name": "AREA_POPULATION_AND_INCOME_OF_G20_COUNTRIES.xls", 
 "title": "Area / Population And Income Of G-20 Countries ", 
 "url": "http://data.gov.in/sites/default/files/AREA_POPULATION_AND_INCOME_OF_G20_COUNTRIES.xls"
}
-----
"Country Name","Area (Sq. Km.) -  2010","Population (Millions) - 2010","Population (Millions) - 2011","Population (Millions) - 2012","GDP Billions (US Dollar) - 2010","GDP Billions (US Dollar) - 2011","GDP Billions (US Dollar) - 2012","Domestic Product  Per Capita Income (US Dollar) - 2010","Domestic Product  Per Capita Income (US Dollar) - 2011","Domestic Product  Per Capita Income (US Dollar) - 2012","Purchasing Power in Billions US Dollar - 2010","Purchasing Power in Billions US Dollar - 2011","Purchasing Power in Billions US Dollar - 2012"
"Argentina",2766890.0,40.12,40.57,41.03,367.565,444.612,474.812,9162.3,10959.08,11572.76,644.35,716.45,746.93
"Australia",7686850.0,22.18,22.4,22.68,1244.41,1486.91,1542.06,56097.79,66371.22,67982.74,877.22,915.1,960.72
"Brazil",8511965.0,193.25,194.93,196.53,2142.93,2492.91,2425.05,11088.73,12788.55,12339.58,2186.54,2294.18,2365.88
"Canada",9976140.0,34.07,34.44,34.83,1577.04,1738.95,1770.08,46282.86,50496.04,50826.05,1334.15,1395.37,1445.53
"China",9596960.0,1340.91,1347.35,1353.82,5930.39,7298.15,8250.24,4422.66,5416.67,6094.05,10128.4,11299.79,12382.56
"France",547030.0,62.79,63.13,63.42,2570.59,2778.09,2580.42,40938.85,44007.33,40689.93,2131.48,2213.78,2252.54
"Germany",357021.0,81.76,81.78,81.78,3312.19,3607.36,3366.65,40512.53,44110.99,41167.55,2957.38,3113.93,3194.2
"India",3287590.0,1190.52,1206.92,1223.17,1630.47,1826.81,1946.77,1369.54,1513.62,1591.57,4051.36,4420.56,4710.81
"Indonesia",1919440.0,237.64,241.03,244.47,708.371,846.45,894.854,2980.84,3511.8,3660.42,1034.37,1124.63,1211.96
"Italy",301230.0,60.34,60.63,60.9,2060.89,2198.73,1980.45,34154.38,36266.88,32521.96,1800.61,1846.92,1833.95
"Japan",377835.0,128.05,127.9,127.61,5488.55,5866.54,5984.39,42863.37,45869.72,46895.74,4384.48,4444.14,4616.88
"Mexico",1972550.0,112.32,113.74,114.87,1035.47,1153.96,1162.89,9219.15,10146.04,10123.35,1569.89,1666.53,1757.58
"Russia",17075200.0,142.9,142.41,141.92,1487.29,1850.4,1953.56,10407.93,12993.36,13764.78,2237.41,2383.36,2511.71
"Saudi Arabia",1960582.0,27.56,28.17,28.79,455.922,597.086,657.049,16541.1,21196.29,22822.82,628.93,687.66,740.53
"South Africa",1219912.0,49.99,50.59,51.2,363.475,408.689,390.919,7270.8,8078.45,7635.57,526.95,554.99,578.64
"Republic of Korea",98480.0,49.41,49.78,50.01,1014.89,1116.25,1151.27,20540.18,22424.06,23020.91,1468.33,1554.12,1621.87
"Turkey",780580.0,73.0,74.72,74.89,731.293,774.336,783.064,10017.3,10362.61,10456.89,970.5,1075.47,1125.42
"United Kingdom",244820.0,62.22,62.64,63.07,2267.48,2431.31,2433.78,36441.71,38811.42,38591.46,2223.25,2287.87,2316.25
"USA",9629091.0,309.73,311.95,314.31,14498.93,15075.68,15653.37,46811.2,48327.86,49802.15,14498.93,15075.68,15653.37
"European Union",4324782.0,501.65,502.75,503.82,16300.51,17610.83,16414.48,30604.2,31672.51,32028.88,15283.06,15852.69,16073.55
"World",510072000.0,6863.77,6940.71,7017.54,63179.59,69899.23,71277.37,9204.79,10070.9,10157.03,74683.812,78969.78,82762.15
