-----
{
 "description": "This table gives All India (from 2000 to 2011) and State-wise (2009-10 and 2010-11) area under Principal Crops (food grains, cereals, oil seeds, tobacco, potato, black pepper, chillies, natural rubber, bananas, ginger, coconut and turmeric).  ", 
 "file_name": "AREA_UNDER_PRINCIPAL_CROPS_0.xls", 
 "title": "Area Under Principal Crops - All India and State Wise ", 
 "url": "http://data.gov.in/sites/default/files/AREA_UNDER_PRINCIPAL_CROPS_0.xls"
}
-----
"Year/State/Union Territory","Food grains (cereals) - Rice","Food grains (cereals) - Jowar","Food grains (cereals) - Bajra","Food grains (cereals) - Maize","Food grains (cereals) - Ragi","Food grains (cereals) - Small millets","Food grains (cereals) - Wheat","Food grains (cereals) - Barley","Total cereals","Food grains(pulses) - Gram","Food grains(pulses) - Tur","Other Pulses","Total Pulses","Total food grains","Oilseeds - Ground nut","Oilseeds - Sesamum","Oilseeds - Rapeseed and mustard","Oilseeds - Linseed","Oilseeds - Castor seed","Total oilseeds","Cotton#","Jute","Mesta","Tea","Coffee","Natural Rubber"," Banana@","Sugar cane","Tobacco"," Potato&","Black Pepper","Chillies","Ginger","Coconut","Turmeric"
" 2009-10",41918.4,7786.6,8903.6,8261.2,1268.1,831.3,28457.0,623.8,98051.0,8168.6,3466.0,11646.1,23281.7,121333.2,5478.1,1941.8,5587.9,341.6,735.4,25958.8,10132.2,811.2,94.3,579.0,400.0,468.0,770.0,4175.4,444.0,1835.0,196.86,766.87,107.05,1895.2,180.3
" Arunachal Pradesh",121.5,"NA","NA",43.6,"NA",21.4,3.2,"NA",189.7,"NA",0.6,8.3,8.9,198.6,0.5,1.1,25.9,"NA","NA",30.5,"NA","NA","NA",322.0,"NA","NA","NA",1.5,"NA","NA","NA",1.9,5.23,"NA",0.5
" Assam",2495.8,"NA","NA",19.5,"NA",6.6,58.4,"NA",2580.3,1.8,6.2,107.3,115.3,2695.6,"NA",12.8,244.9,7.7,1.2,275.3,1.6,65.3,5.0,2.0,"NA","NA",53.4,27.1,"NA",86.6,"NA",15.41,"NA",18.8,11.96
" Bihar",3213.7,1.7,3.0,631.7,10.4,4.0,2193.3,11.5,6069.3,57.6,27.9,479.4,564.9,6634.2,"NA",2.3,88.7,24.4,"NA",138.8,"NA",122.9,16.8,"NA","NA","NA",31.5,115.9,"NA",313.6,"NA",2.9,0.56,"NA",3.0
"Chhattisgarh",3670.7,4.7,"NA",102.4,8.3,153.4,112.2,3.1,4054.8,252.2,60.0,496.7,808.9,4863.7,28.9,20.4,59.6,40.0,"NA",330.1,"NA","NA",1.4,"NA","NA","NA","NA",12.4,"NA","NA","NA",5.0,1.26,"NA",0.7
" Goa",47.1,"NA","NA","NA","NA","NA","NA","NA",47.1,"NA","NA",7.9,7.9,55.0,2.9,"NA","NA","NA","NA",2.9,"NA","NA","NA","NA","NA","NA","NA",0.9,"NA","NA",0.65,"NA","NA",25.6,"NA"
" Gujarat",679.0,163.0,672.0,497.0,14.0,58.0,878.0,"NA",2961.0,132.0,266.0,335.0,733.0,3694.0,1822.0,225.0,216.0,"NA",421.0,2793.0,2464.0,"NA","NA","NA","NA","NA",61.9,154.0,"NA",60.1,"NA",6.4,1.9,16.0,1.0
" Haryana",1205.0,72.0,585.0,12.0,"NA","NA",2492.0,42.0,4408.0,84.0,22.0,26.0,132.0,4540.0,2.0,3.0,513.0,"NA","NA",533.4,507.0,"NA","NA","NA","NA","NA","NA",74.0,"NA",23.0,"NA",0.7,"NA","NA","NA"
" Himachal Pradesh",76.7,"NA","NA",295.4,2.7,5.1,352.5,21.2,753.6,0.7,"NA",29.7,30.4,784.0,"NA",2.9,8.7,1.6,"NA",14.0,"NA","NA","NA",2.0,"NA","NA","NA",2.2,"NA","NA","NA",0.62,2.18,"NA","NA"
" Jammu & Kashmir",259.9,4.4,17.4,311.0,"NA",10.0,288.9,14.2,905.8,"NA","NA",29.7,29.7,935.5,"NA",4.6,60.3,"NA","NA",65.1,"NA","NA","NA","NA","NA","NA","NA",0.0,"NA","NA","NA",0.6,"NA","NA","NA"
"Jharkhand",995.0,"NA","NA",163.2,10.4,24.9,99.7,9.2,1303.4,63.0,61.2,191.5,315.7,1619.1,14.2,4.3,96.3,19.8,"NA",141.5,"NA","NA",0.8,"NA","NA","NA","NA",6.5,"NA",38.2,"NA","NA","NA","NA","NA"
" Karnataka",1487.0,1369.0,305.0,1240.0,765.0,27.0,283.0,"NA",5476.0,972.0,604.0,903.0,2479.0,7955.0,818.0,76.0,5.0,12.0,18.0,2001.0,457.0,"NA",1.0,2.0,"NA","NA",104.4,337.0,"NA",81.1,16.32,122.0,14.65,419.0,12.42
" Kerala",234.0,2.5,"NA","NA","NA","NA","NA","NA",236.5,"NA",2.6,7.7,10.3,246.8,1.3,0.6,"NA","NA","NA",1.9,1.0,"NA","NA",37.0,"NA","NA",51.3,3.0,"NA","NA",172.76,1.6,7.36,788.0,2.91
" Madhya Pradesh",1445.7,445.9,165.5,832.3,"NA",268.4,4275.9,84.8,7518.5,3085.5,362.1,1492.9,4940.5,12459.0,188.1,202.4,790.5,117.9,0.7,6765.1,610.9,"NA",0.6,"NA","NA","NA",33.0,62.1,"NA",60.8,"NA",42.4,5.26,"NA",0.5
" Maharashtra",1470.0,4176.0,1034.0,794.0,120.0,59.0,1081.0,2.7,8736.7,1291.0,1093.0,992.0,3376.0,12112.7,321.0,55.0,6.0,36.0,7.0,3884.0,3495.0,"NA",18.0,"NA","NA","NA",85.0,756.0,"NA","NA","NA",99.5,1.06,21.0,6.76
" Manipur",169.4,"NA","NA",4.8,"NA","NA","NA","NA",174.2,"NA","NA",14.5,14.5,188.7,"NA",0.5,"NA","NA","NA",0.9,"NA","NA","NA",1.0,"NA","NA","NA",0.6,"NA","NA","NA",6.5,2.4,"NA","NA"
" Meghalaya",108.2,"NA","NA",17.2,"NA",2.4,"NA","NA",127.8,0.6,0.8,2.6,4.0,131.8,"NA",1.6,7.2,"NA",0.5,9.9,6.9,3.9,4.2,1.0,"NA","NA","NA","NA","NA","NA",0.9,1.87,9.26,"NA",1.96
