"Year","State/U.T.","Number of sterilisations during the year","Cumulative number of sterilisations(1) - Number**","Cumulative number of sterilisations(1) - Rate","Number of IUD insertions during the year","Cumulative number of IUD insertions(1) - Number**","Cumulative number of IUD insertions(1) - Rate","No. of conventional contraceptive users during the year - Number","No. of conventional contraceptive users during the year - Rate"
" 2011-12(P)","GRAND TOTAL",4810258.0,174059651.0,"NA",5774879.0,166233861.0,"NA",19417660.0,"NA"
" 2011-12(P)","Andhra Pradesh",589717.0,21762020.0,"NA",383769.0,8720691.0,"NA",915278.0,"NA"
" 2011-12(P)","Arunachal Pradesh",673.0,46344.0,"NA",2057.0,70521.0,"NA",1936.0,"NA"
" 2011-12(P)","Assam",63527.0,2242448.0,"NA",66503.0,1188812.0,"NA",187363.0,"NA"
" 2011-12(P)","Bihar",506912.0,10300204.0,"NA",319091.0,5430329.0,"NA",198401.0,"NA"
" 2011-12(P)","Chattisgarh",132312.0,1571288.0,"NA",77667.0,1254435.0,"NA",201427.0,"NA"
" 2011-12(P)","Goa",6409.0,172262.0,"NA",2636.0,90615.0,"NA",7073.0,"NA"
" 2011-12(P)","Gujarat",326915.0,10734384.0,"NA",607370.0,12494611.0,"NA",796031.0,"NA"
" 2011-12(P)","Haryana",77308.0,3440373.0,"NA",192796.0,5370265.0,"NA",353386.0,"NA"
" 2011-12(P)","Himachal Pradesh",22858.0,1212963.0,"NA",19697.0,1066341.0,"NA",103589.0,"NA"
" 2011-12(P)","Jammu & Kashmir",16767.0,722711.0,"NA",19132.0,593617.0,"NA",53445.0,"NA"
" 2011-12(P)","Jharkhand",120343.0,1056299.0,"NA",101203.0,892549.0,"NA",181666.0,"NA"
" 2011-12(P)","Karnataka",312770.0,12372898.0,"NA",195487.0,8275406.0,"NA",262511.0,"NA"
" 2011-12(P)","Kerala",97138.0,6271041.0,"NA",55260.0,2747897.0,"NA",77513.0,"NA"
" 2011-12(P)","Madhya Pradesh",578691.0,14154490.0,"NA",296701.0,13226962.0,"NA",477332.0,"NA"
" 2011-12(P)","Maharashtra",508121.0,22981497.0,"NA",364471.0,13606984.0,"NA",564898.0,"NA"
" 2011-12(P)","Manipur",1796.0,103998.0,"NA",5412.0,216065.0,"NA",3938.0,"NA"
" 2011-12(P)","Meghalaya",2825.0,54934.0,"NA",4659.0,67720.0,"NA",10706.0,"NA"
" 2011-12(P)","Mizoram",1568.0,101430.0,"NA",2553.0,69132.0,"NA",5229.0,"NA"
" 2011-12(P)","Nagaland",2164.0,35058.0,"NA",2731.0,51299.0,"NA",2754.0,"NA"
" 2011-12(P)","Orissa",142576.0,5563208.0,"NA",142063.0,4925698.0,"NA",379879.0,"NA"
" 2011-12(P)","Punjab",70797.0,4062663.0,"NA",225844.0,10863769.0,"NA",517251.0,"NA"
" 2011-12(P)","Rajasthan",312238.0,8261116.0,"NA",389535.0,6835305.0,"NA",1653303.0,"NA"
" 2011-12(P)","Sikkim",2.0,29746.0,"NA",1358.0,39580.0,"NA",7836.0,"NA"
" 2011-12(P)","Tamil Nadu",309407.0,14994724.0,"NA",309084.0,11144624.0,"NA",208399.0,"NA"
" 2011-12(P)","Tripura",6155.0,244552.0,"NA",1267.0,87921.0,"NA",14511.0,"NA"
" 2011-12(P)","Uttar Pradesh",331216.0,16135423.0,"NA",1351963.0,48992335.0,"NA",922199.0,"NA"
" 2011-12(P)","Uttarakhand",19702.0,364709.0,"NA",114468.0,1351520.0,"NA",124456.0,"NA"
" 2011-12(P)","West Bengal",211387.0,11622077.0,"NA",97238.0,3409231.0,"NA",1045417.0,"NA"
" 2011-12(P)","A & N Islands",1153.0,51471.0,"NA",834.0,39787.0,"NA",1809.0,"NA"
" 2011-12(P)","Chandigarh",1875.0,101455.0,"NA",3171.0,197807.0,"NA",14503.0,"NA"
" 2011-12(P)","D. & N. Haveli",1241.0,31606.0,"NA",198.0,6284.0,"NA",1439.0,"NA"
" 2011-12(P)","Daman & Diu",409.0,12888.0,"NA",233.0,6215.0,"NA",3216.0,"NA"
" 2011-12(P)","Delhi",20435.0,1306008.0,"NA",413975.0,2066321.0,"NA",145428.0,"NA"
" 2011-12(P)","Lakshadweep",39.0,1513.0,"NA",43.0,2016.0,"NA",208.0,"NA"
" 2011-12(P)","Puducherry",10284.0,319820.0,"NA",2348.0,132518.0,"NA",11522.0,"NA"
" 2011-12(P)","Other Agencies : Ministry of Defence","NULL",758264.0,"NULL","NULL",360844.0,"NULL","NULL","NULL"
" 2011-12(P)","Other Agencies : Ministry of Railways",2528.0,861766.0,"NULL",2115.0,338195.0,"NULL",17865.0,"NULL"
" 2011-12(P)","Other Agencies : Commerical distribution","         NA","NA","NA","NA","NA","NA",9944303.0,"NA"
