-----
{
 "description": "Data provides state-wise details on consumer price index for agricultural labourers and rural labourers from 2005-06 to 2011-12.", 
 "file_name": "CONSUMER_PRICE_INDEX_NUMBERS_FOR_AGRICULTURAL_LABOURERS_AND_RURAL_LABOURERS.XLS", 
 "title": "Consumer Price Index For Agricultural Labourers And Rural Labourers From 2005-06 To 2011-12 ", 
 "url": "http://data.gov.in/sites/default/files/CONSUMER_PRICE_INDEX_NUMBERS_FOR_AGRICULTURAL_LABOURERS_AND_RURAL_LABOURERS.XLS"
}
-----
"State","General Weight","General- 2005-06","General- 2006-07","General- 2007-08","General- 2008-09","General- 2009-10","General- 2010-11","General- 2011-12","Food- Weight"," Food- 2005-06","Food- 2006-07","Food- 2007-08","Food- 2008-09","Food- 2009-10","Food- 2010-11","Food- 2011-12"
"Andhra Pradesh",12.97,371.0,401.0,430.0,484.0,552.0,603.0,668.0,8.28,376.0,408.0,441.0,503.0,577.0,626.0,674.0
"Assam",1.69,362.0,388.0,417.0,451.0,520.0,580.0,622.0,1.24,343.0,372.0,409.0,450.0,526.0,586.0,620.0
"Bihar",11.38,347.0,384.0,411.0,446.0,500.0,532.0,552.0,8.66,338.0,379.0,409.0,442.0,497.0,519.0,521.0
"Gujarat",5.2,369.0,403.0,424.0,459.0,538.0,583.0,627.0,3.55,377.0,415.0,434.0,469.0,569.0,614.0,649.0
"Haryana",1.81,376.0,403.0,447.0,498.0,588.0,642.0,690.0,1.17,388.0,422.0,472.0,533.0,644.0,683.0,722.0
"Himachal Pradesh",0.1,343.0,367.0,376.0,406.0,455.0,484.0,513.0,0.06,347.0,379.0,389.0,420.0,480.0,504.0,530.0
"Jammu & Kashmir",0.26,359.0,392.0,413.0,453.0,524.0,568.0,608.0,0.19,365.0,401.0,425.0,471.0,558.0,606.0,642.0
"Karnataka",6.67,341.0,367.0,406.0,458.0,535.0,595.0,665.0,4.37,333.0,360.0,404.0,465.0,557.0,612.0,674.0
"Kerala",5.02,356.0,374.0,403.0,454.0,496.0,562.0,601.0,3.35,347.0,364.0,395.0,452.0,499.0,571.0,596.0
"Madhya Pradesh",6.86,352.0,388.0,412.0,459.0,525.0,569.0,615.0,4.97,352.0,395.0,421.0,473.0,548.0,583.0,607.0
"Maharashtra",9.96,368.0,402.0,432.0,475.0,562.0,619.0,691.0,6.46,372.0,413.0,446.0,497.0,598.0,650.0,719.0
"Manipur",0.1,328.0,337.0,367.0,407.0,455.0,527.0,594.0,0.07,307.0,318.0,347.0,384.0,443.0,520.0,554.0
"Meghalaya",0.13,382.0,410.0,439.0,484.0,540.0,576.0,633.0,0.1,371.0,400.0,436.0,495.0,554.0,584.0,631.0
"Orissa",5.07,334.0,365.0,400.0,438.0,495.0,538.0,562.0,3.94,316.0,352.0,391.0,431.0,490.0,528.0,534.0
"Punjab ",3.02,380.0,417.0,448.0,501.0,586.0,624.0,685.0,1.85,394.0,436.0,460.0,527.0,634.0,664.0,716.0
"Rajasthan",2.14,377.0,413.0,439.0,490.0,573.0,608.0,668.0,1.34,377.0,418.0,436.0,493.0,595.0,608.0,646.0
"Tamil Nadu",8.47,355.0,371.0,403.0,455.0,514.0,565.0,605.0,5.83,327.0,337.0,369.0,424.0,484.0,531.0,542.0
"Tripura",0.15,351.0,383.0,407.0,433.0,466.0,514.0,548.0,0.1,336.0,367.0,398.0,433.0,469.0,523.0,550.0
"Uttar Pradesh",9.61,371.0,408.0,433.0,469.0,535.0,566.0,595.0,6.35,375.0,419.0,443.0,477.0,564.0,582.0,592.0
"West Bengal",9.39,342.0,365.0,395.0,432.0,504.0,561.0,592.0,7.27,318.0,343.0,381.0,417.0,494.0,544.0,556.0
"All India ",100.0,358.0,388.0,417.0,462.0,530.0,577.0,622.0,69.15,351.0,384.0,416.0,464.0,540.0,582.0,610.0
