-----
{
 "description": "This data provides all India (2001 to 2011) and state-wise (2009 to 2011) details on disposal of total cognizable crime cases under IPC by courts.", 
 "file_name": "DISPOSAL_OF_TOTAL_COGNIZABLE_CRIME_CASES_UNDER_IPC_BY_COURTS.xls", 
 "title": "All India And State-wise Disposal of Total Cognizable Crime Cases Under IPC By Courts ", 
 "url": "http://data.gov.in/sites/default/files/DISPOSAL_OF_TOTAL_COGNIZABLE_CRIME_CASES_UNDER_IPC_BY_COURTS.xls"
}
-----
"State / Union Territory","Total cases for trial during the year including the cases carried over from previous year- 2009","Total cases for trial during the year including the cases carried over from previous year- 2010","Total cases for trial during the year including the cases carried over from previous year- 2011","No. of cases compounded or withdrwan- 2009","No. of cases compounded or withdrwan- 2010","No. of cases compounded or withdrwan- 2011","Total (Cases in which trials were completed)- 2009","Total (Cases in which trials were completed)- 2010","Total (Cases in which trials were completed)- 2011","Cases convicted (Cases in which trials were completed)- 2009","Cases convicted (Cases in which trials were completed)- 2010","Cases convicted (Cases in which trials were completed)- 2011","Cases acquitted or discharged (Cases in which trials were completed)- 2009","Cases acquitted or discharged (Cases in which trials were completed)- 2010","Cases acquitted or discharged (Cases in which trials were completed)- 2011","Cases pending trial at the end of the year- 2009","Cases pending trial at the end of the year- 2010","Cases pending trial at the end of the year- 2011"
"Total",8130053.0,8549655.0,8939161.0,146300.0,150322.0,164920.0,1025781.0,1141031.0,1211225.0,427655.0,464128.0,497996.0,598126.0,676903.0,713229.0,6957972.0,7258302.0,7563016.0
"AndhraPradesh",443354.0,469175.0,475808.0,28888.0,26956.0,24248.0,89968.0,110365.0,110646.0,29988.0,37816.0,36911.0,59980.0,72549.0,73735.0,324498.0,331854.0,340914.0
"ArunachalPradesh",16486.0,17100.0,17186.0,136.0,349.0,177.0,569.0,814.0,511.0,331.0,480.0,227.0,238.0,334.0,284.0,15781.0,15937.0,16498.0
"Assam",102751.0,112748.0,123599.0,1434.0,2051.0,3646.0,14880.0,15018.0,23876.0,3139.0,2556.0,4744.0,11741.0,12462.0,19132.0,86437.0,95679.0,96077.0
"Bihar",548441.0,579301.0,637136.0,3293.0,4411.0,11495.0,47218.0,52733.0,56741.0,8500.0,8562.0,8792.0,38718.0,44171.0,47949.0,497930.0,522157.0,568900.0
"Chhattisgarh",205494.0,219575.0,224408.0,4791.0,8596.0,7514.0,23636.0,34022.0,29942.0,11431.0,14050.0,13364.0,12205.0,19972.0,16578.0,177067.0,176957.0,186952.0
"Goa",8208.0,8945.0,9255.0,34.0,33.0,33.0,1189.0,1426.0,1237.0,311.0,305.0,320.0,878.0,1121.0,917.0,6985.0,7486.0,7985.0
"Gujarat",858762.0,893655.0,938430.0,2737.0,1897.0,2066.0,57081.0,55227.0,64674.0,23467.0,20939.0,25301.0,33614.0,34288.0,39373.0,798944.0,836531.0,871690.0
"Haryana",170192.0,173344.0,176430.0,141.0,120.0,185.0,33155.0,32606.0,41888.0,12031.0,10460.0,10685.0,21124.0,22146.0,31203.0,136896.0,140618.0,134357.0
"HimachalPradesh",62813.0,64979.0,68808.0,1054.0,840.0,1153.0,6766.0,5315.0,5286.0,1655.0,1057.0,1326.0,5111.0,4258.0,3960.0,54993.0,58824.0,62369.0
