-----
{
 "description": "This table shows all India figures of industrial disputes by causes of disputes during 2000 to 2010.", 
 "file_name": "INDUSTRIAL_DISPUTES_BY_CAUSES.xls", 
 "title": "Industrial Disputes By Causes ", 
 "url": "http://data.gov.in/sites/default/files/INDUSTRIAL_DISPUTES_BY_CAUSES.xls"
}
-----
"  Year","Wages and allowances","Bonus","Personnel","Retrenchment","Leave & hours of work/ shift working","Indiscipline & violence"," Others","Not known","Total no. of disputes"
" 2000",158.0,66.0,84.0,12.0,7.0,197.0,208.0,39.0,771.0
" 2001",166.0,44.0,74.0,9.0,1.0,156.0,167.0,57.0,674.0
" 2002",118.0,37.0,78.0,12.0,3.0,171.0,136.0,24.0,579.0
" 2003",104.0,34.0,57.0,12.0,5.0,191.0,107.0,42.0,552.0
"2004",114.0,16.0,60.0,1.0,2.0,187.0,73.0,24.0,477.0
"2005",98.0,16.0,43.0,2.0,"NA",187.0,104.0,6.0,456.0
" 2006",79.0,13.0,59.0,3.0,3.0,149.0,116.0,8.0,430.0
" 2007",87.0,9.0,54.0,1.0,"NA",137.0,97.0,4.0,389.0
" 2008 ",74.0,15.0,36.0,"-",3.0,114.0,172.0,7.0,421.0
" 2009 ",74.0,17.0,41.0,1.0,1.0,109.0,107.0,1.0,351.0
" 2010 ",80.0,13.0,37.0,4.0,1.0,110.0,184.0,"NA",429.0
" 2011 (P)",42.0,14.0,30.0,1.0,1.0,14.0,107.0,1.0,210.0
