"Year of sanction","State"," Infrastructure sanctioned","No. of Units "
"2008-09","Arunachal Pradesh","Panchayat Resource Centre at Block level",150.0
"2008-09","Assam","Panchayat Resource Centre in the Kahikuchi campus of State Institute of Rural Development at Guwahati.",1.0
"2008-09","Himachal Pradesh","Administrative Block at PRTI Mashobra",1.0
"2008-09","Tripura","Training Institutes at Udaipur in South District and Kumarghat in North Tripura",2.0
"2010-11","Arunachal Pradesh","Panchayat Resource Centre at Block level",150.0
"2011-12","NA","NA","NA"
"Total","","",304.0
