-----
{
 "description": "This data provides all India (2001 to 2011) and state-wise (2009 to 2011) details on number of cognizable crime under Indian Penal Code (IPC) and strength of police force.", 
 "file_name": "NUMBER_OF_COGNIZABLE_CRIME_UNDER_IPC_AND_STRENGTH_OF_POLICE_FORCE.xls", 
 "title": "All India and State-wise Number Of Cognizable Crime Under IPC And Strength Of Police Force ", 
 "url": "http://data.gov.in/sites/default/files/NUMBER_OF_COGNIZABLE_CRIME_UNDER_IPC_AND_STRENGTH_OF_POLICE_FORCE.xls"
}
-----
"State/U.T","Year","Total Number of IPC cases for Investigation including pending Cases from previous year","Actual Strength of Police force - Civil","Actual Strength of Police force - Armed","Actual Strength of Police force - Total","Number of policemen per 100 square Kilometres of Area","Number of policemen per 1000 of population","Number of IPC cases per Civil Policeman"
"Total 2009",2009.0,2808468.0,1215050.0,342447.0,1557497.0,49.2,1.33,2.3
"Andhra Pradesh",2009.0,233402.0,93000.0,13855.0,106855.0,38.9,1.28,2.5
"Arunachal Pradesh",2009.0,3373.0,3423.0,3833.0,7256.0,8.7,5.95,1.0
"Assam",2009.0,116294.0,27900.0,23829.0,51729.0,65.9,1.69,4.2
"Bihar",2009.0,208024.0,46973.0,12227.0,59200.0,62.9,0.62,4.4
"Chhattisgarh",2009.0,56236.0,24601.0,15106.0,39707.0,29.4,1.64,2.3
"Goa",2009.0,5431.0,4063.0,661.0,4724.0,127.6,2.79,1.3
"Gujarat",2009.0,130630.0,48185.0,12171.0,60356.0,30.8,1.05,2.7
"Haryana",2009.0,67587.0,35778.0,5614.0,41392.0,93.6,1.71,1.9
"Himachal Pradesh",2009.0,16889.0,9781.0,4189.0,13970.0,25.1,2.11,1.7
"Jammu & Kashmir",2009.0,31459.0,63151.0,24962.0,88113.0,86.9,6.83,0.5
"Jharkhand",2009.0,71525.0,30188.0,12172.0,42360.0,53.1,1.39,2.4
"Karnataka",2009.0,177323.0,65627.0,9715.0,75342.0,39.3,1.29,2.7
"Kerala",2009.0,145926.0,36898.0,2891.0,39789.0,102.4,1.15,4.0
"Madhya Pradesh",2009.0,218544.0,55503.0,21333.0,76836.0,24.9,1.08,3.9
"Maharashtra",2009.0,292382.0,166611.0,13292.0,179903.0,58.5,1.66,1.8
"Manipur",2009.0,12267.0,8541.0,10695.0,19236.0,86.2,7.2,1.4
"Meghalaya",2009.0,8158.0,5885.0,4179.0,10064.0,44.9,3.91,1.4
"Mizoram",2009.0,2541.0,3568.0,7380.0,10948.0,51.9,10.99,0.7
"Nagaland",2009.0,2168.0,5637.0,4366.0,10003.0,60.3,4.5,0.4
"Orissa",2009.0,82839.0,29085.0,14390.0,43475.0,27.9,1.08,2.8
"Punjab",2009.0,53725.0,49031.0,18013.0,67044.0,133.1,2.48,1.1
"Rajasthan",2009.0,172555.0,59680.0,12045.0,71725.0,21.0,1.09,2.9
"Sikkim",2009.0,1662.0,1985.0,1619.0,3604.0,50.8,5.97,0.8
"Tamil Nadu",2009.0,217603.0,75244.0,13428.0,88672.0,68.2,1.32,2.9
"Tripura",2009.0,6398.0,9648.0,13094.0,22742.0,216.9,6.38,0.7
"Uttar Pradesh",2009.0,187151.0,114433.0,33366.0,147799.0,61.3,0.76,1.6
"Uttarakhand",2009.0,10653.0,11453.0,4134.0,15587.0,29.1,1.61,0.9
"WestBengal",2009.0,165781.0,61716.0,21642.0,83358.0,93.9,0.93,2.7
"A. & N.Islands",2009.0,1425.0,2927.0,802.0,3729.0,45.2,8.82,0.5
"Chandigarh",2009.0,5642.0,4121.0,574.0,4695.0,4118.4,4.28,1.4
"D. & N.Haveli",2009.0,685.0,222.0,0.0,222.0,45.2,0.81,3.1
"Daman and Diu",2009.0,462.0,220.0,0.0,220.0,196.4,1.13,2.1
"Delhi",2009.0,95878.0,58222.0,6221.0,64443.0,4345.4,3.62,1.6
"Lakshadweep",2009.0,345.0,254.0,0.0,254.0,793.8,3.58,1.4
"Puducherry",2009.0,5505.0,1496.0,649.0,2145.0,436.0,1.96,3.7
"Total 2010",2010.0,2985719.0,1223319.0,356992.0,1580311.0,49.9,1.33,2.4
"Andhra Pradesh",2010.0,236759.0,95370.0,14534.0,109904.0,40.0,1.31,2.5
"Arunachal Pradesh",2010.0,3546.0,3506.0,3939.0,7445.0,8.9,6.03,1.0
"Assam",2010.0,129208.0,28694.0,25375.0,54069.0,68.9,1.75,4.5
"Bihar",2010.0,221380.0,49915.0,11941.0,61856.0,65.7,0.64,4.4
"Chhattisgarh",2010.0,59806.0,26046.0,15779.0,41825.0,30.9,1.7,2.3
"Goa",2010.0,6043.0,4038.0,661.0,4699.0,126.9,2.7,1.5
"Gujarat",2010.0,134586.0,48648.0,15936.0,64584.0,32.9,1.11,2.8
"Haryana",2010.0,72537.0,42961.0,4535.0,47496.0,107.4,1.93,1.7
"Himachal Pradesh",2010.0,15631.0,9671.0,3904.0,13575.0,24.4,2.03,1.6
"Jammu & Kashmir",2010.0,31563.0,47859.0,29153.0,77012.0,76.0,5.76,0.7
"Jharkhand",2010.0,71243.0,33806.0,12807.0,46613.0,58.5,1.51,2.1
"Karnataka",2010.0,202157.0,63689.0,7908.0,71597.0,37.3,1.22,3.2
"Kerala",2010.0,171554.0,37368.0,3182.0,40550.0,104.3,1.16,4.6
"Madhya Pradesh",2010.0,225681.0,52765.0,23390.0,76155.0,24.7,1.06,4.3
"Maharashtra",2010.0,303062.0,165740.0,14215.0,179955.0,58.5,1.64,1.8
"Manipur",2010.0,13364.0,10249.0,13274.0,23523.0,105.4,8.71,1.3
"Meghalaya",2010.0,8221.0,5898.0,4349.0,10247.0,45.7,3.93,1.4
"Mizoram",2010.0,2512.0,3562.0,7171.0,10733.0,50.9,10.65,0.7
"Nagaland",2010.0,1884.0,5637.0,4366.0,10003.0,60.3,4.45,0.3
"Orissa",2010.0,90570.0,28965.0,14480.0,43445.0,27.9,1.06,3.1
"Punjab",2010.0,56564.0,47992.0,18678.0,66670.0,132.4,2.44,1.2
"Rajasthan",2010.0,169883.0,59608.0,11962.0,71570.0,20.9,1.07,2.9
"Sikkim",2010.0,1124.0,1645.0,2159.0,3804.0,53.6,6.24,0.7
"Tamil Nadu",2010.0,240255.0,72886.0,13869.0,86755.0,66.7,1.28,3.3
"Tripura",2010.0,6920.0,10671.0,13588.0,24259.0,231.3,6.72,0.6
"Uttar Pradesh",2010.0,191513.0,111234.0,30898.0,142132.0,59.0,0.71,1.7
"Uttarakhand",2010.0,10445.0,13884.0,4160.0,18044.0,33.7,1.84,0.8
"WestBengal",2010.0,198296.0,63906.0,22191.0,86097.0,97.0,0.95,3.1
"A. & N.Islands",2010.0,1532.0,2933.0,806.0,3739.0,45.3,8.66,0.5
"Chandigarh",2010.0,5928.0,4424.0,635.0,5059.0,4437.7,4.5,1.3
"D. & N.Haveli",2010.0,727.0,208.0,0.0,208.0,42.4,0.73,3.5
"Daman and Diu",2010.0,418.0,220.0,0.0,220.0,196.4,1.1,1.9
"Delhi",2010.0,96094.0,67268.0,6594.0,73862.0,4980.6,4.03,1.4
"Lakshadweep",2010.0,213.0,332.0,0.0,332.0,1037.5,4.61,0.6
"Puducherry",2010.0,4500.0,1721.0,553.0,2274.0,462.2,2.04,2.6
"Total 2011",2011.0,3146326.0,1281317.0,378834.0,1660151.0,52.4,1.37,2.5
"Andhra Pradesh",2011.0,241502.0,69687.0,19717.0,89404.0,32.5,1.06,3.5
"Arunachal Pradesh",2011.0,3808.0,3559.0,3896.0,7455.0,8.9,5.39,1.1
"Assam",2011.0,142823.0,28694.0,25375.0,54069.0,68.9,1.73,5.0
"Bihar",2011.0,245409.0,54196.0,13350.0,67546.0,71.7,0.65,4.5
"Chhattisgarh",2011.0,64304.0,27597.0,16510.0,44107.0,32.6,1.73,2.3
"Goa",2011.0,5885.0,4196.0,1203.0,5399.0,145.8,3.7,1.4
"Gujarat",2011.0,140800.0,52598.0,19072.0,71670.0,36.6,1.19,2.7
"Haryana",2011.0,74805.0,42987.0,7378.0,50365.0,113.9,1.99,1.7
"Himachal Pradesh",2011.0,17354.0,9685.0,4949.0,14634.0,26.3,2.13,1.8
"Jammu & Kashmir",2011.0,34489.0,48649.0,28156.0,76805.0,75.8,6.12,0.7
"Jharkhand",2011.0,61600.0,40579.0,14568.0,55147.0,69.2,1.67,1.5
"Karnataka",2011.0,198428.0,66513.0,8186.0,74699.0,38.9,1.22,3.0
"Kerala",2011.0,194069.0,39231.0,5772.0,45003.0,115.8,1.35,4.9
"Madhya Pradesh",2011.0,227073.0,53658.0,18847.0,72505.0,23.5,1.0,4.2
"Maharashtra",2011.0,313442.0,169146.0,13825.0,182971.0,59.5,1.63,1.9
"Manipur",2011.0,15214.0,10287.0,13574.0,23861.0,106.9,8.77,1.5
"Meghalaya",2011.0,8947.0,6019.0,5281.0,11300.0,50.4,3.81,1.5
"Mizoram",2011.0,2127.0,4062.0,6799.0,10861.0,51.5,9.96,0.5
"Nagaland",2011.0,1692.0,5637.0,4366.0,10003.0,60.3,5.05,0.3
"Orissa",2011.0,87460.0,29481.0,16495.0,45976.0,29.5,1.1,3.0
"Punjab",2011.0,54181.0,47940.0,19166.0,67106.0,133.2,2.42,1.1
"Rajasthan",2011.0,173125.0,64186.0,12170.0,76356.0,22.3,1.11,2.7
"Sikkim",2011.0,813.0,1641.0,2809.0,4450.0,62.7,7.32,0.5
"Tamil Nadu",2011.0,270206.0,81814.0,13931.0,95745.0,73.6,1.33,3.3
"Tripura",2011.0,7279.0,10671.0,13588.0,24259.0,231.3,6.61,0.7
"Uttar Pradesh",2011.0,217459.0,155477.0,31948.0,187425.0,77.8,0.94,1.4
"Uttarakhand",2011.0,9927.0,14249.0,4196.0,18445.0,34.5,1.82,0.7
"WestBengal",2011.0,218110.0,60450.0,23464.0,83914.0,94.5,0.92,3.6
