-----
{
 "description": "Data provides budgetary position of the government of India from 2000-01 to 2011-12 for items such as revenue receipts, non-tax revenue, revenue expenditure, revenue deficit, capital receipts and capital expenditure.", 
 "file_name": "BUDGETARY_POSITION_OF_THE_GOVERNMENT_OF_INDIA.xls", 
 "title": "Budgetary Position of The Government of India From 2000-01 To 2011-12 ", 
 "url": "http://data.gov.in/sites/default/files/BUDGETARY_POSITION_OF_THE_GOVERNMENT_OF_INDIA.xls"
}
-----
"Items","2000-01","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11 (P)","2011-12 (BE)"
" I. Revenue receipts (2+3)",192605.0,305991.0,347077.0,434387.0,541864.0,540259.0,572811.0,794277.0,789892.0
"2. Tax revenue (net of States' share)",136658.0,224798.0,270264.0,351182.0,439547.0,443319.0,456536.0,572790.0,664457.0
"3. Non-tax revenue",55947.0,81193.0,76813.0,83205.0,102317.0,96940.0,116275.0,221487.0,125435.0
"4. Revenue expenditure",277838.0,384329.0,439376.0,514609.0,594433.0,793798.0,911809.0,1039130.0,1097162.0
"4 (a) Interest Payments",99314.0,126934.0,132630.0,150272.0,171030.0,192204.0,213093.0,234738.0,267986.0
"4 (b) Major subsidies",25860.0,44753.0,44480.0,53495.0,67498.0,123581.0,135508.0,131212.0,134411.0
"4 (c) Defence expenditure",37238.0,43862.0,48211.0,51682.0,54219.0,73305.0,90669.0,92386.0,95216.0
"5. Revenue deficit (4-1)",85233.0,78338.0,92299.0,80222.0,52569.0,253539.0,338998.0,244853.0,307270.0
"6. Capital Receipts",132987.0,192261.0,158661.0,149000.0,170807.0,343697.0,451676.0,404642.0,467837.0
"6 (a) Recovery of loans",12046.0,62043.0,10645.0,5893.0,5100.0,6139.0,8613.0,12752.0,15020.0
"6 (b) Other receipt (mainly PSU disinvestment)",2125.0,4424.0,1581.0,534.0,38795.0,566.0,24581.0,22847.0,40000.0
"(c) Borrowings and other liabilities **",118816.0,125794.0,146435.0,142573.0,126912.0,336992.0,418482.0,369043.0,412817.0
"7. Capital expenditure",47754.0,"113923 $",66362.0,68778.0,118238.0,90158.0,112678.0,159789.0,160567.0
"8. Total expenditure  [4+7=8(a)+8(b)",325592.0,498252.0,505738.0,583387.0,712671.0,883956.0,1024487.0,1198919.0,1257729.0
"8 (a) Plan expenditure",82669.0,132292.0,140638.0,169860.0,205082.0,275235.0,303391.0,377350.0,441547.0
"8 (b) Non-Plan expenditure",242923.0,365960.0,365100.0,413527.0,507589.0,608721.0,721096.0,821569.0,816182.0
"9. Fiscal deficit [8-1-6(a)-6(b)]",118816.0,125794.0,146435.0,142573.0,126912.0,336992.0,418482.0,369043.0,412817.0
"10. Primary deficit [9-4(a)=10(a)-10(b)]",19502.0,-1140.0,13805.0,-7699.0,-44118.0,144788.0,205389.0,134305.0,144831.0
