-----
{
 "description": "This table gives All India (2003-11) and State-wise (1991 and 2001) data on Literacy Rate in India for rural and urban (NSSO And RGI).", 
 "file_name": "LITERACY_RATE_INDIA.xls", 
 "title": "Literacy Rate In India (NSSO And RGI) ", 
 "url": "http://data.gov.in/sites/default/files/LITERACY_RATE_INDIA.xls"
}
-----
"State/Union ","     Rural Male","     Rural Female","     Rural Persons","     Urban Male","     Urban Female","     Urban Persons"
2003.0,71.0,48.0,60.0,88.0,74.0,81.0
2004.0,72.0,50.0,61.0,88.0,75.0,82.0
2005.0,"NA","NA","NA","NA","NA","NA"
2006.0,75.0,52.0,64.0,89.0,77.0,83.0
2007.0,76.0,54.0,65.0,89.0,77.0,84.0
2011.0,79.0,59.0,69.0,90.0,80.0,85.0
