-----
{
 "description": "This Table give All India (2000-01 to 2009-10) and State-wise (2008-09 to 2009-10) data on gross area under irrigation by crops such as Rice, Jowar, Bajra, Maize, Ragi, Wheat, Barley, Cereals, Millets, Pulses, Food Grains, Sugarcane, Fruits, Vegetables, Cotton, Tobacco, Fodder Crops, etc.", 
 "file_name": "GROSS_AREA_UNDER_IRRIGATION_BY_CROPS.xls", 
 "title": "Gross Area Under Irrigation by Crops ", 
 "url": "http://data.gov.in/sites/default/files/GROSS_AREA_UNDER_IRRIGATION_BY_CROPS.xls"
}
-----
"Year/State/Union Territory","Rice ('000 hectare) 2008-09","Rice ('000 hectare) 2009-10","Jowar ('000 hectare) 2008-09","Jowar ('000 hectare) 2009-10","Bajra ('000 hectare) 2008-09","Bajra ('000 hectare) 2009-10","Maize ('000 hectare) 2008-09","Maize ('000 hectare) 2009-10","Ragi ('000 hectare) 2008-09","Ragi ('000 hectare) 2009-10","Wheat ('000 hectare) 2008-09","Wheat ('000 hectare) 2009-10","Barley ('000 hectare) 2008-09","Barley ('000 hectare) 2009-10","Other Cereals and Millets ('000 hectare) 2008-09","Other Cereals and Millets ('000 hectare) 2009-10","Total Cereals and Millets  ('000 hectare) 2008-09","Total Cereals and Millets  ('000 hectare) 2009-10","Total Pulses ('000 hectare) 2008-09","Total Pulses ('000 hectare) 2009-10","Total Food grains ('000 hectare) 2008-09","Total Food grains ('000 hectare) 2009-10","Sugarcane ('000 hectare) 2008-09","Sugarcane ('000 hectare) 2009-10","Condiments and Spices ('000 hectare) 2008-09","Condiments and Spices ('000 hectare) 2009-10","Fruits/Vegetables incl Root crops ('000 hectare) 2008-09","Fruits/Vegetables incl Root crops ('000 hectare) 2009-10","Other Food-Crops ('000 hectare) 2008-09","Other Food-Crops ('000 hectare) 2009-10","Total Food-Crops ('000 hectare) 2008-09","Total Food-Crops ('000 hectare) 2009-10","Total Oil Seeds ('000 hectare) 2008-09","Total Oil Seeds ('000 hectare) 2009-10","Cotton ('000 hectare) 2008-09","Cotton ('000 hectare) 2009-10","Tobacco ('000 hectare) 2008-09","Tobacco ('000 hectare) 2009-10","Fodder Crops   ('000 hectare) 2008-09","Fodder Crops   ('000 hectare) 2009-10","Other Non-Food Crops ('000 hectare) 2008-09","Other Non-Food Crops ('000 hectare) 2009-10","Total Non-Food Crops ('000 hectare) 2008-09","Total Non-Food Crops ('000 hectare) 2009-10","Total irrigated Area ('000 hectare) 2008-09","Total irrigated Area ('000 hectare) 2009-10"
" Andhra Pradesh",4249.0,3354.0,26.0,31.0,16.0,19.0,421.0,345.0,8.0,10.0,12.0,9.0,"NA","NA","NA","NA",4731.0,3768.0,28.0,49.0,4758.0,3817.0,318.0,281.0,234.0,231.0,514.0,528.0,"NA","NA",5824.0,4858.0,562.0,568.0,255.0,239.0,47.0,46.0,19.0,22.0,34.0,"NA",916.0,906.0,6741.0,5764.0
" Arunachal Pradesh ",54.0,51.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA",1.0,"NA","NA","NA","NA",54.0,52.0,"NA","NA",54.0,52.0,"NA","NA","NA","NA",1.0,4.0,"NA","NA",56.0,56.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",56.0,56.0
" Assam ",249.0,179.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",249.0,180.0,"NA",1.0,249.0,181.0,"NA","NA","NA","NA","NA","NA",19.0,20.0,267.0,200.0,"NA",1.0,"NA","NA","NA","NA","NA","NA",24.0,"NA",24.0,25.0,291.0,225.0
"Bihar",1981.0,1821.0,1.0,"NA","NA","NA",392.0,396.0,"NA","NA",1938.0,2021.0,2.0,2.0,1.0,1.0,4314.0,4241.0,21.0,21.0,4335.0,4262.0,29.0,30.0,4.0,5.0,249.0,249.0,"NA","NA",4617.0,4546.0,55.0,60.0,"NA","NA",9.0,9.0,1.0,1.0,10.0,"NA",74.0,80.0,4692.0,4625.0
"Chhattisgarh",1284.0,1218.0,"NA","NA","NA","NA",5.0,6.0,"NA","NA",67.0,74.0,"NA","NA","NA","NA",1357.0,1298.0,81.0,88.0,1438.0,1386.0,15.0,14.0,6.0,6.0,63.0,65.0,"NA","NA",1522.0,1472.0,15.0,15.0,"NA","NA","NA","NA","NA","NA","NA","NA",15.0,15.0,1537.0,1487.0
" Goa",16.0,16.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",16.0,16.0,9.0,8.0,25.0,23.0,1.0,1.0,3.0,2.0,6.0,7.0,"NA",1.0,34.0,34.0,2.0,4.0,"NA","NA","NA","NA","NA","NA","NA","NA",2.0,4.0,36.0,38.0
" Gujarat *",473.0,430.0,28.0,27.0,156.0,149.0,40.0,48.0,"NA","NA",980.0,788.0,9.0,9.0,9.0,12.0,1695.0,1462.0,89.0,76.0,1784.0,1538.0,221.0,154.0,305.0,306.0,402.0,405.0,"NA","NA",2712.0,2404.0,891.0,791.0,1334.0,1396.0,90.0,90.0,221.0,221.0,30.0,"NA",2566.0,2529.0,5278.0,4933.0
" Haryana",1199.0,1205.0,61.0,55.0,227.0,222.0,1.0,3.0,"NA","NA",2438.0,2474.0,51.0,41.0,"NA","NA",3978.0,4000.0,56.0,40.0,4034.0,4041.0,90.0,79.0,7.0,8.0,64.0,67.0,"NA","NA",4194.0,4195.0,409.0,414.0,454.0,504.0,"NA","NA",462.0,423.0,8.0,"NA",1333.0,1350.0,5528.0,5545.0
" Himachal Pradesh *",50.0,50.0,"NA","NA","NA","NA",28.0,28.0,"NA","NA",73.0,71.0,3.0,3.0,1.0,1.0,156.0,153.0,4.0,4.0,160.0,157.0,1.0,1.0,3.0,3.0,17.0,18.0,"NA","NA",181.0,179.0,3.0,3.0,"NA","NA","NA","NA",5.0,5.0,1.0,"NA",9.0,9.0,190.0,188.0
" Jammu & Kashmir",233.0,237.0,"NA","NA","NA",1.0,23.0,23.0,6.0,6.0,81.0,87.0,4.0,3.0,2.0,2.0,348.0,358.0,4.0,4.0,352.0,361.0,"NA","NA",1.0,1.0,36.0,36.0,"NA","NA",389.0,399.0,46.0,46.0,"NA","NA","NA","NA",35.0,35.0,"NA","NA",82.0,81.0,471.0,480.0
