-----
{
 "description": "Data provides details on registration of new companies limited by shares during 2011-12 (region / state-wise distribution). This data is based upon 56th Annual Report on the Working and Administration of the Companies Act, 1956 for year ended 31st March, 2012. Report has been published by The...", 
 "file_name": "Registration_of_New_Companies_Limited_by_Shares_during_2011-12_Region_State_Wise.xls", 
 "title": "Registration of New Companies Limited By Shares During 2011-12 - Region / State-wise Distribution ", 
 "url": "http://data.gov.in/sites/default/files/Registration_of_New_Companies_Limited_by_Shares_during_2011-12_Region_State_Wise.xls"
}
-----
"Region","State","No. of Companies - Public","No. of Companies - Private","No. of Companies - Total","Authorised Capital - Public","Authorised Capital - Private","Authorised Capital - Total"
"NORTHERN REGION","HARYANA",53.0,2811.0,2864.0,254.76,1177.55,1432.31
"NORTHERN REGION","HIMACHAL PRADESH",8.0,283.0,291.0,32.46,35.95,68.41
"NORTHERN REGION","JAMMU & KASHMIR",2.0,221.0,223.0,0.02,34.53,34.55
"NORTHERN REGION","PUNJAB",83.0,1091.0,1174.0,48.1,185.73,233.83
"NORTHERN REGION","RAJASTHAN",86.0,3596.0,3682.0,179.83,391.71,571.54
"NORTHERN REGION","UTTAR PRADESH",215.0,5171.0,5386.0,225.88,650.53,876.41
"NORTHERN REGION","UTTRAKHAND",6.0,443.0,449.0,7.16,47.61,54.77
"NORTHERN REGION","CHANDIGARH",28.0,792.0,820.0,8.06,56.81,64.87
"NORTHERN REGION","DELHI",406.0,16316.0,16722.0,4216.5,4260.8,8477.3
"EASTERN REGION","ARUNACHAL PRADESH",0.0,33.0,33.0,0.0,12.88,12.88
"EASTERN REGION","ASSAM",40.0,478.0,518.0,6.88,102.54,109.42
"EASTERN REGION","BIHAR",55.0,1548.0,1603.0,44.04,206.06,250.1
"EASTERN REGION","JHARKHAND",37.0,677.0,714.0,27.87,152.33,180.2
"EASTERN REGION","MANIPUR",0.0,28.0,28.0,0.0,12.33,12.33
"EASTERN REGION","MEGHALAYA",3.0,22.0,25.0,0.04,4.79,4.83
"EASTERN REGION","MIZORAM",3.0,5.0,8.0,50.12,1.55,51.67
"EASTERN REGION","NAGALAND",2.0,26.0,28.0,0.16,7.12,7.28
"EASTERN REGION","ORISSA",204.0,1550.0,1754.0,128.04,333.51,461.55
"EASTERN REGION","TRIPURA",6.0,20.0,26.0,5.66,2.8,8.46
"EASTERN REGION","WEST BENGAL",1116.0,16477.0,17593.0,763.58,1826.21,2589.79
"WESTERN REGION","CHHATISGARH",27.0,590.0,617.0,7.41,112.5,119.91
"WESTERN REGION","GUJARAT",133.0,4673.0,4806.0,426.62,1615.69,2042.31
"WESTERN REGION","MADHYA PRADESH",146.0,2239.0,2385.0,91.37,231.33,322.7
"WESTERN REGION","MAHARASHTRA",406.0,16217.0,16623.0,2094.66,6371.26,8465.92
"WESTERN REGION","DADRA & N HAVELI",2.0,22.0,24.0,2.06,2.74,4.8
"WESTERN REGION","DAMAN & DIU",1.0,7.0,8.0,1.01,18.83,19.84
"WESTERN REGION","GOA",3.0,262.0,265.0,5.18,101.61,106.79
"SOUTHERN REGION","A & N ISLAND",0.0,18.0,18.0,0.0,3.36,3.36
"SOUTHERN REGION","ANDHRA PRADESH",157.0,6208.0,6365.0,163.56,1120.18,1283.74
"SOUTHERN REGION","KARNATAKA",63.0,5247.0,5310.0,327.51,1374.94,1702.45
"SOUTHERN REGION","KERALA",62.0,2758.0,2820.0,2079.09,590.47,2669.56
"SOUTHERN REGION","TAMIL NADU",126.0,6211.0,6337.0,402.74,2102.3,2505.04
"SOUTHERN REGION","PUDUCHERRY",1.0,119.0,120.0,0.01,69.41,69.42
"SOUTHERN REGION","LAKSHDWEEP",0.0,0.0,0.0,0.0,0.0,0.0
"Grand Total","Grand Total",3480.0,96159.0,99639.0,11600.38,23217.96,34818.34
