"Year","R&D Expenditure at current prices (Rs. Crores)","GNP at current prices (Rs. Crores)","GDP at current prices (Rs. Crores)"
"1995-96",7483.88,1069805.0,1083289.0
"1996-97",8913.61,1247628.0,1260710.0
"1997-98",10611.34,1388729.0,1401934.0
"1998-99",12473.17,1601114.0,1616082.0
"1999-00",14397.6,1771094.0,1786526.0
"2000-01",16198.8,1902284.0,1925017.0
"2001-02",17038.15,2077658.0,2097726.0
"2002-03",18088.16,2244725.0,2261415.0
"2003-04",20086.34,2519921.0,2538171.0
"2004-05",24117.24,2855331.0,2877706.0
"2005-06",28776.65,3249554.0,3275670.0
"2006-07*",32941.64,3760285.0,3790063.0
"2007-08*",37777.9,4263000.0,4283000.0
