"State/Union Territory","Percentage Share of STRs in 2006-07","Percentage Share of STRs in 2007-08","Percentage Share of STRs in 2008-09","Percentage Share of STRs in 2009-10","Total Percentage Share of STRs"
"Maharashtra",41.6,38.5,30.6,24.3,29.0
"Delhi",9.2,11.0,11.4,13.0,12.1
"West Bengal",7.1,7.8,7.1,7.3,7.3
"Gujarat",12.0,5.2,5.6,5.9,6.0
"Uttar Pradesh",3.1,4.2,6.3,6.6,6.0
"Tamil Nadu",5.1,6.1,5.2,6.0,5.7
"Punjab",2.2,3.7,5.7,5.5,5.1
"Karnataka",4.3,5.2,5.1,4.3,4.7
"Andhra Pradesh",2.9,4.3,5.0,4.3,4.4
"Haryana",1.4,2.4,4.1,3.6,3.5
"Kerala",1.7,2.3,3.0,3.4,3.0
"Madhya Pradesh",1.7,1.2,2.0,2.1,1.9
"Rajasthan",0.8,1.4,1.7,2.2,1.9
"Chandigarh",0.5,1.5,0.7,1.4,1.2
"Bihar",0.3,1.6,1.3,1.1,1.1
"Chattisgarh",3.4,0.3,0.7,1.3,1.1
