-----
{
 "description": "This data provides all India (2001 to 2011) and state-wise (2009 to 2011) actual strength of armed police and civil police at the end of year.", 
 "file_name": "ACTUAL_POLICE_STRENGTH_AS_ON_31ST_DECEMBER_0.xls", 
 "title": "All India and State-wise Actual Police Strength ", 
 "url": "http://data.gov.in/sites/default/files/ACTUAL_POLICE_STRENGTH_AS_ON_31ST_DECEMBER_0.xls"
}
-----
"State/U.T","Year","Armed Police - DG/Addl.DG/IG/DIG","Armed Police - SSP/SP/Addl.SP/ASP/DY.SP","Armed Police - Inspectors/Sub-Inspectors and A.S.I","Armed Police - Officers below A.S.I","Armed Police - Total","Civil Police - DG/Addl.DG/IG/DIG","Civil Police - SSP/SP/Addl.SP/ASP/DY.SP","Civil Police - Inspectors/Sub-Inspectors and A.S.I","Civil Police - Officers below A.S.I","Civil Police - Total"
"Total 2009",2009.0,108.0,1891.0,21524.0,318924.0,342447.0,1177.0,9913.0,163128.0,1040832.0,1215050.0
"Andhra Pradesh",2009.0,3.0,70.0,1065.0,12717.0,13855.0,62.0,744.0,7677.0,84517.0,93000.0
"Arunachal Pradesh",2009.0,0.0,30.0,164.0,3639.0,3833.0,5.0,54.0,512.0,2852.0,3423.0
"Assam",2009.0,0.0,185.0,965.0,22679.0,23829.0,39.0,269.0,4876.0,22716.0,27900.0
"Bihar",2009.0,4.0,45.0,777.0,11401.0,12227.0,50.0,417.0,9209.0,37297.0,46973.0
"Chhattisgarh",2009.0,5.0,45.0,885.0,14171.0,15106.0,25.0,225.0,2509.0,21842.0,24601.0
"Goa",2009.0,0.0,0.0,27.0,634.0,661.0,3.0,38.0,373.0,3649.0,4063.0
"Gujarat",2009.0,3.0,38.0,1419.0,10711.0,12171.0,56.0,245.0,9139.0,38745.0,48185.0
"Haryana",2009.0,3.0,41.0,455.0,5115.0,5614.0,36.0,176.0,4741.0,30825.0,35778.0
"Himachal Pradesh",2009.0,3.0,27.0,238.0,3921.0,4189.0,39.0,137.0,1649.0,7956.0,9781.0
"Jammu & Kashmir",2009.0,30.0,108.0,1068.0,23756.0,24962.0,36.0,597.0,5850.0,56668.0,63151.0
"Jharkhand",2009.0,2.0,38.0,764.0,11368.0,12172.0,36.0,326.0,4157.0,25669.0,30188.0
"Karnataka",2009.0,3.0,54.0,328.0,9330.0,9715.0,80.0,481.0,6765.0,58301.0,65627.0
"Kerala",2009.0,3.0,41.0,247.0,2600.0,2891.0,21.0,328.0,3672.0,32877.0,36898.0
"Madhya Pradesh",2009.0,10.0,124.0,2026.0,19173.0,21333.0,50.0,730.0,7075.0,47648.0,55503.0
"Maharashtra",2009.0,4.0,31.0,1499.0,11758.0,13292.0,104.0,790.0,24252.0,141465.0,166611.0
"Manipur",2009.0,0.0,70.0,435.0,10190.0,10695.0,12.0,79.0,1445.0,7005.0,8541.0
"Meghalaya",2009.0,0.0,36.0,150.0,3993.0,4179.0,15.0,54.0,922.0,4894.0,5885.0
"Mizoram",2009.0,0.0,83.0,333.0,6964.0,7380.0,6.0,44.0,748.0,2770.0,3568.0
"Nagaland",2009.0,0.0,34.0,135.0,4197.0,4366.0,22.0,72.0,456.0,5087.0,5637.0
"Orissa",2009.0,0.0,192.0,410.0,13788.0,14390.0,28.0,461.0,6485.0,22111.0,29085.0
"Punjab",2009.0,8.0,75.0,1177.0,16753.0,18013.0,44.0,329.0,5561.0,43097.0,49031.0
"Rajasthan",2009.0,2.0,78.0,199.0,11766.0,12045.0,41.0,497.0,7489.0,51653.0,59680.0
"Sikkim",2009.0,1.0,14.0,96.0,1508.0,1619.0,18.0,60.0,340.0,1567.0,1985.0
"Tamil Nadu",2009.0,3.0,50.0,630.0,12745.0,13428.0,64.0,800.0,9007.0,65373.0,75244.0
"Tripura",2009.0,2.0,86.0,377.0,12629.0,13094.0,15.0,154.0,1197.0,8282.0,9648.0
