-----
{
 "description": "This table provides progress of afforestation during successive plans.", 
 "file_name": "PROGRESS_OF_AFFORESTATION_THROUGH_SUCCESSIVE_PLANS.xls", 
 "title": "Progress of Afforestation through successive Plans ", 
 "url": "http://data.gov.in/sites/default/files/PROGRESS_OF_AFFORESTATION_THROUGH_SUCCESSIVE_PLANS.xls"
}
-----
"Five Year Plan Period","Area Afforested In Plan Period ('000 hectares.)","Cummulative ('000 hectares.)","Afforestation Expenditure In Plan Period (` Ten Million)","Cummulative (` Ten Million)"
"First(1951-56)",52.0,52.0,1.28,1.28
"Second 1956-61",311.0,363.0,6.86,8.14
"Third 1961-66",583.0,946.0,21.13,29.27
"1966-69",453.0,1399.0,23.02,52.29
"Fourth 1969-74",714.0,2113.0,44.34,96.63
"Fifth 1974-79",1221.0,3334.0,107.28,203.91
"1979-80",222.0,3556.0,37.1,241.01
"Sixth 1980-85",4650.0,8206.0,926.01,1167.02
"Seventh 1985-90",8863.0,17069.0,2426.63,3593.65
"1990-91",1387.0,18456.0,627.79,4221.44
"1991-92",1725.0,20181.0,705.72,4927.16
"Eighth 1992-97",7950.0,28131.0,3686.4,8613.56
"Ninth 1997-02 *",8050.0,36181.0,7350.5,8613.56
"2002-03",405.0,36586.0,151.26,8764.82
"2003-04",283.0,36869.0,207.98,8972.8
"2004-05",107.0,36976.0,233.0,9205.8
"2005-06",54.0,37030.0,248.12,9453.92
"2006-07",0.0,37030.0,292.75,9746.67
"2007-08",493.0,37523.0,392.95,10139.62
"2008-09",173.0,37696.0,345.62,10485.24
"2009-10",104.0,37800.0,318.17,10803.41
"2010-2011",57.0,37857.0,309.99,11113.4
"2011-12",140.0,37997.0,303.0,11416.4
