-----
{
 "description": "Combat Vehicles Research and Development Establishment (CVRDE) Filter development centre has pioneered in the Design and Development of Hydraulic and Lubrication filters for Aircraft systems, MBT-Arjun and Naval systems.Design, develop and lead to production tracked armament vehicles and specialist...", 
 "file_name": "Hydraulic_and_Lubrication_Filters.xls", 
 "title": "Hydraulic and Lubrication Filters for Combat Vehicles from DRDO ", 
 "url": "http://data.gov.in/sites/default/files/Hydraulic_and_Lubrication_Filters.xls"
}
-----
"Hydraulic and Lubrication Filters","Flow (Ipm)","Pressure (bar)","Filteration(micron)"
"LCA TEJAS HYDRAULIC FILTERS - High Pressure (Main) - RH & LH",120.0,280.0,15.0
"LCA TEJAS HYDRAULIC FILTERS - HP - Engine Driven Pump",35.0,260.0,15.0
"LCA TEJAS HYDRAULIC FILTERS - HP - Electric Motor Driven Pump",12.0,210.0,15.0
"LCA TEJAS HYDRAULIC FILTERS - Low Pressure (Main) - RH & LH",120.0,35.0,10.0
"LCA TEJAS HYDRAULIC FILTERS - Case Design (Main) - RH & LH",15.0,35.0,25.0
"LCA TEJAS HYDRAULIC FILTERS - Case Design (EDP)",5.0,35.0,25.0
"LCA TEJAS AMAGB - Lube Filter",20.0,10.0,10.0
"TEJAS KAVERI ENGINE - IHPP Filter",20.0,31.0,10.0
"ADVNACED LIGHT HELICOPTER - Winch Hydraulic Filter",25.0,207.0,10.0
"ADVNACED LIGHT HELICOPTER - MGB-Lube Filter",40.0,7.5,3.0
"HYDRAULIC FILTERS FOR HAL (NASIK) - HAL (NK)-FIL-01-0003",40.0,260.0," 12 - 16"
"HYDRAULIC FILTERS FOR HAL (NASIK) - HAL (NK)-FIL-02-0003",5.0,260.0," 12 - 16"
"HYDRAULIC FILTERS FOR HAL (NASIK) - HAL (NK)-FIL-03-0003",10.0,260.0," 12 - 16"
"HYDRAULIC FILTERS FOR HAL (NASIK) - HAL (NK)-FIL-04-0003",60.0,260.0," 12 - 16"
"AERO ENGINE-GEAR BOX FILTERS FOR HAL ENGINES - Lube Filter (GA-FIL-0003)",34.0,7.0,25.0
"AERO ENGINE-GEAR BOX FILTERS FOR HAL ENGINES - Lube Filter (AR-FIL-0003)",40.0,405.0,30.0
"MBT ARJUN GCS HYDRAULIC FILTERS - Servo Package Filter",4.0,160.0,20.0
"MBT ARJUN GCS HYDRAULIC FILTERS - High Pressure Filter",63.0,160.0,20.0
"MBT ARJUN GCS HYDRAULIC FILTERS - Return Line Filter",100.0,20.0,10.0
