State,District,Market,Commodity,Variety,Date,MIN Price,MAX Price,MODAL Price
Assam,Darrang,Kharupetia,Rice,Coarse,03/20/2001,850,1050,1000
Gujarat,Dahod,Dahod,Rice,Other,12/11/2001,700,700,700
Gujarat,Dahod,Dahod,Rice,Other,12/12/2001,700,700,700
Gujarat,Dahod,Dahod,Rice,Other,12/13/2001,700,700,700
Gujarat,Dahod,Dahod,Rice,Other,12/14/2001,700,700,700
Gujarat,Dahod,Dahod,Rice,Other,12/15/2001,700,700,700
Gujarat,Dahod,Dahod,Rice,Other,12/18/2001,700,700,700
Gujarat,Dahod,Dahod,Rice,Other,12/19/2001,700,700,700
Gujarat,Dahod,Dahod,Rice,Other,12/20/2001,700,700,700
Gujarat,Dahod,Dahod,Rice,Other,12/21/2001,700,700,700
Gujarat,Dahod,Dahod,Rice,Other,12/22/2001,700,700,700
Gujarat,Dahod,Dahod,Rice,Other,12/24/2001,650,650,650
Gujarat,Dahod,Dahod,Rice,Other,12/26/2001,650,650,650
Gujarat,Dahod,Dahod,Rice,Other,12/27/2001,650,650,650
Gujarat,Dahod,Dahod,Rice,Other,12/28/2001,650,650,650
Gujarat,Dahod,Dahod,Rice,Other,12/29/2001,650,650,650
Gujarat,Dahod,Dahod,Rice,Other,12/31/2001,650,650,650
Gujarat,Vadodara(Baroda),Vadodara,Rice,IR-8,12/28/2001,850,850,850
Gujarat,Vadodara(Baroda),Vadodara,Rice,IR-8,12/29/2001,850,850,850
Gujarat,Vadodara(Baroda),Vadodara,Rice,IR-8,12/31/2001,850,850,850
Gujarat,Vadodara(Baroda),Vadodara,Rice,Other,12/28/2001,1100,1200,1150
Gujarat,Vadodara(Baroda),Vadodara,Rice,Other,12/29/2001,1100,1200,1160
Gujarat,Vadodara(Baroda),Vadodara,Rice,Other,12/31/2001,1100,1200,1150
Gujarat,Vadodara(Baroda),Vadodara,Rice,Parmal,12/27/2001,690,700,700
Gujarat,Vadodara(Baroda),Vadodara,Rice,Parmal,12/28/2001,690,700,700
Gujarat,Vadodara(Baroda),Vadodara,Rice,Parmal,12/29/2001,690,700,700
