-----
{
 "description": "This table give quantity and value of export of Silk Goods (such as Mulberry, Tasar, Mixed Blended) and Silk Waste from 2001-02 to 2010-11.", 
 "file_name": "EXPORT_OF_SILK_GOODS_AND_SILK_WASTE.xls", 
 "title": "Export of Silk Goods And Silk Waste ", 
 "url": "http://data.gov.in/sites/default/files/EXPORT_OF_SILK_GOODS_AND_SILK_WASTE.xls"
}
-----
"Items","2001-02 Quantity (Quantity in Kg.)    ","2001-02 Value  (Value in: ` Ten Million)","2002-03 Quantity (Quantity in Kg.)    ","2002-03 Value  (Value in: ` Ten Million)","2003-04 Quantity (Quantity in Kg.)    ","2003-04 Value  (Value in: ` Ten Million)","2004-05 Quantity (Quantity in Kg.)    ","2004-05 Value  (Value in: ` Ten Million)","2005-06 Quantity (Quantity in Kg.)    ","2005-06 Value  (Value in: ` Ten Million)","2006-07 Quantity (Quantity in Kg.)    ","2006-07 Value  (Value in: ` Ten Million)","2007-08 Quantity (Quantity in Kg.)    ","2007-08 Value  (Value in: ` Ten Million)","2008-09 Quantity (Quantity in Kg.)    ","2008-09 Value  (Value in: ` Ten Million)","2009-10 Quantity (Quantity in Kg.)    ","2009-10 Value  (Value in: ` Ten Million)","2010-11 Quantity (Quantity in Kg.)    ","2010-11 Value  (Value in: ` Ten Million)"
"Mulberry","NA",1992.39,"NA",2052.66,"NA",2595.07,"NA",2726.16,"NA",2948.37,"NA",3091.63,"NA",2533.79,"NA",2907.92,"NA",2604.55,"NA",2568.69
"  Dress Material",3444652.0,721.78,4183860.0,850.16,2284243.0,1129.39,2437137.0,1173.47,2812830.0,1449.35,2672008.0,1510.39,2344716.0,1259.29,2081203.0,1354.39,2134191.0,1183.29,2029954.0,1449.47
"  Ready Made Garments",3445433.0,588.08,5028229.0,527.2,6685017.0,699.52,5744948.0,746.29,4437992.0,842.06,3617944.0,817.87,3479203.0,746.55,3425968.0,986.57,2309419.0,854.94,1596151.0,683.32
"  Carpets ( in sq.mt.)",245173.0,172.27,152912.0,96.13,200081.0,120.22,206701.0,123.65,110117.0,103.36,164087.0,132.36,69021.0,72.11,72838.0,58.67,43910.0,40.59,29990.0,21.1
"  Sarees",1279915.0,305.79,1392198.0,348.87,721428.0,386.34,693699.0,365.79,388576.0,199.95,333365.0,174.19,213648.0,77.05,102505.0,127.35,126931.0,81.6,158879.0,100.92
"  Scarves/Stoles",168144.0,87.02,433848.0,94.56,378150.0,142.18,507163.0,166.7,961201.0,184.94,998860.0,226.94,1023959.0,220.15,1023132.0,229.12,736058.0,273.0,432169.0,209.75
"  Ties",19227.0,4.71,4610.0,0.65,21651.0,2.2,7135.0,2.35,4754.0,2.69,4224.0,2.39,4307.0,2.31,12403.0,6.95,63943.0,41.1,15121.0,9.72
"  Others *",737801.0,112.74,725126.0,135.09,1140809.0,115.22,628163.0,147.91,1027262.0,166.02,1205882.0,227.49,807672.0,156.33,227395.0,144.87,1111341.0,130.03,589816.0,94.41
" Tasar",420247.0,170.1,374077.0,79.99,152438.0,57.3,215227.0,70.86,616537.0,118.62,630056.0,143.21,552051.0,118.92,931639.0,208.67,570823.0,211.53,396718.0,192.54
"Mixed Blended",285586.0,110.06,351735.0,117.76,428828.0,76.37,220184.0,30.61,358138.0,39.1,205345.0,34.97,82009.0,17.63,94665.0,21.29,154162.0,22.02,96388.0,27.01
"Total for Silk Goods","NA",2272.55,"NA",2250.41,"NA",2728.74,"NA",2827.63,"NA",3106.09,"NA",3269.81,"NA",2670.34,"NA",3137.88,"NA",2838.1,"NA",2788.24
"Raw Silk & Silk Yarn#",524806.0,50.43,279285.0,27.88,406059.0,45.11,487582.0,50.64,599252.0,68.21,368976.0,45.76,944698.0,45.38,234960.0,35.08,473658.0,29.42,264623.0,39.38
"Silk Waste",1468660.0,36.58,935278.0,15.76,286014.0,5.34,78587.0,1.29,1369715.0,19.9,1470520.0,22.78,755155.0,12.15,291155.0,5.23,1504169.0,24.92,1651851.0,36.14
"Grand Total","NA",2359.56,"NA",2294.05,"NA",2779.19,"NA",2879.56,"NA",3194.2,"NA",3338.35,"NA",2727.87,"NA",3178.19,"NA",2892.44,"NA",2863.76
