-----
{
 "description": "This is a Centrally Sponsored Plan Scheme with the objective to provide protection mechanism to the farmers & cattle rearers against any eventual loss of their animals due to death and to demonstrate the benefit of the insurance of livestock to the people.", 
 "file_name": "Animals_insured.csv", 
 "title": "Animals Insured under Livestock Insurance Scheme of GoI in India from 2006-07 onwards ", 
 "url": "http://data.gov.in/sites/default/files/Animals_insured.csv"
}
-----
S.No., State,Insured Animals in Nos. FY 2006-07,Insured Animals in Nos. FY 2007-08,Insured Animals in Nos. FY 2008-09,Insured Animals in Nos. FY 2009-10 ,Insured Animals in Nos. FY 2010-11    ,Insured Animals in Nos. FY 2011-12,Insured Animals in Nos. FY 2012-13,,,,,,,,,
1,Andhra Pradesh,117455,67324,71937,262338,203970,115738,117670,,,,,,,,,
2,Arunchal Pradesh,1012,891,955,150,80,181,,,,,,,,,,
3,Assam,1138,432,17470,20947,30641,34696,17274,,,,,,,,,
4,Bihar,10484,3251,11,893,1808,2327,NA,,,,,,,,,
5,Chhattisgarh,6022,3428,0,4172,4873,5897,0,,,,,,,,,
6,Gujarat,20351,5285,0,57835,83451,114345,10126,,,,,,,,,
7,Goa,0,0,0,0,0,0,0,,,,,,,,,
8,Haryana,64161,66791,0,53139,50671,54114,84065,,,,,,,,,
9,Himachal Pradesh,14177,25608,21284,13435,10608,13382,NA,,,,,,,,,
10,Jammu & Kashmir,1022,6111,1662,12128,5239,NA,NA,,,,,,,,,
11,Jharkhand,2814,20,0,210,1878,2201,361,,,,,,,,,
12,Karnataka,9487,13853,0,16043,67877,79315,0,,,,,,,,,
13,Kerala ,67206,29804,11729,27742,115031,99504,47105,,,,,,,,,
14,Madhya Pradesh,10169,4310,30972,21390,42415,21119,28044,,,,,,,,,
15,Maharashtra,33754,27936,0,2294,14872,22049,8453,,,,,,,,,
16,Manipur,184,210,102,250,109,80,NA,,,,,,,,,
17,Meghalaya,124,326,398,1158,1362,182,109,,,,,,,,,
18,Mizoram,591,173,0,0,105,43,900,,,,,,,,,
19,Nagaland,3567,4993,3140,4460,1612,4833,4513,,,,,,,,,
20,Orissa,20396,27865,12710,38150,7944,14143,3724,,,,,,,,,
21,Punjab,13701,1276,9116,10160,7059,27152,7548,,,,,,,,,
22,Rajasthan,12211,17280,2158,11904,22180,28643,8514,,,,,,,,,
23,Sikkim,2310,2013,313,1386,1446,565,245,,,,,,,,,
24,Tamil Nadu,90072,119032,156519,89649,92589,110572,26752,,,,,,,,,
25,Tripura,2090,1731,0,535,2226,1796,184,,,,,,,,,
26,Uttarakhand,3053,4362,3525,2966,4264,4084,2049,,,,,,,,,
27,Uttar Pradesh,23443,16873,53719,7808,26955,10752,7224,,, ,,,,,,
28,West Bengal,2354,1100,5,20876,15058,35203,17390,,,,,,,,,
, ,,,, ,,,,,,,,,,,,
,,,,,,, ,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
