-----
{
 "description": "This data provides the Human development index of India and the World from the following years - 1980, 1985, 1990, 1995, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, and 2011.", 
 "file_name": "HUMAN_DEVELOPMENT_INDEX_OF_INDIA_AND_WORLD.xls", 
 "title": "Human Development Index Of India And The World ", 
 "url": "http://data.gov.in/sites/default/files/HUMAN_DEVELOPMENT_INDEX_OF_INDIA_AND_WORLD.xls"
}
-----
"Year","India","World"
1980.0,0.34,0.56
1985.0,"NA",0.486
1990.0,0.41,0.59
1995.0,"NA",0.554
2000.0,0.46,0.63
2001.0,"NA",0.575
2002.0,"NA",0.581
2003.0,"NA",0.587
2004.0,"NA",0.594
2005.0,0.5,0.66
2006.0,0.491,0.604
2007.0,0.5,0.611
2008.0,0.506,0.615
2009.0,0.54,0.68
2010.0,0.54,0.68
2011.0,0.55,0.682
