"Major Groups","Products","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13 (April to Sep.)"
"Other Petro-based Chemicals","Butanol",14.0,14.0,11.0,8.0,18.0,22.0,6.0
"Other Petro-based Chemicals","C4-Raffinate",76.0,77.0,55.0,65.0,71.0,209.0,201.0
"Other Petro-based Chemicals","Di-Ethylene Glycol",60.0,68.0,58.0,69.0,73.0,99.0,50.0
"Other Petro-based Chemicals","Diacetone Alcohol",9.0,9.0,8.0,9.0,4.0,5.0,2.0
"Other Petro-based Chemicals","Ethylene Dichloride (By Product)",220.0,267.0,277.0,445.0,454.0,435.0,162.0
"Other Petro-based Chemicals","2-Ethyl Hexanol",24.0,27.0,23.0,16.0,29.0,49.0,23.0
"Other Petro-based Chemicals","Epichlorohydrine",10.0,9.0,8.0,7.0,8.0,9.0,4.0
"Other Petro-based Chemicals","Iso-Butanol",4.0,3.0,3.0,3.0,3.0,2.0,1.0
"Other Petro-based Chemicals","Isopropanol (IPA)",21.0,49.0,51.0,62.0,67.0,71.0,40.0
"Other Petro-based Chemicals","Methyl Methacrylate  (MMA)",4.0,4.0,3.0,5.0,5.0,4.0,2.0
"Other Petro-based Chemicals","Phthalic Anhydride (PAN)",223.0,244.0,207.0,232.0,253.0,250.0,131.0
"Other Petro-based Chemicals","Propylene Oxide (PO)",28.0,28.0,29.0,32.0,32.0,35.0,14.0
"Other Petro-based Chemicals","Propylene Glycol (PG)",16.0,17.0,16.0,19.0,17.0,19.0,7.0
"Other Petro-based Chemicals"," Polyvinyl Acetate Resin",10.0,11.0,10.0,4.0,2.0,0.0,0.0
"Other Petro-based Chemicals","Vinyl Acetate Monomer (VAM)",24.0,23.0,24.0,0.0,0.0,0.0,0.0
"Other Petro-based Chemicals","Vinyl Chloride Monomer (VCM) (By Product)",280.0,289.0,303.0,674.0,672.0,689.0,336.0
