-----
{
 "description": "This data provides the value of imports of merchandise into India by principal countries of consignment from 2000-01 to 2011-12.", 
 "file_name": "VALUE_OF_IMPORTS_OF_MERCHANDISE.xls", 
 "title": "Value Of Imports Of Merchandise Into India By Principal Countries Of Consignment From 2000-01 To 2011-12 ", 
 "url": "http://data.gov.in/sites/default/files/VALUE_OF_IMPORTS_OF_MERCHANDISE.xls"
}
-----
"Country","   2000-01","2001-02","2002-03","2003-04","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12"
"Nepal",11653.3,16975.6,13635.9,13144.0,15538.6,16817.309,13847.078,25273.0,22557.0,21464.6,23389.501,26393.6053
"Netherlands",19988.5,22246.7,18668.1,24609.9,35561.4,46467.327,52330.728,77286.0,86696.0,100485.5,84216.7953,129477.9391
"New Zealand",3624.5,3918.9,3697.5,3625.0,5749.4,9590.948,12024.145,13531.0,19509.6,23638.1,28538.0148,39594.7764
"Nigeria",2913.9,4154.8,3781.0,3475.9,2174.6,3208.193,317965.197,306629.0,399955.0,343771.1,490051.4868,697997.0391
"Norway",2140.2,2288.1,4692.0,13924.3,10562.7,12810.162,34599.756,65445.0,51234.0,43110.3,43387.3854,41540.5575
"Oman",289.4,404.6,669.6,2338.0,926.0,11758.407,20823.376,45638.4,54643.8,164431.4,181843.34,157206.7562
"Pakistan",2925.0,3088.3,2170.5,2649.0,4267.4,7949.802,14624.014,11587.0,16683.9,13046.2,15139.5488,19177.0484
"Peru",416.9,1332.8,1198.9,1374.4,1633.2,1020.866,5797.15,6327.0,12169.0,6414.3,8527.6974,22181.6923
"Philippines",2879.9,4523.3,5989.8,5611.1,8419.9,10426.025,7573.713,8239.0,11654.0,14932.9,19504.6596,21951.7522
"Poland",1947.7,1497.2,1879.8,2254.1,4060.3,4773.333,6088.556,7618.0,12149.0,18278.4,17645.5883,30829.7311
"Portugal",547.7,667.6,723.8,637.2,851.2,1339.217,1379.083,1437.0,2551.0,3358.7,3893.3101,14911.4003
"Qatar",3610.9,4373.0,5472.0,8595.3,30232.4,39917.906,94703.231,98889.0,158947.0,220099.6,310358.3206,618954.7695
"Romania ",9897.8,2309.4,2205.9,3305.1,7568.4,11959.232,11804.787,16812.0,15243.0,10733.7,10813.9805,21810.9234
"Saudi Arabia",28375.5,22128.4,24426.2,33901.5,58462.7,72269.317,604687.169,781103.0,897470.4,806642.8,928549.0579,1493499.9183
"Singapore",66878.0,62194.5,69438.1,95826.0,119131.2,148483.335,247521.789,326821.8,345289.7,306233.1,325457.6751,407322.4094
"Somalia",143.5,682.5,1289.5,444.7,335.7,511.633,817.725,311.2,274.1,191.7,418.1592,164.5933
"South Africa",46685.4,68719.1,101314.7,87270.6,98744.4,109435.27,111608.49,145465.6,248822.9,269002.3,325251.4221,476572.1233
"Spain",6494.1,8049.4,8572.0,11891.3,17502.9,25389.151,28336.872,40009.8,46612.8,51960.0,67761.9659,86326.7227
"Sri Lanka",2056.1,3213.4,4395.5,8948.5,17001.9,25576.808,21290.654,25409.2,16236.8,18500.2,22787.3437,34357.1542
"Sudan",366.4,639.9,1185.4,1434.6,1028.0,1444.092,4036.325,17372.2,18395.6,22454.7,27926.203,20456.8214
"Sweden",10861.7,19182.1,25047.3,32110.5,42115.7,51897.46,87565.134,85781.1,88875.5,75309.9,73676.7335,94495.3521
"Switzerland",144369.3,136911.5,112755.0,152225.2,266889.8,290248.211,412460.88,395708.2,527032.0,692320.2,1127395.7099,1551264.3118
"Syrian, Arab Republic",304.6,353.3,427.7,213.6,171.5,227.064,3599.502,815.6,7639.8,6877.8,1615.7034,8873.7257
"Tanzania, United Republic ",2717.6,3629.0,4411.3,5023.3,5915.3,5301.998,4439.218,6622.1,9181.8,11188.6,14814.5282,11400.9565
"Thailand",15437.9,20177.9,18341.9,27986.9,38905.1,53640.991,78810.271,92640.0,123526.5,138885.1,194599.1143,257874.7788
"Trinidad and Tobago","NA",6.5,5.5,338.2,626.8,80.765,1394.251,7016.4,4689.7,2727.1,3672.7526,9549.2494
"Turkey",1979.5,3307.8,2886.2,3369.1,6062.2,8580.078,15061.952,68014.9,66424.2,76593.4,37424.5393,44375.9715
"United Arab Emirates",30105.2,43642.3,46313.9,94652.7,208531.7,192770.337,390910.969,542331.9,1059264.3,917988.5,1491233.7839,1711266.1535
"U.K.",114724.7,122244.0,134394.4,148622.6,160234.5,174008.148,188765.864,199414.8,267677.1,211254.3,245616.9396,366231.5247
"U.S.A.",137738.6,150211.2,215048.2,231358.3,314581.3,418594.548,570356.353,846251.3,848182.8,805843.3,913585.0323,1172933.1204
"Russia",23649.0,25539.3,28679.4,44096.4,59432.9,89529.402,95660.317,99383.3,197874.2,169238.9,164166.6077,223837.5167
"Uruguay",132.1,167.7,225.3,469.5,182.0,178.898,329.252,533.0,651.0,760.1,792.0623,1432.8036
"Yeman, Arab Republic ",6910.0,2280.2,2044.1,1367.3,1384.8,442.849,90988.824,59141.9,33453.0,74234.2,79663.8894,48197.9843
"Yugoslavia","NA","NA",58.5,167.1,"NA","NA","NA","NA","NA","NA","NA","NA"
"Zambia",528.6,643.4,696.9,852.5,1031.8,1795.769,3902.342,3011.7,9922.8,4806.1,1452.8868,8299.2117
"Zimbabwe",380.8,881.6,679.7,754.6,1219.7,1131.117,1457.421,895.1,663.0,990.6,528.913,188.6819
"Total Imports(1)",2308728.0,1622575.8,2972058.7,3591076.6,5010645.4,6604088.994,8405063.0,10123117.0,13744356.0,13637356.0,16834669.56,23454632.44
