-----
{
 "description": "This data provides average covered area (in square metres) of dwelling unit by states and by type of dwelling unit such as independent house, flat and others as per NSSO Survey Report (65th Round).", 
 "file_name": "AVERAGE_COVERED_AREA_OF_DWELLING_UNIT_BY_STATES.XLS", 
 "title": "Average Covered Area Of Dwelling Unit By States And By Type Of Dwelling Unit ", 
 "url": "http://data.gov.in/sites/default/files/AVERAGE_COVERED_AREA_OF_DWELLING_UNIT_BY_STATES.XLS"
}
-----
"State/U.T","Rural-  Independent House","Urban- Independent House","Rural-Flat","Urban-Flat","Rural-Others","Urban-Others","Rural-All (including not reported)","Urban-All (including not reported)"
"Andhra Pradesh",71.1,37.5,12.0,53.1,16.9,9.4,100.0,100.0
"Arunachal Pradesh",83.6,74.0,5.3,6.7,10.4,18.4,100.0,100.0
"Assam",96.8,74.8,1.0,12.8,1.4,12.0,100.0,100.0
"Bihar",89.5,58.6,3.4,17.2,6.7,23.9,100.0,100.0
"Chattisgarh",78.2,57.7,"NA",10.7,20.9,29.5,100.0,100.0
"Delhi",68.8,48.7,6.2,25.9,25.1,25.3,100.0,100.0
"Goa",91.9,42.1,4.8,46.1,3.4,11.8,100.0,100.0
"Gujarat",92.7,74.1,0.1,13.8,7.1,12.2,100.0,100.0
"Haryana",82.6,72.6,7.6,8.7,9.8,18.7,100.0,100.0
"Himachal Pradesh",74.1,35.5,21.3,54.5,4.6,10.0,100.0,100.0
"Jammu & Kashmir",89.0,63.3,3.6,14.5,7.5,22.2,100.0,100.0
"Jharkhand",89.1,68.3,0.9,20.4,10.0,11.2,100.0,100.0
"Karnataka",94.0,65.7,4.1,31.7,1.9,2.7,100.0,100.0
"Kerala",93.8,81.4,1.9,11.9,4.3,6.7,100.0,100.0
"Madhya Pradesh",89.5,76.0,0.6,15.1,9.9,8.8,100.0,100.0
"Maharashtra",70.2,41.4,2.3,24.9,27.4,33.7,100.0,100.0
"Manipur",96.6,96.4,0.1,0.5,2.5,3.0,100.0,100.0
"Meghalaya",98.9,67.6,0.2,18.1,0.6,14.3,100.0,100.0
"Mizoram",95.7,66.1,2.8,31.6,"NA",0.5,100.0,100.0
"Nagaland",95.5,67.2,0.2,12.2,3.9,20.1,100.0,100.0
"Odisha",91.5,79.3,1.6,12.7,6.9,8.0,100.0,100.0
"Punjab",86.6,69.7,4.1,16.9,9.3,13.4,100.0,100.0
"Rajasthan",88.3,68.8,0.4,4.8,11.3,26.4,100.0,100.0
"Sikkim",81.9,15.3,17.5,79.6,0.5,5.1,100.0,100.0
"Tamil Nadu",73.9,55.3,4.4,35.0,21.9,9.7,100.0,100.0
"Tripura",92.6,88.2,0.1,1.7,7.1,10.1,100.0,100.0
"Uttarakhand",72.7,54.2,17.0,37.1,10.3,8.7,100.0,100.0
"Uttar Pradesh",68.7,65.7,3.1,15.1,28.2,19.2,100.0,100.0
"West Bengal",87.7,48.7,1.6,23.5,10.7,27.8,100.0,100.0
"A & N Island",67.0,30.4,24.9,54.9,8.0,14.7,100.0,100.0
"Chandigarh",26.1,59.9,53.7,22.7,20.2,17.3,100.0,100.0
"Dadra &Nagar Haveli",97.1,26.2,2.4,49.3,0.5,24.6,100.0,100.0
"Daman & Diu",93.6,70.4,3.8,19.9,2.6,9.7,100.0,100.0
"Lakshdweep",77.5,93.7,21.7,2.4,0.8,3.9,100.0,100.0
"Puducherry",92.0,54.3,5.7,37.8,2.2,7.9,100.0,100.0
"All India",82.0,58.1,3.6,24.4,14.3,17.4,100.0,100.0
