-----
{
 "description": "This dataset provides information about the Electronics and IT Production as well as Electronics and IT Exports for the year 2012 and 2013.", 
 "file_name": "Annual_Report_2012-13-Electronics_and_IT_Production_and_Exports.xls", 
 "title": "Annual Report on Electronics and IT Production for 2012-2013 ", 
 "url": "http://data.gov.in/sites/default/files/Annual_Report_2012-13-Electronics_and_IT_Production_and_Exports.xls"
}
-----
"Item","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13"
"Consumer Electronics",22600.0,25550.0,29000.0,32000.0,34300.0,41200.0
"Industrial Electronics",11910.0,12740.0,15160.0,17000.0,18700.0,21500.0
"Computer Hardware",15870.0,13490.0,14970.0,14970.0,16500.0,24300.0
"Communication & Broadcast Equipments",18700.0,26600.0,31000.0,35400.0,40500.0,55000.0
"Strategic Electronics",5700.0,6840.0,6980.0,7700.0,8500.0,9000.0
"Electronic Components",9630.0,12040.0,13610.0,21800.0,24800.0,26500.0
"Sub-Total (Hardware)",84410.0,97260.0,110720.0,128870.0,143300.0,177500.0
"Software for Exports",164400.0,216190.0,237000.0,268610.0,332769.0,410836.0
"Domestic Software",47010.0,59000.0,67800.0,78700.0,91766.0,104700.0
"Sub-Total (Software)",211410.0,275190.0,304800.0,347310.0,424535.0,515536.0
"Total",295820.0,372450.0,415520.0,476180.0,567835.0,693036.0
