-----
{
 "description": "This table consists of year-wise Import/Export of Crude Oil and Petroleum Products during 2004-05 to 2011-12 in India.", 
 "file_name": "Import_or_Export_of_Crude_Oil_and_Petroeum_Products_2004-12.xls", 
 "title": "Import/Export of Crude Oil and Petroleum Products: 2004-12 ", 
 "url": "http://data.gov.in/sites/default/files/Import_or_Export_of_Crude_Oil_and_Petroeum_Products_2004-12.xls"
}
-----
"  Year","Crude Oil Qty.","Crude Oil Value","Petroleum Products Qty.","Petroleum Products Value","LNG Qty.","LNG Value","Total Qty.","Total Value","","","","","",""
"2004-05",95861.0,117003.0,-9383.0,-15041.0,2500.0,1696.0,88978.0,103658.0,"","","","","",""
"2005-06",99409.0,171702.0,-10019.0,-22003.0,5060.0,3366.0,94450.0,153065.0,"","","","","",""
"2006-07",111502.0,219029.0,-15964.0,-39934.0,6810.0,5650.0,102348.0,184745.0,"","","","","",""
"2007-08",121672.0,272698.8,-18317.0,-49789.0,8320.0,7197.0,111675.0,230106.8,"","","","","",""
"2008-09",132775.0,348304.0,-20358.0,-61319.0,8060.0,9548.0,120477.0,296533.0,"","","","","",""
"2009-10",159259.0,375277.0,-36358.0,-110429.0,8828.0,10297.0,131729.0,275145.0,"","","","","",""
"2010-11",163595.0,455276.0,-42262.0,-144755.0,8949.0,12719.0,130282.0,323240.0,"","","","","",""
"2011-12*",171729.0,672220.0,-45840.0,-230478.0,9703.0,20373.0,135592.0,462115.0,"","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","                           "
