"Type of Agency","STRs Disseminated 2007-08","STRs Disseminated 2008-09","STRs Disseminated 2009-10","STRs Disseminated 2010-11","STRs Disseminated till 31st March 2011"
"Law Enforcement Agencies",885.0,2319.0,6537.0,8818.0,18905.0
"Intelligence Agencies",49.0,90.0,362.0,5523.0,6084.0
"Regulators & Others",34.0,41.0,128.0,127.0,360.0
"Total",968.0,2450.0,7027.0,14468.0,25349.0
