-----
{
 "description": "This table shows the number of applicants on the live registered on the employment exchanges which are under the control of director general of employment and training, ministry of labour and employment, register names of the person seeking employment and help them to secure employment. It gives...", 
 "file_name": "PERFORMANCE_OF_EMPLOYMENT_EXCHANGES_1.xls", 
 "title": "Performance Of Employment Exchanges ", 
 "url": "http://data.gov.in/sites/default/files/PERFORMANCE_OF_EMPLOYMENT_EXCHANGES_1.xls"
}
-----
"State/
Union Territories","No of Employment
Exchanges$ - 2009","No of Employment
Exchanges$ - 2010"," Registrations - 2009"," Registrations - 2010","Vacancies
notified- 2009 @","Vacancies
notified- 2010 @","Submissions - 2009","Submissions - 2010","Placements -2009 @","Placements -2010 @","Live
Register$ - 2009","Live
Register$ - 2010","","","","",""
" Andhra Pradesh",31.0,184.1,184.1,184.1,9.9,6.1,273.8,273.8,1.0,1.0,2001.7,2001.7,"","","","",""
" Arunachal Pradesh",11.0,4.2,3.0,4.2,0.1,0.1,3.0,3.0,0.0,0.0,36.0,36.0,"","","","",""
" Assam",52.0,212.9,186.2,212.9,2.1,2.1,28.5,28.5,2.9,2.9,1716.4,1716.4,"","","","",""
" Bihar",37.0,156.6,123.1,156.6,0.7,0.7,6.5,6.5,4.0,4.0,823.3,823.3,"","","","",""
" Chattisgarh",17.0,245.5,315.8,245.5,5.1,5.1,9.4,9.4,1.5,1.5,1359.2,1359.2,"","","","",""
" Delhi",14.0,127.7,77.9,127.7,2.2,2.2,45.7,45.7,"NA","NA",460.8,460.8,"","","","",""
" Goa",1.0,17.4,20.1,17.4,2.4,2.4,47.9,47.9,1.8,1.8,102.8,102.8,"","","","",""
" Gujarat",41.0,406.5,395.2,406.5,191.2,191.2,775.6,775.6,153.5,153.5,905.5,905.5,"","","","",""
" Haryana",61.0,165.9,214.1,165.9,9.9,9.9,22.5,22.5,1.8,1.8,958.9,958.9,"","","","",""
" Himachal Pradesh",15.0,136.4,21.7,136.4,0.9,0.9,13.3,13.3,0.3,0.3,802.1,802.1,"","","","",""
" Jammu & Kashmir",14.0,39.0,253.0,39.0,"NA","NA",1.4,1.4,0.5,0.5,321.6,321.6,"","","","",""
" Jharkand",41.0,299.2,98.5,299.2,8.4,8.4,22.1,22.1,2.7,2.7,624.8,624.8,"","","","",""
" Karnataka",39.0,67.9,70.9,67.9,6.1,6.1,33.5,33.5,1.3,1.3,583.2,583.2,"","","","",""
" Kerala",90.0,456.4,443.0,456.4,21.6,21.6,270.2,270.2,14.2,14.2,4356.9,4356.9,"","","","",""
" Madhya Pradesh",58.0,433.5,366.1,433.5,8.4,8.4,23.0,23.0,5.2,5.2,1936.3,1936.3,"","","","",""
" Maharashtra",47.0,834.5,606.3,834.5,85.6,85.6,640.9,640.9,23.9,23.9,3008.3,3008.3,"","",""," ",""
" Manipur",11.0,16.7,29.7,16.7,2.0,2.0,15.0,15.0,"NA","NA",668.5,668.5,"","","","",""
" Megahalaya",12.0,5.7,10.8,5.7,0.5,0.5,1.3,1.3,0.1,0.1,34.6,34.6,"","","","",""
" Mizoram",3.0,10.0,5.7,10.0,0.8,0.8,4.6,4.6,0.0,0.0,52.1,52.1,"","","",""," "
" Nagaland",8.0,16.3,17.8,16.3,0.3,0.3,0.2,0.2,0.1,0.1,53.7,53.7,"","","","",""
" Orissa",40.0,225.7,147.5,225.7,1.2,1.2,26.0,26.0,4.8,4.8,848.6,848.6,"","","","",""
" Punjab",46.0,72.4,57.8,72.4,12.4,12.4,45.2,45.2,1.7,1.7,388.8,388.8,"","","","",""
" Rajasthan",38.0,177.9,117.7,177.9,11.7,11.7,53.8,53.8,4.7,4.7,817.4,817.4,"","","","",""
" Sikkim*"," -","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","",""
" Tamil Nadu",34.0,911.8,1003.2,911.8,16.3,16.3,68.8,68.8,16.4,16.4,5570.1,5570.1,"","","","",""
" Tripura",5.0,25.8,30.8,25.8,0.0,0.0,0.5,0.5,0.7,0.7,484.0,484.0,"","","","",""
" Uttarakhand",24.0,154.5,103.1,154.5,4.3,4.3,24.9,24.9,5.5,5.5,487.4,487.4,"","","","",""
" Uttar Pradesh",95.0,383.4,324.2,383.4,6.8,6.8,47.8,47.8,6.4,6.4,2135.7,2135.7,"","","","",""
" West Bengal",76.0,360.3,426.4,360.3,1.8,1.8,30.8,30.8,2.6,2.6,6288.9,6288.9,"","","","",""
" A. & N. Islands",1.0,1.0,8.1,7.8,0.1,0.1,0.2,0.2,0.5,0.5,40.3,40.3,"","","","",""
" Chandigarh",2.0,2.0,4.8,4.1,4.1,4.1,12.5,12.5,2.2,2.2,40.1,40.1,"","","","",""
" D. & N. Haveli",1.0,1.0,0.8,1.3,0.1,0.1,0.7,0.7,0.0,0.0,8.2,8.2,"","","","",""
"Daman & Diu",2.0,2.0,2.2,0.1,"NA","NA",0.0,0.0,0.0,0.0,13.1,13.1,"","","","",""
" Lakshadweep",1.0,1.0,1.1,0.8,0.2,0.2,1.8,1.8,0.0,0.0,14.6,14.6,"","","","",""
" Puducherry",1.0,1.0,23.0,3.3,2.3,2.3,37.8,37.8,1.3,1.3,208.1,208.1,"","","","",""
"Pondicherry",1.0,"NA",16.1,"NA",2.0,"NA",30.8,"NA",1.1,"NA",151.6,"NA","","","","",""
"Cent. Empl. Exch.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","",""
"CEE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","",""
"Total",969.0,5972.1,5693.7,6186.0,419.5,419.5,2589.3,2589.3,261.5,261.5,38152.2,38152.2,"","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
