-----
{
 "description": "This table gives All India (2000 to 2009) and State-wise (2007 to 2009) estimated average daily employment and number of working factories.", 
 "file_name": "ESTIMATED_AVERAGE_DAILY_EMPLOYMENT_AND_WORKING_FACTORIES.xls", 
 "title": "Estimated Average Daily Employment And number of working factories ", 
 "url": "http://data.gov.in/sites/default/files/ESTIMATED_AVERAGE_DAILY_EMPLOYMENT_AND_WORKING_FACTORIES.xls"
}
-----
" State/Union Territory","Number of working factories - 2007","Number of working factories - 2008","Number of working factories - 2009","Estimated average daily employment - 2007","Estimated average daily employment - 2008","Estimated average daily employment - 2009","","","",""," ","",""
" Andhra Pradesh",18736.0,19408.0,20599.0,753.0,820.0,877.0,"","","","","","",""
" Assam",2024.0,1590.0,2360.0,108.0,91.0,117.0,"","","","","","",""
" Bihar ",1321.0,1473.0,1451.0,51.0,63.0,58.0,"","","","","","",""
" Goa ",723.0,722.0,719.0,53.0,55.0,65.0,"","","","","","",""
" Gujarat","NA","NA","NA","NA","NA","NA","","","","","","",""
" Haryana",8790.0,8937.0,9107.0,646.0,661.0,701.0,"","","","","","",""
" Himachal Pradesh ","NA","NA","NA","NA","NA","NA","","","","","","",""
" Jammu & Kashmir ","NA","NA","NA","NA","NA","NA","","","","","","",""
"Jharkhand",1854.0,2540.0,"NA",168.0,179.0,"NA","","","","","","",""
" Karnataka",10977.0,"NA","NA",1047.0,"NA","NA","","","","","","",""
" Kerala ","NA","NA","NA","NA","NA","NA","","","","","","",""
" Madhya Pradesh",4901.0,5054.0,"NA",408.0,412.0,"NA","","","","","","",""
" Maharashtra",23226.0,"NA",24780.0,1303.0,"NA",1448.0,"","","","","","",""
" Manipur","NA","NA",80.0,"NA","NA",5.0,"","","","","","",""
" Meghalaya",106.0,117.0,95.0,6.0,6.0,6.0,"","","","","","",""
" Orissa",1939.0,2074.0,2191.0,161.0,174.0,216.0,"","","","","","",""
" Punjab",12930.0,13559.0,13712.0,510.0,535.0,591.0,"","","","","","",""
" Rajasthan",8066.0,8753.0,9092.0,436.0,568.0,578.0,"","","","","",""," "
" Tamil Nadu","NA","NA","NA","NA","NA","NA","","","","","","",""
" Tripura",374.0,410.0,461.0,23.0,25.0,33.0,"","","","","","",""
"Uttarakhand","NA",1386.0,1668.0,"NA",104.0,157.0,"","","","","","",""
" Uttar Pradesh ","NA","NA","NA","NA","NA","NA","","","","","",""," "
" West Bengal ",11826.0,12809.0,"NA",934.0,1262.0,"NA","","","","","","",""
" A. & N. Islands ",37.0,"NA",40.0,5.0,"NA",5.0,"","","","","","",""
" Chandigarh ",390.0,"NA",403.0,12.0,"NA",11.0,"","","","","","",""
" Dadra & Nagar Haveli","NA","NA","NA","NA","NA","NA","","","","","","",""
" Delhi ","NA","NA",7837.0,"NA","NA",334.0,"","","","","","",""
" Puducherry","NA","NA","NA","NA","NA","NA","","","","","","",""
