-----
{
 "description": "This table consists of year-wise Import/Export of Crude Oil and Petroleum Products during 2004-05 to 2011-12 in India.", 
 "file_name": "Import_or_Export_of_Crude_Oil_and_Petroeum_Products_2004-12.xls", 
 "title": "Import/Export of Crude Oil and Petroleum Products: 2004-12 ", 
 "url": "http://data.gov.in/sites/default/files/Import_or_Export_of_Crude_Oil_and_Petroeum_Products_2004-12.xls"
}
-----
"  Year","Crude Oil Qty.","Crude Oil Value","Petroleum Products Qty.","Petroleum Products Value","LNG Qty.","LNG Value","Total Qty.","Total Value","","","","","",""
"2004-05","NA","NA",18211.0,29928.0,"NA","NA",18211.0,29928.0,"","","","","",""
"2005-06","NA","NA",23460.0,49974.0,"NA","NA",23460.0,49974.0,"","","","","",""
"2006-07","NA","NA",33624.0,81094.0,"NA","NA",33624.0,81094.0,"","","","","",""
"2007-08","NA","NA",40779.0,110789.0,"NA","NA",40779.0,110789.0,"","","","","",""
"2008-09","NA","NA",38944.0,122475.0,"NA","NA",38944.0,122475.0,"","","","","",""
"2009-10","NA","NA",51023.0,144229.0,"NA","NA",51023.0,144229.0,"","","","","",""
"2010-11","","",59077.0,196861.0,"","",59077.0,196861.0,"","","","","",""
"2011-12 *","","",60837.0,284644.0,"","",60837.0,284644.0,"","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","                           "
