-----
{
 "description": "This data provides revised state plan outlay for 2011-12 by heads of development. The heads of development are following - agriculture and allied activities, rural development, special area program, irrigation and flood control, energy, industry and minerals, transport, science technology and...", 
 "file_name": "STATE_WISE_REVISED_STATE_PLAN_OUTLAY_BY_HEADS_OF_DEVELOPMENT_1.xls", 
 "title": "State-wise Revised State Plan Outlay By Heads Of Development For 2011-12 ", 
 "url": "http://data.gov.in/sites/default/files/STATE_WISE_REVISED_STATE_PLAN_OUTLAY_BY_HEADS_OF_DEVELOPMENT_1.xls"
}
-----
"State/Union Territory","Agriculture & Allied Activities","Rural Development","Special Area Programmes","Irrigation and Flood Control","Energy","Industry and Minerals","Transport","Science Technology & Environment","General Economic Services","Social Services","General Services","Total"
"Andhra Pradesh*",204495.0,424308.0,2500.0,1496963.0,65593.0,63244.0,292865.0,5974.0,123043.0,1595257.0,25759.0,4300000.0
"Arunachal Pradesh*",8660.0,3439.0,13716.0,11755.0,22464.0,1562.0,25240.0,5199.0,180541.0,44545.0,2878.0,320000.0
"Assam",69692.0,82328.0,128239.0,103632.0,43925.0,17075.0,85265.0,14979.0,22545.0,261442.0,70879.0,900000.0
"Bihar",222369.0,93068.0,82180.0,172633.0,82578.0,31945.0,484428.0,18348.0,72077.0,834805.0,44569.0,2139000.0
"Chattisgarh*",162169.0,49614.0,72849.0,204160.0,28690.0,25661.0,144332.0,37523.0,61299.0,839970.0,44760.0,1671027.0
"Goa*",14462.0,12653.0,1456.0,26659.0,20330.0,14402.0,36469.0,7933.0,10332.0,136812.0,50492.0,332000.0
"Gujarat*",257797.0,155711.0,14895.0,932757.0,201901.0,118158.0,371077.0,88318.0,154027.0,1502401.0,2958.0,3800000.0
"Haryana",88834.0,94162.0,3000.0,98500.0,115836.0,7660.0,124233.0,19195.0,25439.0,749435.0,706705.0,2033000.0
"Himachal Pradesh",29840.0,23790.0,2401.0,36619.0,46160.0,2702.0,62190.0,14649.0,7217.0,99669.0,5448.0,330685.0
"Jammu & Kashmir*",21788.0,13302.0,39023.0,45031.0,47800.0,15140.0,81941.0,3682.0,100031.0,228528.0,63734.0,660000.0
"Jharkhand",64938.0,173645.0,109745.0,70500.0,40000.0,17400.0,147500.0,14400.0,126236.0,434841.0,24070.0,1223275.0
"Karnataka*",365306.0,144992.0,52279.0,684341.0,440658.0,65785.0,427154.0,35535.0,106680.0,1417852.0,66420.0,3807002.0
"Kerala*",96263.0,46127.0,16151.0,55103.0,112300.0,46628.0,113439.0,34040.0,33775.0,386639.0,260535.0,1201000.0
"Madhya Pradesh*",178121.0,195493.0,103398.0,304665.0,198791.0,37117.0,254196.0,50467.0,70203.0,887370.0,20179.0,2300000.0
"Maharashtra*",255027.0,118238.0,18548.0,757717.0,304636.0,30235.0,477549.0,30539.0,73888.0,1955801.0,177822.0,4200000.0
"Manipur",6640.0,6222.0,2937.0,45386.0,17131.0,4279.0,23983.0,6883.0,56836.0,92394.0,12711.0,275402.0
"Meghalaya",25180.0,21146.0,2728.0,12840.0,56632.0,5110.0,30004.0,5740.0,24203.0,83668.0,5567.0,272818.0
"Mizoram",34539.0,3336.0,8597.0,5376.0,9086.0,2775.0,9320.0,3415.0,8293.0,54155.0,23602.0,162494.0
"Nagaland",18473.0,6496.0,10080.0,14863.0,8106.0,5300.0,21152.0,4969.0,19022.0,49184.0,9791.0,167436.0
"Orissa",114663.0,31806.0,169233.0,184219.0,68840.0,8709.0,133226.0,31333.0,32976.0,436757.0,18239.0,1230000.0
"Punjab*",43410.0,102139.0,"NA",103036.0,331166.0,5812.0,156562.0,6002.0,28707.0,355847.0,19318.0,1152000.0
"Rajasthan*",111216.0,278341.0,12634.0,97088.0,1206700.0,17850.0,136728.0,14619.0,24777.0,835320.0,14727.0,2750000.0
"Sikkim*",3921.0,17282.0,4097.0,14392.0,2554.0,715.0,7655.0,6829.0,20547.0,56478.0,5531.0,140000.0
"Tamil Nadu",205252.0,274887.0,18400.0,63233.0,206780.0,24485.0,139284.0,16178.0,141070.0,1261149.0,2784.0,2353502.0
"Tripura",7489.0,9465.0,16911.0,6091.0,1816.0,3191.0,18676.0,4323.0,1195.0,83345.0,11803.0,164305.0
"Uttar Pradesh",338277.0,391899.0,76875.0,240699.0,578901.0,450150.0,309728.0,14600.0,93661.0,1730220.0,14521.0,4239531.0
"Uttarakhand*",52148.0,56874.0,"NA",53597.0,40396.0,2828.0,116314.0,18699.0,14506.0,269694.0,154946.0,780000.0
"West Bengal*",86762.0,143565.0,141362.0,190273.0,168857.0,81116.0,125594.0,24444.0,11259.0,1207810.0,40358.0,2221400.0
"A. & N. Islands*",5731.0,5956.0,"NA",1762.0,6890.0,669.0,55234.0,3254.0,5668.0,52830.0,5490.0,143484.0
"Chandigarh",54.0,600.0,"NA",39.0,3970.0,134.0,651.0,3513.0,685.0,55040.0,1503.0,66189.0
"Dadra & Nagar Haveli*",958.0,1469.0,"NA",1536.0,4758.0,242.0,7534.0,594.0,1063.0,13933.0,1548.0,33635.0
"Daman & Diu*",1518.0,1262.0,"NA",544.0,3699.0,518.0,8683.0,785.0,1654.0,12133.0,1699.0,32495.0
"Delhi*","NA",16222.0,"NA",6000.0,250900.0,2490.0,354795.0,8450.0,1680.0,829179.0,43585.0,1513301.0
"Lakshadweep*",3250.0,520.0,"NA",300.0,2550.0,300.0,16200.0,3900.0,890.0,10393.0,576.0,38879.0
"Puducherry*",18933.0,6144.0,"NA",8015.0,15515.0,9904.0,28227.0,698.0,12682.0,154520.0,20362.0,275000.0
