-----
{
 "description": "This data provides overall foreign trade figures in Merchandise and Treasure from 2001-02 to 2011-12.", 
 "file_name": "FOREIGN_TRADE_OVERALL_TRADE_IN_MERCHANDISE_AND_TREASURE.xls", 
 "title": "Foreign Trade - Overall Trade In Merchandise And Treasure From 2001-02 To 2011-12 ", 
 "url": "http://data.gov.in/sites/default/files/FOREIGN_TRADE_OVERALL_TRADE_IN_MERCHANDISE_AND_TREASURE.xls"
}
-----
"Item"," 2001-02"," 2002-03"," 2003-04"," 2004-05"," 2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12"
"Imports (Foreign merchandise)",2451997.2,2972058.7,3591076.6,5010645.4,6604089.0,8405063.0,10123117.0,13744356.0,13637356.0,16834670.0,23454632.0
"Exports (Indian merchandise)",2090179.7,2551372.8,2933667.6,3753395.3,4564178.0,5717792.0,6558635.0,8407551.0,8455336.0,11429219.0,14659594.0
"Re-Exports (Foreign merchandise(1)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Total exports",2090179.7,2551372.8,2933667.6,3753395.3,4564178.0,5717792.0,6558635.0,8407551.0,8455336.0,11429219.0,14659594.0
"Balance of trade",-361817.5,-420685.9,-657409.0,-1257250.1,-2039911.0,-2687270.0,-3564482.0,-5336805.0,-5182020.0,-5405451.0,-8795038.0
"Treasure",28.0,61.6999999996,173.7,168.099999999,104.0,61.0,326.0,25.0,"NA","NA","NA"
"Imports",34.9,37.5,230.6,31.1,32.0,41.0,15.0,1.0,"NA","NA","NA"
"Total",62.9,99.1999999996,404.3,199.199999999,136.0,102.0,341.0,26.0,"NA","NA","NA"
"Balance of trade(1)",-28.0,-61.6999999996,-173.7,-168.099999999,-104.0,-61.0,-326.0,-25.0,"NA","NA","NA"
"Visible balance of trade",-361845.5,-420747.6,-657582.7,-1257418.2,-2040015.0,-2687331.0,-3564808.0,-5336805.0,"NA","NA","NA"
