"Year","20-21",22.0,23.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,"Mining","Manf.","Elect.","General"
"1981-82",13.5,4.3,-0.3,-4.3,-3.3,53.2,8.3,28.1,19.2,16.9,6.7,0.0,-5.4,11.1,3.9,8.1,49.2,17.7,7.9,10.2,9.3
"1982-83",14.1,3.4,-10.3,-2.9,2.7,-0.1,-2.6,-21.9,-0.2,3.7,-2.8,4.2,-5.0,0.8,11.5,3.0,3.9,12.4,1.4,5.7,3.2
"1983-84",-6.5,-3.1,12.1,-15.8,-7.3,9.5,3.6,16.3,14.4,8.1,17.8,-8.7,-2.0,6.8,23.5,10.9,-32.5,11.7,5.7,7.6,6.7
"1984-85",-1.7,6.9,2.0,27.1,3.8,29.3,20.7,20.1,8.2,9.1,13.3,12.8,19.2,6.7,4.0,6.6,17.5,8.9,8.0,12.0,8.6
"1985-86",5.5,0.4,8.0,-2.1,18.0,3.1,12.6,21.1,3.9,8.0,13.7,9.0,9.2,2.0,34.8,3.2,24.2,4.1,9.7,8.5,8.7
"1986-87",6.1,-12.1,1.9,3.9,-22.8,10.3,9.9,5.0,-2.2,13.7,1.9,8.4,8.5,8.9,27.0,6.7,54.2,6.2,9.3,10.3,9.1
"1987-88",4.4,-13.8,-1.2,-10.0,5.3,-34.3,1.9,4.4,3.7,14.5,-1.4,6.9,4.1,-1.8,31.6,4.8,15.6,3.8,7.9,7.7,7.3
"1988-89",6.8,8.5,-3.1,12.0,46.3,6.2,3.0,-4.4,8.5,16.2,16.8,6.9,3.0,15.8,3.2,12.8,12.6,7.9,8.7,9.5,8.7
"1989-90",1.6,11.8,4.2,-4.4,13.0,2.5,6.0,6.1,3.1,6.1,2.9,-0.8,6.8,6.6,32.7,5.7,8.8,6.3,8.6,10.8,8.6
"1990-91",12.5,1.7,12.7,4.3,-32.0,12.0,9.1,3.2,0.3,2.6,1.7,10.5,0.4,8.7,22.7,6.3,-3.4,4.5,9.0,7.8,8.2
"1991-92",4.8,2.4,9.8,-10.6,-5.8,-6.2,2.5,-6.7,-1.1,2.8,6.3,5.7,-7.0,-1.9,-12.4,-0.7,-16.1,0.6,-0.8,8.5,0.6
"1992-93",-1.5,6.0,8.0,-4.2,-22.0,3.0,3.9,3.5,1.5,6.0,1.9,0.4,-6.4,-1.2,-2.0,5.0,4.2,0.5,2.2,5.0,2.3
"1993-94",-8.7,21.2,6.9,18.6,-3.2,4.6,6.6,8.8,1.0,7.6,4.5,33.1,1.5,4.5,-4.9,5.3,-5.1,3.5,6.1,7.4,6.0
"1994-95",13.6,-2.2,-2.9,-11.3,7.1,3.1,14.8,3.7,3.2,9.5,8.0,-4.3,17.5,9.4,32.6,13.3,1.0,7.5,9.8,8.5,9.4
"1995-96",13.9,19.4,11.1,2.3,14.1,17.2,11.0,7.4,8.1,9.3,12.1,5.2,16.9,21.0,19.5,24.6,11.5,7.4,13.6,8.1,12.1
"1996-97",3.4,14.8,10.7,2.4,6.5,-3.3,8.7,2.0,4.7,2.2,8.2,34.5,1.9,0.2,3.4,18.9,-5.8,0.4,8.6,3.9,7.1
"1997-98",-2.3,4.8,5.6,8.7,-6.9,-10.3,7.7,-1.1,2.6,9.8,12.1,4.2,1.0,-1.6,2.6,-7.0,5.7,4.9,3.6,6.8,4.2
