Sl.No.,India/States,Total 2008,Total 2009,Total 2010
1,Andhra Pradesh,58,52,48
2,Assam   ,88,87,83
3,Bihar  ,75,70,64
4,Chhattisgarh,71,67,61
5,Delhi,40,37,34
6,Gujarat,60,61,56
7,Haryana,65,60,55
8,Himachal Pradesh,50,51,49
9,Jammu & Kashmir,55,50,48
10,Jharkhand,65,62,59
11,Karnataka,55,50,45
12,Kerala,14,14,15
13,Madhya Pradesh,92,89,82
14,Maharashtra,41,36,33
15,Odisha,89,84,78
16,Punjab,49,46,43
17,Rajasthan ,80,74,69
18,Tamil Nadu,36,33,27
19,Uttar Pradesh  ,91,85,79
20,West Bengal ,42,40,37
21,ALL INDIA,69,64,59
