"Category","STRs Analysed 2007-08","STRs Analysed 2008-09","STRs Analysed 2009-10","STRs Analysed 2010-11","STRs Analysed 2011-12","STRs Analysed Till 31st March 2012"
"STRs Received",1916.0,4409.0,10067.0,20698.0,31317.0,69224.0
"STRs Brought Forward from Previous Year",171.0,86.0,476.0,1118.0,1775.0,""
"STR Processed",2001.0,4019.0,9425.0,20041.0,31279.0,67411.0
"STRs Disseminated",968.0,2450.0,7027.0,14468.0,23689.0,47600.0
