"Category","Petrol Vehicles",2000.0,"2005 (BS II)","2010 (BS III)"
"Three-Wheelers (g/km)","Carbon Monoxide(CO)",4.0,2.25,1.25
"Three-Wheelers (g/km)","Hydrocarbon(HC)","NA","NA","NA"
"Three-Wheelers (g/km)","Hydrocarbon and Oxide of Nitrogen(HC+NOX)",2.0,2.0,1.25
"Two Wheelers (g/km)","Carbon Monoxide(CO)",2.0,1.5,1.0
"Two Wheelers (g/km)","Hydrocarbon(HC)","NA","NA","NA"
"Two Wheelers (g/km)","Hydrocarbon and Oxide of Nitrogen(HC+NOX)",2.0,1.5,1.0
