State or UT or Agency,Achievements 2009-10 - Total ANC registeration,Achievements 2009-10 - Number of women given TT2 - Booster ,Achievements 2010-11 - Total ANC registeration,Achievements 2010-11 - Number of women given TT2 - Booster 
Arunachal Pradesh,22414,9971,24151,10474
Assam,746492,592209,740545,572982
Manipur,111670,35147,98692,34884
Meghalaya,102540,54033,110804,58103
Mizoram,32096,22626,29126,21358
Nagaland,33754,12798,34544,13362
Sikkim,15212,7260,9925,8173
Tripura,72676,44191,67653,45130
Bihar,1800579,1716653,2361255,1791419
Chhattisgarh,650755,610202,653921,589405
Himachal Pradesh,157805,128807,156424,117241
Jammu and Kashmir,399543,194076,444664,197126
Jharkhand,655840,532193,762592,602196
Madhya Pradesh,1993145,1710211,2036305,1700750
Orissa,846526,819032,828851,734305
Rajasthan,2012114,1817647,1871172,1567333
Uttar Pradesh,5804573,5707229,5575651,4993604
Uttarakhand,226481,194789,208089,179216
Andhra Pradesh,1808357,1700671,1762254,1641207
Goa,30130,20200,30985,21302
Gujarat,1426797,1217471,1382710,1237438
Haryana,656489,568028,608720,538320
Karnataka,1292237,1152762,1606448,1183952
Kerala,624899,510281,420212,352493
Maharashtra,2117762,1777161,1860411,1588488
Punjab,508435,427044,511812,428337
Tamil Nadu,1220391,1156404,1212758,1188278
West Bengal,1902114,1502713,1906787,1526529
A and N Islands,5715,4097,2782,2362
Chandigarh,42165,18042,34998,18203
Dadra and Nagar Haveli,10483,9300,11532,8486
Daman and Diu,0,0,4537,1864
Delhi,779388,204679,768916,196899
Lakshadweep,942,786,1091,1121
Puducherry,53819,20117,49555,17530
MO Defence,120590,16740,103714,20940
MO Railways,17127,18660,8270,7726
All India Total,28302055,24534230,28302856,23218536
