"Year","Allopathic Medical colleges - No. of  Colleges","Allopathic Medical colleges - No. of Admission ","Dental Colleges - No. of BDS Colleges","Dental Colleges - No. of  Admission in BDS","Dental Colleges - No. of MDS Colleges","Dental Colleges - No. of Admission in MDS"
" 2000-01",189.0,18168.0,135.0,8340.0,49.0,859.0
" 2001-02","NULL","NULL",149.0,9550.0,52.0,922.0
" 2002-03","NULL","NULL",164.0,10970.0,56.0,992.0
" 2003-04","NULL","NULL",181.0,12960.0,58.0,1106.0
" 2004-05",229.0,24690.0,185.0,13400.0,61.0,1173.0
" 2005-06",242.0,26449.0,205.0,15440.0,67.0,1298.0
" 2006-07",262.0,28928.0,238.0,18120.0,87.0,1764.0
" 2007-08",266.0,30290.0,267.0,20910.0,104.0,2069.0
" 2008-09",289.0,32815.0,282.0,22650.0,122.0,2365.0
" 2009-10",300.0,34595.0,290.0,23520.0,"NULL",2644.0
" 2010-11","314*",29263.0,289.0,21547.0,"NULL",2783.0
" 2011-12","335**",39474.0,291.0,23800.0,140.0,3418.0
