"State/ Union Territory","Total Number of Factories (2001)","Average Daily Employment (2001) - (Employment in '000 no.)","Total Number of Factories (2002)","Average Daily Employment (2002)","Total Number of factories (2003)","Average Daily Employment (2003)","Total Number of Factories (2004)","Average Daily Employment (2004)","Total Number of Factories (2005)","Average Daily Employment (2005)","Total Number of Factories (2006)","Average Daily Employment (2006)","Total Number of Factories (2007)","Average Daily Employment (2007)","Total Number of Factories (2008)","Average Daily Employment (2008)","Total Number of factories (2009)","Average Daily Employment (2009)"
" Andhra Pradesh",29218.0,719.0,30762.0,731.0,27927.0,717.0,28016.0,764.0,28149.0,773.0,28168.0,792.0,29451.0,833.0,30054.0,873.0,30827.0,953.0
" Assam",1473.0,94.0,1554.0,96.0,1526.0,94.0,1671.0,99.0,1876.0,107.0,2073.0,114.0,2299.0,121.0,1946.0,121.0,2299.0,121.0
" Bihar","NA","NA","NA","NA","NA","NA","NA","NA",5926.0,89.0,"NA","",6443.0,104.0,6668.0,104.0,6443.0,104.0
" Goa,Daman & Diu",644.0,38.0,695.0,42.0,696.0,45.0,661.0,43.0,675.0,45.0,683.0,49.0,723.0,53.0,722.0,55.0,720.0,65.0
" Gujarat",18010.0,748.0,"NA","NA","NA","NA","NA","NA","NA","NA",22244.0,1016.0,"NA","NA","NA","NA","NA","NA"
" Haryana","NA","NA",8794.0,448.0,6303.0,361.0,9170.0,558.0,9240.0,575.0,9642.0,635.0,9959.0,679.0,9978.0,684.0,10306.0,738.0
" Himachal Pradesh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Jammu & Kashmir","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Jharkhand @","NA","NA","NA","NA","NA","NA","NA","NA",5414.0,281.0,5972.0,295.0,6216.0,303.0,6496.0,310.0,"NA","NA"
" Karnataka","NA","NA",9542.0,1084.0,9750.0,1003.0,10063.0,890.0,10033.0,933.0,10062.0,918.0,11066.0,1056.0,11782.0,1138.0,"NA","NA"
" Kerala","NA","NA","NA","NA","NA","NA",18221.0,408.0,18011.0,175.0,18164.0,164.0,"NA","NA","NA","NA","NA","NA"
" Madhya Pradesh",7741.0,405.0,7806.0,392.0,7893.0,417.0,7586.0,473.0,7908.0,460.0,8034.0,436.0,8782.0,448.0,9061.0,449.0,"NA","NA"
" Maharashtra",28501.0,1253.0,28783.0,1227.0,28892.0,1216.0,29332.0,1235.0,30461.0,1301.0,30773.0,1324.0,30948.0,1344.0,"NA","NA",34118.0,1531.0
" Manipur","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",944.0,9.0
" Meghalaya","NA","NA","NA","NA","NA","NA",74.0,4.0,82.0,4.0,111.0,6.0,115.0,6.0,125.0,6.0,98.0,6.0
" Orissa",1920.0,136.0,1899.0,133.0,1933.0,131.0,1994.0,130.0,2015.0,139.0,2137.0,150.0,2210.0,165.0,2345.0,176.0,2469.0,218.0
" Punjab",13439.0,408.0,13791.0,451.0,14109.0,462.0,14670.0,480.0,15311.0,521.0,16018.0,549.0,16326.0,570.0,17007.0,590.0,17168.0,593.0
" Rajasthan",9103.0,367.0,9341.0,363.0,9406.0,373.0,9711.0,386.0,9889.0,398.0,10552.0,393.0,10412.0,468.0,11253.0,598.0,11575.0,606.0
" Tamil Nadu",24097.0,1234.0,24811.0,1252.0,"NA","NA",25843.0,1283.0,28341.0,1333.0,29448.0,1381.0,"NA","NA","NA","NA","NA","NA"
" Tripura",1433.0,32.0,1481.0,32.0,1522.0,32.0,1542.0,33.0,1575.0,33.0,1575.0,33.0,1477.0,41.0,1547.0,44.0,1626.0,52.0
"Uttarakhand","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1486.0,105.0,1743.0,165.0
" Uttar Pradesh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",13152.0,860.0,13129.0,893.0,13577.0,934.0
" West Bengal","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",13224.0,948.0,14209.0,1276.0,"NA","NA"
" A. & N.Islands","NA","NA",48.0,8.0,33.0,5.0,"NA","NA","NA","NA","NA","NA",38.0,5.0,"NA","NA",42.0,5.0
" Chandigarh",486.0,15.0,494.0,15.0,484.0,14.0,437.0,14.0,435.0,13.0,441.0,13.0,458.0,12.0,"NA","NA",472.0,11.0
" D. & N. Haveli","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
" Delhi",6863.0,233.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",8004.0,342.0
" Puducherry",1872.0,54.0,1284.0,55.0,1421.0,55.0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Total",144800.0,5733.0,141085.0,6330.0,111895.0,4927.0,158991.0,6802.0,175341.0,7180.0,196097.0,8269.0,163299.0,8015.0,137808.0,8015.0,142431.0,8015.0
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","",""," ","","","","","","","","","","","","","","",""
