"S. No.","State/UT","[R] Required1","[S] Sanctioned","[P] In Position","[S-P] Vacant","[R-P] Shortfall"
1.0,"Andhra Pradesh",1905.0,2154.0,1817.0,337.0,88.0
2.0,"Arunachal Pradesh",145.0,"NA",56.0,"NA",89.0
3.0,"Assam",1046.0,"NA",1262.0,"NA","NULL"
4.0,"Bihar# ",1933.0,989.0,439.0,550.0,1494.0
5.0,"Chhattisgarh",889.0,1037.0,548.0,489.0,341.0
6.0,"Goa",24.0,26.0,25.0,1.0,"NULL"
7.0,"Gujarat",1428.0,1433.0,904.0,529.0,524.0
8.0,"Haryana",551.0,435.0,406.0,29.0,145.0
9.0,"Himachal Pradesh",529.0,614.0,353.0,261.0,176.0
10.0,"Jammu & Kashmir",480.0,231.0,680.0,"NULL","NULL"
11.0,"Jharkhand#",518.0,501.0,344.0,157.0,174.0
12.0,"Karnataka",2490.0,"NA",2417.0,"NA",73.0
13.0,"Kerala",1033.0,1033.0,1013.0,20.0,20.0
14.0,"Madhya Pradesh# ",1489.0,642.0,331.0,311.0,1158.0
15.0,"Maharashtra",2174.0,2071.0,2322.0,"NULL","NULL"
16.0,"Manipur",96.0,135.0,135.0,0.0,"NULL"
17.0,"Meghalaya",138.0,149.0,142.0,7.0,"NULL"
18.0,"Mizoram##",66.0,69.0,33.0,36.0,33.0
19.0,"Nagaland",147.0,"NA",112.0,"NA",35.0
20.0,"Odisha",1605.0,1720.0,1265.0,455.0,340.0
21.0,"Punjab",575.0,844.0,939.0,"NULL","NULL"
22.0,"Rajasthan",1893.0,362.0,551.0,"NULL",1342.0
23.0,"Sikkim",26.0,"NA",10.0,"NA",16.0
24.0,"Tamil Nadu",1589.0,1619.0,1465.0,154.0,124.0
25.0,"Tripura",90.0,"NA",116.0,"NA","NULL"
26.0,"Uttarakhand",294.0,331.0,267.0,64.0,27.0
27.0,"Uttar Pradesh",4207.0,6472.0,5582.0,890.0,"NULL"
28.0,"West Bengal",1257.0,1501.0,1018.0,483.0,239.0
29.0,"A& N Islands",23.0,27.0,39.0,"NULL","NULL"
30.0,"Chandigarh",2.0,16.0,16.0,0.0,"NULL"
31.0,"D & N Haveli",7.0,"NA",8.0,"NA","NULL"
32.0,"Daman & Diu",5.0,5.0,4.0,1.0,1.0
33.0,"Delhi",8.0,3.0,3.0,0.0,5.0
34.0,"Lakshadweep",7.0,11.0,20.0,"NULL","NULL"
35.0,"Puducherry",27.0,30.0,29.0,1.0,"NULL"
36.0,"All India Total",28696.0,24460.0,24671.0,4775.0,6444.0
