"ODS","2005 Export","2005 Import","2006 Export","2006 Import","2007 Export","2007 Import","2008 Export","2008 Import","2009 Export","2009 Import","2010 Export","2010 Import"
"CFC-11",1206.12,"NA",273.44,3.2,149.9,"NA",16.01,"NA",49.1,"NA","NULL","NULL"
"CFC-12",8093.08,"NA",3204.74,117.89,1146.3,"NA",439.956,"NA",610.8,"NA","NULL","NULL"
"CFC-113",3.64,"NA",18.55,"NA","NA","NA","NA","NA","NA","NA","NULL","NULL"
"Halon-1211 #","NA",25.0,"NA","NA","NA","NA","NA",65.6,"NA",4.9,"NULL",8.0
"Halon-1301 #","NA","NA","NA","NA","NA","NA","NA",59.03,"NA",4.6,"NULL",19.95
"CTC",15.08,15635.75,"NA",2489.53,"NA",6586.0,"NA",5949.0,0.8,1651.0,"NULL",416.923
"HCFC-22 *",15026.07,"NULL",23502.13,"NA",28771.8,3226.6,30225.6,"NA",38478.1,1280.0,30034.172,1868.268
"HCFC-123 $","NA",15.26,"NA","NA","NA",27.2,"NA","NA","NA",238.0,"NULL",115.085
"HCFC-141b","NA",2156.0,"NA","NA","NA",4711.9,"NA","NA","NA",7900.0,"NULL",7836.8
"Mythyl Bromide ^","NA","NA","NA","NA","NA",360.4,"NA",561.969,"NA",540.2,"NULL",379.244
"Total",24343.99,17832.01,26998.86,2610.62,30068.0,14912.1,30681.566,6635.599,39138.8,11618.8,30036.412,10644.27
