"Year","New Connectivety -Habitations 
covered 
during 
(in number)","New Connectivety - Habitations 
covered 
upto 
(in number)","New Connectivety - Road 
constructed
during 
(in KM)","New Connectivety - Road 
costructed
upto 
(in KM)","Upgradation - Road 
upgraded
during 
(in KM)","Upgradation - Road 
upgraded
upto 
(in KM)"
"2005-06",5210.0,5102.0,18054.3,18054.3,3898.1,3898.1
"2006-07",8279.0,13353.0,21422.85,39477.15,44306.65,48204.75
"2007-08",7040.0,20393.0,21901.76,61378.91,58145.39,106350.14
"2008-09",10760.0,31153.0,24026.36,85405.27,48668.82,154018.96
"2009-10",4172.0,35325.0,20751.88,106157.15,42437.5,197456.46
"2010-11",4627.0,39952.0,19391.15,125548.3,24138.3,221594.84
