"S. No.","State/UT","Total Number of Sub Centers Functioning","Sub Centres functioning in  Govt. Builidings","Sub Centres functioning in Rented Buildings","Sub Centres functioning in Rent Free Panchayat / Vol. Society Buildings","Buildings Under Construction","Buildings Required1 to be Constructed"
1.0,"Andhra Pradesh",12522.0,4221.0,8301.0,0.0,0.0,8301.0
2.0,"Arunachal Pradesh",286.0,286.0,0.0,0.0,2.0,"NULL"
3.0,"Assam",4604.0,2723.0,1513.0,368.0,1679.0,202.0
4.0,"Bihar  ",9696.0,4848.0,4848.0,0.0,2616.0,2232.0
5.0,"Chhattisgarh",5076.0,2350.0,906.0,1820.0,1261.0,1465.0
6.0,"Goa",175.0,46.0,129.0,0.0,4.0,125.0
7.0,"Gujarat",7274.0,5212.0,0.0,2062.0,"NA","NA"
8.0,"Haryana",2508.0,1556.0,0.0,952.0,"NA","NA"
9.0,"Himachal Pradesh",2067.0,1270.0,14.0,783.0,189.0,608.0
10.0,"Jammu & Kashmir",1907.0,644.0,1263.0,0.0,"NA","NA"
11.0,"Jharkhand",3958.0,1818.0,1177.0,963.0,602.0,1538.0
12.0,"Karnataka2",8870.0,4710.0,2585.0,1575.0,65.0,4160.0
13.0,"Kerala",4575.0,2128.0,981.0,1466.0,62.0,2385.0
14.0,"Madhya Pradesh",8869.0,7254.0,1035.0,580.0,667.0,948.0
15.0,"Maharashtra",10580.0,8099.0,766.0,1715.0,469.0,2012.0
16.0,"Manipur",420.0,316.0,104.0,0.0,104.0,0.0
17.0,"Meghalaya",405.0,397.0,8.0,0.0,15.0,"NULL"
18.0,"Mizoram",370.0,370.0,0.0,0.0,0.0,0.0
19.0,"Nagaland",396.0,333.0,0.0,63.0,50.0,13.0
20.0,"Odisha",6688.0,3365.0,2878.0,445.0,105.0,3218.0
21.0,"Punjab",2950.0,1828.0,0.0,1122.0,144.0,978.0
22.0,"Rajasthan",11487.0,10266.0,578.0,643.0,459.0,762.0
23.0,"Sikkim",146.0,138.0,8.0,0.0,4.0,4.0
24.0,"Tamil Nadu",8706.0,6510.0,1860.0,336.0,0.0,2196.0
25.0,"Tripura",632.0,335.0,131.0,166.0,143.0,154.0
26.0,"Uttarakhand",1765.0,1040.0,718.0,7.0,0.0,725.0
27.0,"Uttar Pradesh",20521.0,15570.0,4951.0,0.0,4155.0,796.0
28.0,"West Bengal",10356.0,5001.0,5339.0,16.0,477.0,4878.0
29.0,"A& N Islands",114.0,114.0,0.0,0.0,0.0,0.0
30.0,"Chandigarh",17.0,5.0,1.0,11.0,0.0,12.0
31.0,"D & N Haveli",50.0,42.0,1.0,7.0,3.0,5.0
32.0,"Daman & Diu",26.0,20.0,4.0,2.0,0.0,6.0
33.0,"Delhi",41.0,8.0,11.0,22.0,0.0,33.0
34.0,"Lakshadweep",14.0,8.0,6.0,0.0,0.0,6.0
35.0,"Puducherry",53.0,36.0,17.0,0.0,4.0,13.0
36.0,"All India Total",148124.0,92867.0,40133.0,15124.0,13279.0,37775.0
