"State/UT","Total Works Takenup 2010-11 (P)","Total Works Takenup 2011-12 (P)","Work (Assests) completed Rural Connectivity 2010-11 (P)","Work (Assests) completed Rural Connectivity 2011-12 (P)","Work (Assests) completed Flood Control and Protection 2010-11 (P)","Work (Assests) completed Flood Control and Protection 2011-12 (P)","Work (Assests) completed Water Conservation and Water Harvesting 2010-11 (P)","Work (Assests) completed Water Conservation and Water Harvesting 2011-12 (P)","Work (Assests) completed Drought Proofing 2010-11 (P)","Work (Assests) completed Drought Proofing 2011-12 (P)","Work (Assests) completed Micro Irrigation Works 2010-11 (P)","Work (Assests) completed Micro Irrigation Works 2011-12 (P)","Work (Assests) completed Provision of Irrigation facility to Land Owned by 2010-11 (P)","Work (Assests) completed Provision of Irrigation facility to Land Owned by 2011-12 (P)","Work (Assests) completed Renovation of Traditional Water bodies 2010-11 (P)","Work (Assests) completed Renovation of Traditional Water bodies 2011-12 (P)","Work (Assests) completed Land Development 2010-11 (P)","Work (Assests) completed Land Development 2011-12 (P)","Work (Assests) completed Any Other activity Approved by MRD 2010-11 (P)","Work (Assests) completed Any Other activity Approved by MRD 2011-12 (P)","Work (Assests) completed Rajiv Gandhi Seva Kendra 2010-11 (P)","Work (Assests) completed Rajiv Gandhi Seva Kendra 2011-12 (P)","Work (Assests) completed Total 2010-11 (P)","Work (Assests) completed Total 2011-12 (P)","% Age of Works Completed 2010-11 (P)","% Age of Works Completed 2011-12 (P)"
"Punjab",14732.0,17989.0,2235.0,3015.0,160.0,193.0,155.0,88.0,889.0,751.0,822.0,571.0,1.0,2.0,1117.0,1260.0,666.0,984.0,218.0,504.0,"NA",54.0,6271.0,7422.0,42.57,41.3
"Rajasthan",190161.0,384059.0,10115.0,7462.0,555.0,440.0,7730.0,7024.0,3090.0,1398.0,2484.0,1786.0,18366.0,5964.0,6887.0,2967.0,2231.0,4679.0,112.0,800.0,"NA",3362.0,51876.0,35882.0,27.28,9.3
"Sikkim",2313.0,4806.0,260.0,177.0,181.0,109.0,360.0,12.0,415.0,433.0,100.0,62.0,2.0,0.0,17.0,3.0,199.0,704.0,0.0,37.0,"NA",2.0,1534.0,1539.0,66.32,32.0
"Tamil Nadu",72938.0,120041.0,6589.0,15295.0,445.0,299.0,3962.0,9822.0,0.0,2.0,3580.0,7637.0,0.0,15.0,12066.0,22608.0,9.0,90.0,2.0,16.0,"NA",0.0,26653.0,55784.0,36.54,46.5
"Tripura",81151.0,83831.0,15589.0,14795.0,965.0,709.0,12095.0,13346.0,6605.0,3731.0,5385.0,6482.0,663.0,628.0,3589.0,3931.0,17109.0,18971.0,6533.0,3349.0,"NA",46.0,68575.0,65988.0,84.5,78.7
"Uttar Pradesh",751697.0,1881524.0,149785.0,204368.0,22743.0,22673.0,29420.0,23458.0,19071.0,15489.0,34562.0,18280.0,73293.0,95158.0,26514.0,9432.0,72260.0,54380.0,20495.0,52775.0,"NA",21.0,448144.0,496034.0,59.62,26.4
"Uttarakhand",42134.0,73587.0,2704.0,1281.0,8812.0,4258.0,7844.0,1903.0,2988.0,904.0,2930.0,1403.0,748.0,115.0,1498.0,601.0,2141.0,1995.0,78.0,91.0,"NA",5.0,29743.0,12556.0,70.59,17.1
"West Bengal",245569.0,420587.0,39004.0,46487.0,7342.0,7860.0,32490.0,35267.0,11968.0,46595.0,8052.0,7723.0,7934.0,9199.0,22210.0,17003.0,13583.0,19135.0,1.0,2234.0,"NA",42.0,142602.0,191545.0,58.07,45.5
"Andaman & Nicobar",538.0,629.0,55.0,102.0,34.0,71.0,66.0,43.0,0.0,19.0,22.0,1.0,0.0,20.0,10.0,11.0,37.0,61.0,0.0,1.0,"NA",0.0,224.0,329.0,41.64,52.3
"Lakshadweep",75.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"NA",0.0,0.0,0.0,0.0,0.0
"Puducherry",860.0,1336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,"NA",0.0,0.0,67.0,0.0,5.0
