"IMAGE INTENSIFICATION BASED DEVICES","","",""
"DEVICE NAME","MGNIFICATION (X)","FIELD OF VIEW(degree)","RANGE(m)"
"Integrated Observation Equipment",7.0,7.0,2000.0
"Passive Night Vision Binocular (Mk-I)",4.0,10.0,500.0
"Passive Night Vision Goggles",1.0,40.0,225.0
"Passive Night Sight for 84 mm Carl",4.0,10.0,500.0
"Passive Night Sight for 5.56 mm Rifle",4.0,10.0,200.0
"Passive Night Sight for 5.56 mm LMG",4.0,10.0,200.0
"Passive Night Sight RCL Mk I",5.0,10.0,600.0
"Passive Night Sight RCL Mk II",6.0,9.0,600.0
"Driver Sight for T-55",1.0,40.0,100.0
"Gunners Night Sight for T-55",7.0,7.0,">800"
"Balloon Lifted Imaging & Surveillance","NA",2.1,4000.0
"Goggles for Aireforce",1.0,40.0,250.0
"Sight for 84 Mm",5.5,8.0,700.0
"Sight for 5.56 mm carbine",2.5,10.0,100.0
