"S.No.","Name of State Road Transport Undertaking (SRTU)","Avg. Fleet Held (Number) ","Avg Fleet Operated (Number)    ","Avg Age of Fleet (Years)  ","Over aged vehicles (%)","Revenue Earning Kilometres (Lakhs) ","Staff Strength (Number)","Fuel Efficiency (Km/litre of HSD)","  Passenger Kilometres Offered (Lakhs) ","Passenger KMS Performed (Lakhs)","Passenger Carried (Lakhs)","Number of Accidents  "," Number of Fatal Accidents   "
1.0,"Ahmedabad M T Corpn. ",942.0,674.0,7.8,34.7,525.05,5274.0,3.47,31700.22,21020.95,2904.41,538.0,17.0
2.0,"Andhra Pradesh SRTC",21802.0,21701.0,"NA","NA",28958.0,120566.0,5.17,1462379.0,973944.0,46388.0,2879.0,1047.0
3.0,"Assam State Transport Corpn.",517.0,"NA","NA","NA","NA",3010.0,4.0,"NA","NA","NA","NA","NA"
4.0,"B.E.S.T. Undertaking",4652.0,4082.0,5.31,0.0,2615.17,30183.0,2.91,176102.0,123071.0,15352.0,847.0,49.0
5.0,"Bangalore Metropolitan TC",6110.0,5640.5,4.76,5.62,4580.2,32953.0,4.01,223844.22,197604.2,15602.5,556.0,88.0
6.0,"Bihar SRTC",424.0,182.0,8.78,34.0,138.37,1765.0,4.18,6641.76,4317.14,55.15,0.0,0.0
7.0,"Calcutta STC",956.0,501.0,5.67,20.73,348.58,6102.0,3.37,20173.0,12108.0,1686.0,130.0,9.0
8.0,"Chandigarh TU",471.0,444.0,4.41,6.0,439.47,2136.0,4.08,21974.0,20215.62,788.4,125.0,8.0
9.0,"Delhi TC",5771.0,4330.0,4.2,29.71,2920.7,41882.0,2.63,175694.24,129761.58,11066.15,209.0,62.0
10.0,"Gujarat SRTC",7692.0,6327.0,"NA",26.61,9485.07,40670.0,5.53,472465.74,325906.59,8052.57,1010.0,204.0
11.0,"Haryana ST",3249.0,3080.0,"NA","NA",3768.36,16536.0,4.82,188418.0,133777.0,"NA",296.0,106.0
12.0,"Himachal RTC",1979.0,1958.0,"NA",24.0,1655.46,8486.0,3.65,72840.24,72840.24,39044.01,138.0,14.0
13.0,"J&K SRTC",747.0,327.0,9.97,56.0,176.06,2256.0,4.53,7394.31,8930.59,48.67,28.0,1.0
14.0,"Kadamba TC Ltd.",410.0,286.0,6.53,3.0,286.23,1876.0,4.53,333.7,286.23,281.05,75.0,6.0
15.0,"Karnataka SRTC",7164.0,6577.0,3.2,3.8,8707.67,34019.0,4.85,452798.84,329637.56,8476.12,1278.0,233.0
16.0,"Kerala SRTC",5573.0,4563.0,5.94,28.58,5399.3,38915.0,4.28,6330.85,"NA",12363.0,1026.0,190.0
17.0,"Kolhapur MTU",135.0,125.0,11.0,56.76,108.37,666.0,3.58,4412.05,3019.07,354.69,177.0,7.0
18.0,"Maharashtra SRTC",16212.0,15359.0,4.02,10.36,18973.28,103565.0,4.93,882827.0,545911.0,25367.98,3407.0,445.0
19.0,"Meghalaya STC",50.0,32.0,8.0,47.0,23.02,324.0,3.97,788.48,514.05,6.29,3.0,2.0
20.0,"Metro.TC (Chennai) Ltd.",3414.0,3007.0,2.72,2.31,3471.53,23540.0,4.39,249950.0,217963.0,20145.0,1912.0,133.0
21.0,"Mizoram ST",53.0,28.0,7.7,46.6,11.74,650.0,3.47,329.17,187.54,0.85,0.0,0.0
22.0,"Navi Mumbai  MT",376.0,210.0,5.6,26.0,"NA",2410.0,2.98,"NA","NA",785.91,403.0,1.0
23.0,"North Bengal STC",783.0,468.0,7.9,37.0,402.18,3959.0,4.21,20109.0,13950.93,575.45,90.0,13.0
24.0,"North Eastern Karnataka RTC",3773.0,3441.0,"NA",14.4,4294.94,18038.0,5.25,225913.84,144736.99,4562.5,"NA",126.0
25.0,"North Western Karnataka RTC",4259.0,3916.9,5.05,16.0,4800.93,21458.0,5.03,234227.0,167753.0,6753.0,"NA",131.0
26.0,"Pepsu RTC",1118.0,855.0,8.0,70.0,1189.36,2950.0,4.58,1284.8,1189.36,"NA",76.0,28.0
