"S. No.","State/UT","Sixth Plan [1981-85]","Seventh Plan [1985-90]","Eighth Plan [1992-97]","Ninth Plan [1997-2002]","Tenth Plan [2002-2007]","Eleventh Plan (as on March 2011) [2007-2012]"
1.0,"Andhra Pradesh",555.0,1283.0,1335.0,1386.0,1570.0,1624.0
2.0,"Arunachal Pradesh",0.0,24.0,45.0,65.0,85.0,97.0
3.0,"Assam",237.0,449.0,610.0,610.0,610.0,938.0
4.0,"Bihar1",796.0,2001.0,2209.0,2209.0,1648.0,1863.0
5.0,"Chhattisgarh",0.0,0.0,0.0,0.0,518.0,741.0
6.0,"Goa",13.0,17.0,17.0,19.0,19.0,19.0
7.0,"Gujarat",310.0,842.0,960.0,1032.0,1073.0,1123.0
8.0,"Haryana",163.0,366.0,399.0,403.0,411.0,444.0
9.0,"Himachal Pradesh",106.0,190.0,260.0,302.0,443.0,453.0
10.0,"Jammu & Kashmir",123.0,266.0,335.0,337.0,374.0,397.0
11.0,"Jharkhand",0.0,0.0,0.0,0.0,330.0,330.0
12.0,"Karnataka",365.0,1142.0,1601.0,1676.0,1679.0,2310.0
13.0,"Kerala2",199.0,908.0,938.0,944.0,909.0,809.0
14.0,"Madhya Pradesh1",680.0,1181.0,1690.0,1690.0,1149.0,1156.0
15.0,"Maharashtra",1539.0,1671.0,1695.0,1768.0,1800.0,1809.0
16.0,"Manipur",31.0,64.0,69.0,69.0,72.0,80.0
17.0,"Meghalaya",32.0,56.0,81.0,85.0,103.0,109.0
18.0,"Mizoram",19.0,35.0,55.0,58.0,57.0,57.0
19.0,"Nagaland",21.0,33.0,33.0,46.0,84.0,126.0
20.0,"Odisha",484.0,875.0,1102.0,1352.0,1279.0,1228.0
21.0,"Punjab",130.0,460.0,484.0,484.0,484.0,446.0
22.0,"Rajasthan",448.0,1048.0,1616.0,1674.0,1499.0,1517.0
23.0,"Sikkim",18.0,20.0,24.0,24.0,24.0,24.0
24.0,"Tamil Nadu",436.0,1386.0,1436.0,1436.0,1181.0,1204.0
25.0,"Tripura",32.0,49.0,55.0,58.0,75.0,79.0
26.0,"Uttarakhand",0.0,0.0,0.0,0.0,232.0,239.0
27.0,"Uttar Pradesh1",1169.0,3000.0,3761.0,3808.0,3660.0,3692.0
28.0,"West Bengal",1172.0,1250.0,1262.0,1262.0,922.0,909.0
29.0,"A& N Islands",6.0,14.0,17.0,18.0,20.0,19.0
30.0,"Chandigarh",0.0,0.0,0.0,0.0,0.0,0.0
31.0,"D & N Haveli",3.0,5.0,6.0,6.0,6.0,6.0
32.0,"Daman & Diu",2.0,2.0,3.0,3.0,3.0,3.0
33.0,"Delhi",8.0,8.0,8.0,8.0,8.0,8.0
34.0,"Lakshadweep",4.0,4.0,4.0,4.0,4.0,4.0
35.0,"Puducherry",14.0,22.0,39.0,39.0,39.0,24.0
36.0,"All India Total",9115.0,18671.0,22149.0,22875.0,22370.0,114.0
