"State/Union Territory","Percentage Share of STRs From Banking Sector","Percentage Share of STRs From Insurance Sector","Percentage Share of STRs from Mutual Funds Sector","Total Percentage Share of STRs"
"Maharashtra",25.4,27.3,55.5,29.0
"Delhi",13.1,5.1,4.9,12.1
"West Bengal",5.8,5.3,5.9,7.3
"Gujarat",4.8,9.1,4.5,6.0
"Uttar Pradesh",6.7,7.2,4.0,6.0
"Tamil Nadu",6.3,4.8,4.9,5.7
"Punjab",3.1,9.5,2.0,5.1
"Karnataka",6.5,3.2,3.7,4.7
"Andhra Pradesh",5.6,3.1,3.4,4.4
"Haryana",2.2,5.8,1.4,3.5
"Kerala",3.4,4.5,1.6,3.0
"Madhya Pradesh",2.6,2.7,1.9,1.9
"Rajasthan",2.3,2.1,"NA",1.9
"Chandigarh","NA",1.1,"NA",1.2
"Bihar",2.2,1.1,1.0,1.1
"Chattisgarh",3.4,1.0,1.4,1.1
"Nagaland",0.1,"","NA","NA"
"Orissa","NA",1.2,"NA","NA"
"Assam","NA",1.0,"NA","NA"
