officename,pincode,statename
Agra Fort H.O,282003,UTTAR PRADESH
Akbarpur H.O,224122,UTTAR PRADESH
Aligarh H.O,202001,UTTAR PRADESH
Allahabad Kty. H.O,211002,UTTAR PRADESH
Amroha H.O,244221,UTTAR PRADESH
Auraiya H.O,206122,UTTAR PRADESH
Azamgarh H.O,276001,UTTAR PRADESH
Bahraich H.O,271801,UTTAR PRADESH
Ballia H.O,277001,UTTAR PRADESH
Balrampur H.O,271201,UTTAR PRADESH
Banda H.O,210001,UTTAR PRADESH
Bansi H.O,272153,UTTAR PRADESH
Barabanki H.O,225001,UTTAR PRADESH
Baraut H.O,250611,UTTAR PRADESH
Bareilly H.O,243001,UTTAR PRADESH
Basti H.O,272001,UTTAR PRADESH
Bijnor H.O,246701,UTTAR PRADESH
Budaun H.O,243601,UTTAR PRADESH
Bulandshahr H.O,203001,UTTAR PRADESH
Deoria H.O,274001,UTTAR PRADESH
Dhampur H.O,246761,UTTAR PRADESH
Etah H.O,207001,UTTAR PRADESH
Etawah H.O,206001,UTTAR PRADESH
Faizabad H.O,224001,UTTAR PRADESH
Fatehgarh H.O,209601,UTTAR PRADESH
Fatehpur H.O,212601,UTTAR PRADESH
Firozabad H.O,283203,UTTAR PRADESH
Ghaziabad H.O,201001,UTTAR PRADESH
Ghazipur H.O,233001,UTTAR PRADESH
Gonda H.O,271001,UTTAR PRADESH
Gorakhpur H.O,273001,UTTAR PRADESH
Hamirpur H.O,210301,UTTAR PRADESH
Hapur H.O,245101,UTTAR PRADESH
Hardoi H.O,241001,UTTAR PRADESH
Hotal Clarkshiraj S.O,282001,UTTAR PRADESH
Iit S.O,208016,UTTAR PRADESH
Indrapuram S.O,282001,UTTAR PRADESH
Jaunpur H.O,222001,UTTAR PRADESH
Jhansi H.O,284001,UTTAR PRADESH
Kanpur Cantt. H.O,208004,UTTAR PRADESH
Kheri H.O,262701,UTTAR PRADESH
Khurja H.O,203131,UTTAR PRADESH
Kunraghat H.O,273008,UTTAR PRADESH
Lalganj (Raebareli) H.O,229206,UTTAR PRADESH
Lalitpur H.O,284403,UTTAR PRADESH
Lucknow Chowk H.O,226003,UTTAR PRADESH
Mainpuri H.O,205001,UTTAR PRADESH
Mathura H.O,281001,UTTAR PRADESH
Mau H.O,275101,UTTAR PRADESH
Medical College S.O (Aligarh),202002,UTTAR PRADESH
Meerut Cantt H.O,250001,UTTAR PRADESH
Meerut City H.O,250002,UTTAR PRADESH
Mirzapur H.O,231001,UTTAR PRADESH
Moradabad H.O,244001,UTTAR PRADESH
Muzaffarnagar H.O,251001,UTTAR PRADESH
Nawabganj H.O,208002,UTTAR PRADESH
Noida H.O,201301,UTTAR PRADESH
Orai H.O,285001,UTTAR PRADESH
Padrauna H.O,274304,UTTAR PRADESH
Pilibhit H.O,262001,UTTAR PRADESH
Pratapgarh H.O,230001,UTTAR PRADESH
Raebarely H.O,229001,UTTAR PRADESH
Rampur H.O,244901,UTTAR PRADESH
Rasra H.O,221712,UTTAR PRADESH
Saharanpur H.O,247001,UTTAR PRADESH
Sandila S.O,241204,UTTAR PRADESH
Shahjahanpur H.O,242001,UTTAR PRADESH
Shamli S.O,247776,UTTAR PRADESH
Sitapur H.O,261001,UTTAR PRADESH
Sultanpur (Avadh) H.O,228001,UTTAR PRADESH
Taj S.O,282001,UTTAR PRADESH
Unnao H.O,209801,UTTAR PRADESH
Varanasi Cantt H.O,221002,UTTAR PRADESH
Vrindaban S.O,281121,UTTAR PRADESH
Zamania S.O,232329,UTTAR PRADESH
Almora H.O,263601,UTTARAKHAND
Dehradun Cantt H.O,248003,UTTARAKHAND
Gopeshwar H.O,246401,UTTARAKHAND
Haldwani H.O,263139,UTTARAKHAND
Kotdwara H.O,246149,UTTARAKHAND
Lansdowne H.O,246155,UTTARAKHAND
Nainital H.O,263002,UTTARAKHAND
Pauri H.O,246001,UTTARAKHAND
Pithoragarh H.O,262501,UTTARAKHAND
Ranikhet H.O,263645,UTTARAKHAND
Roorkee H.O,247667,UTTARAKHAND
Tehri H.O,249001,UTTARAKHAND
Alipore H.O,700027,WEST BENGAL
Arambagh H.O,712601,WEST BENGAL
Asansol H.O,713301,WEST BENGAL
Balurghat H.O,733101,WEST BENGAL
Bankura H.O,722101,WEST BENGAL
Barabazar H.O,700007,WEST BENGAL
Barasat H.O,700124,WEST BENGAL
Barrackpore H.O,700120,WEST BENGAL
Baruipur H.O,700144,WEST BENGAL
Basirhat H.O,743411,WEST BENGAL
Beleghata H.O,700010,WEST BENGAL
Belgharia H.O,700056,WEST BENGAL
Berhampore (WB) H.O,742101,WEST BENGAL
Burdwan H.O,713101,WEST BENGAL
Chinsurah H.O,712101,WEST BENGAL
Contai H.O,721401,WEST BENGAL
Cooch Behar H.O,736101,WEST BENGAL
Cossipore H.O,700002,WEST BENGAL
Darjeeling H.O,734101,WEST BENGAL
Diamond Harbour H.O,743331,WEST BENGAL
Durgapur H.O,713201,WEST BENGAL
Durgapur Steel Project S.O,713203,WEST BENGAL
Howrah H.O,711101,WEST BENGAL
Jalpaiguri H.O,735101,WEST BENGAL
Jhargram H.O,721507,WEST BENGAL
Kalyani H.O,741235,WEST BENGAL
Kandi H.O,742137,WEST BENGAL
Katwa H.O,713130,WEST BENGAL
Kharagpur Technology S.O,721302,WEST BENGAL
Krishnanagar H.O,741101,WEST BENGAL
Mal H.O,735221,WEST BENGAL
Malda H.O,732101,WEST BENGAL
Midnapore H.O,721101,WEST BENGAL
Nabadwip H.O,741302,WEST BENGAL
Park Street H.O,700016,WEST BENGAL
Purulia H.O,723101,WEST BENGAL
Raghunathganj H.O,742225,WEST BENGAL
Rampurhat H.O,731224,WEST BENGAL
Ranaghat H.O,741201,WEST BENGAL
Raniganj H.O,713347,WEST BENGAL
Salkia H.O,711106,WEST BENGAL
Serampore H.O,712201,WEST BENGAL
Suri H.O,731101,WEST BENGAL
Tamluk H.O,721636,WEST BENGAL
Tollygunge H.O,700033,WEST BENGAL
