"Year","States/ UTs","Ayurveda - No.","Ayurveda - Cap","Unani - No.","Unani - Cap","Siddha - No.","Siddha - Cap","Naturopathy - No.","Naturopathy - Cap","Homoeopathy - No.","Homoeopathy - Cap","Total - No.","Total - Cap"
2011.0,"GRAND TOTAL",260.0,9927.0,40.0,1791.0,7.0,350.0,14.0,650.0,183.0,12658.0,504.0,25376.0
2011.0,"Andhra Pradesh",7.0,170.0,2.0,125.0,"NA","NA",3.0,180.0,6.0,320.0,18.0,795.0
2011.0,"Arunachal Pradesh","NA","NA","NA","NA","NA","NA","NA","NA",1.0,50.0,1.0,50.0
2011.0,"Assam",1.0,50.0,"NULL","NULL","NA","NA","NA","NA",3.0,140.0,4.0,190.0
2011.0,"Bihar",11.0,140.0,4.0,180.0,"NA","NA","NA","NA",13.0,730.0,28.0,1050.0
2011.0,"Chhattisgarh",3.0,115.0,1.0,40.0,"NA","NA",1.0,40.0,3.0,200.0,8.0,395.0
2011.0,"Goa",1.0,40.0,"NA","NA","NA","NA","NA","NA",2.0,50.0,3.0,90.0
2011.0,"Gujarat",11.0,380.0,"NA","NA","NA","NA",1.0,25.0,16.0,1525.0,28.0,1930.0
2011.0,"Haryana",7.0,270.0,"NA","NA","NA","NA","NA","NA",1.0,50.0,8.0,320.0
2011.0,"Himachal Pradesh",1.0,50.0,"NA","NA","NA","NA","NA","NA",1.0,75.0,2.0,125.0
2011.0,"Jammu & Kashmir",1.0,90.0,2.0,80.0,"NA","NA","NA","NA","NA","NA",3.0,170.0
2011.0,"Jharkhand",1.0,40.0,"NA","NA","NA","NA","NA","NA",3.0,150.0,4.0,190.0
2011.0,"Karnataka",59.0,2305.0,4.0,170.0,"NA","NA",3.0,145.0,11.0,780.0,77.0,3400.0
2011.0,"Kerala",17.0,820.0,"NA","NA",1.0,50.0,"NA","NA",5.0,250.0,23.0,1120.0
2011.0,"Madhya Pradesh",18.0,510.0,4.0,180.0,"NA","NA",2.0,100.0,20.0,1755.0,44.0,2545.0
2011.0,"Maharashtra",63.0,3220.0,6.0,320.0,"NA","NA","NA","NA",47.0,3460.0,116.0,7000.0
2011.0,"Orissa",6.0,150.0,"NA","NA","NA","NA","NA","NA",6.0,195.0,12.0,345.0
2011.0,"Punjab",13.0,400.0,"NA","NA","NA","NA","NA","NA",4.0,270.0,17.0,670.0
2011.0,"Rajasthan",8.0,232.0,2.0,40.0,"NA","NA","NA","NA",7.0,550.0,17.0,822.0
2011.0,"Tamil Nadu",5.0,210.0,1.0,40.0,7.0,426.0,4.0,155.0,10.0,780.0,27.0,1611.0
2011.0,"Uttar Pradesh",16.0,455.0,11.0,510.0,"NA","NA","NA","NA",9.0,450.0,36.0,1415.0
2011.0,"Uttarakhand",5.0,210.0,"NA","NA","NA","NA","NA","NA",1.0,50.0,6.0,260.0
2011.0,"West Bengal",2.0,50.0,1.0,30.0,"NA","NA","NA","NA",12.0,658.0,15.0,738.0
2011.0,"Delhi",2.0,140.0,2.0,90.0,"NA","NA","NA","NA",1.0,150.0,6.0,380.0
2011.0,"Chandigrah",1.0,"NA","NA","NA","NA","NA","NA","NA",1.0,50.0,2.0,50.0
