"S. No. ","State or Union Territory","No. of Colleges - Govt","Admission Capacity - Govt","No. of Colleges - Others","Admission Capacity - Others","Per College Average 
admission capacity"
1.0," Andhra Pradesh ",3.0,130.0,4.0,40.0,24.2857142857
2.0," Assam  ",1.0,50.0,0.0,0.0,50.0
3.0," Bihar ",5.0,40.0,6.0,100.0,12.7272727273
4.0," Chhattisgarh  ",1.0,55.0,2.0,60.0,38.3333333333
5.0," Delhi  ",2.0,140.0,0.0,0.0,70.0
6.0," Goa  ",0.0,0.0,1.0,40.0,40.0
7.0," Gujarat  ",6.0,120.0,6.0,270.0,32.5
8.0," Haryana  ",1.0,50.0,6.0,270.0,45.7142857143
9.0," Himachal Pradesh  ",1.0,50.0,0.0,0.0,50.0
10.0," Jammu  and Kashmir  ",0.0,0.0,1.0,90.0,90.0
11.0," Jharkhand  ",0.0,0.0,1.0,40.0,40.0
12.0," Karnataka  ",3.0,150.0,55.0,2205.0,40.6034482759
13.0," Kerala",3.0,160.0,14.0,710.0,51.1764705882
14.0," Madhya Pradesh  ",7.0,260.0,11.0,200.0,25.5555555556
15.0," Maharashtra  ",4.0,220.0,58.0,3065.0,52.9838709677
16.0," Orissa  ",3.0,60.0,3.0,80.0,23.3333333333
17.0," Punjab  ",1.0,40.0,11.0,470.0,42.5
18.0," Rajasthan  ",3.0,192.0,5.0,100.0,36.5
19.0," Tamil Nadu  ",1.0,0.0,6.0,130.0,18.5714285714
20.0," Uttar Pradesh  ",9.0,307.0,7.0,285.0,37.0
21.0," Uttarakhand  ",2.0,110.0,3.0,100.0,42.0
22.0,"West Bengal",2.0,0.0,1.0,50.0,16.6666666667
23.0,"Chandigarh",0.0,0.0,1.0,0.0,0.0
