States/Union Territory,   Name of the District,Number of Sub Centres,Number of  Primary Health Centres,Number of Community Health Centres,Sub Divisional Hospital,District Hospital
A & N Islands ,Nicobar,36,3,1,0,1
A & N Islands ,North & Middle Andaman,41,7,2,0,1
A & N Islands ,South Andaman,37,9,1,0,1
Andhra Pradesh,Adilabad,470,70,13,2,0
Andhra Pradesh,Anantapur,609,82,11,3,0
Andhra Pradesh,Chittoor,653,94,9,5,1
Andhra Pradesh,Kadapa,462,72,12,1,1
Andhra Pradesh,East Godavari,809,96,20,3,1
Andhra Pradesh,Guntur,689,74,16,2,1
Andhra Pradesh,Hyderabad,53,10,0,4,1
Andhra Pradesh,Karimnagar,580,70,16,3,1
Andhra Pradesh,Khammam,591,69,13,2,1
Andhra Pradesh,Krishna,609,72,9,2,1
Andhra Pradesh,Kurnool,576,88,18,1,1
Andhra Pradesh,Mahbubnagar,680,85,14,4,1
Andhra Pradesh,Medak,489,67,8,3,1
Andhra Pradesh,Nalgonda,626,72,4,4,1
Andhra Pradesh,Nellore,481,61,15,2,1
Andhra Pradesh,Nizamabad,412,50,14,3,1
Andhra Pradesh,Prakasam,555,85,14,3,0
Andhra Pradesh,Rangareddi,399,48,9,1,1
Andhra Pradesh,Srikakulam,488,86,14,2,0
Andhra Pradesh,Visakhapatnam,573,76,13,2,0
Andhra Pradesh,Vizianagaram,470,58,10,1,1
Andhra Pradesh,Warangal,605,69,14,2,0
Andhra Pradesh,West Godavari,643,70,15,3,1
Arunachal Pradesh,Anjaw,NA,NA,NA,0,0
Arunachal Pradesh,Changlang,NA,NA,NA,0,1
Arunachal Pradesh,Dibang Valley,NA,NA,NA,0,1
Arunachal Pradesh,East Kameng,NA,NA,NA,0,1
Arunachal Pradesh,East Siang,NA,NA,NA,0,1
Arunachal Pradesh,Lohit,NA,NA,NA,0,1
Arunachal Pradesh,Lower Dibang Valley,NA,NA,NA,0,1
Arunachal Pradesh,Lower Subansiri,NA,NA,NA,0,1
Arunachal Pradesh,Papum Pare,NA,NA,NA,0,1
Arunachal Pradesh,Tawang,NA,NA,NA,0,1
Arunachal Pradesh,Tirap,NA,NA,NA,0,1
Arunachal Pradesh,Upper Siang,NA,NA,NA,0,1
Arunachal Pradesh,Upper Subansiri,NA,NA,NA,0,1
Arunachal Pradesh,West Kameng,NA,NA,NA,0,1
Arunachal Pradesh,West Siang,NA,NA,NA,0,1
Arunachal Pradesh,KurumKumey,NA,NA,NA,0,0
Assam,Barpeta,264,50,7,1,1
Assam,Bongaigaon,87,30,2,0,1
Assam,Baksa,157,40,5,0,0
Assam,Cachar,269,30,1,0,1
Assam,Chirang,76,24,2,0,1
Assam,Darrang,163,31,4,0,1
Assam,Dhemaji,98,21,3,0,1
Assam,Dhubri,246,44,6,1,1
Assam,Dibrugarh,231,28,5,0,0
Assam,Goalpara,151,41,2,0,1
Assam,Golaghat,144,42,4,1,1
Assam,Hailakandi,105,12,2,0,1
Assam,Jorhat,143,41,3,2,0
Assam,Kamrup (Rural),280,69,9,1,1
Assam,Kamrup (Metro) ,51,22,3,0,1
Assam,Karbi Anglong,145,47,5,1,1
Assam,Karimganj,217,23,1,0,1
Assam,Kokrajhar,159,45,4,1,1
Assam,Lakhimpur,156,28,5,1,1
Assam,Morigaon,123,29,2,0,1
Assam,Nagaon,349,47,11,0,1
Assam,Nalbari,121,46,7,0,1
Assam,N.C.HILLS,65,10,2,0,1
Assam,Sivasagar,219,43,2,2,1
Assam,Sonitpur,279,53,3,2,1
Assam,Tinsukia,164,19,5,0,1
Assam,Udalguri,142,23,3,0,1
Bihar,Araria,199,33,2,1,1
Bihar,Aurangabad,216,70,3,0,1
Bihar,Arwal,64,28,0,0,1
Bihar,Banka,265,43,3,1,1
Bihar,Begusarai,287,41,2,1,1
Bihar,Bhagalpur,258,71,3,2,1
Bihar,Bhojpur,302,42,3,1,1
