"Diesel Vehicles (GVW Upto 3.5 Tons)-Engine Dynamometer  (g/kwh)  ","2000 #","BS II"
"Carbon Monoxide(CO)",4.5,4.0
"Hydrocarbon(HC)",1.1,1.1
"Oxide of Nitrogen (NOX)",8.0,7.0
"Hydrocarbon and Oxide of Nitrogen(HC+NOX)","NA","NA"
"Particulate Matter (PM)","0.36/0.61",0.15
