"Year","Coal Coking","Coal Non-coking","Total","Hard Coke","Washed coke","Total"
"2000-01",30.9,282.796,313.696,11.701,8.642,20.343
"2001-02 ",28.67,299.12,327.79,11.73,8.01,19.74
"2002-03 ",30.2,311.08,341.28,13.92,8.2,22.12
"2003-04",29.4,331.85,361.25,13.12,8.2,21.32
"2004-05",30.22,352.39,382.61,12.67,8.79,21.46
"2005-06",31.511,375.502,407.013,13.376,8.378,21.754
"2006-07",32.097,398.735,430.832,12.566,7.025,19.591
"2007-08",34.455,422.627,457.082,12.542,7.171,19.713
"2008-09",34.809,457.948,492.757,13.68,7.181,19.154
"2009-10",44.26,487.81,532.06,12.66,"NA",12.66
"2010-11(P)",49.55,483.15,532.69,10.84,"NA",10.84
