"Item","2007-08","2008-09","2009-10","2010-11","2011-12 ","2012-13"
"Consumer Electronics",1600.0,2600.0,3000.0,1400.0,1227.0,"NA"
"Industrial Electronics",3885.0,4200.0,3500.0,4500.0,5600.0,"NA"
"Computer Hardware",990.0,1650.0,1900.0,1300.0,2100.0,"NA"
"Communication & Broadcast Equipments",625.0,12280.0,7800.0,14800.0,18200.0,"NA"
"Electronic Components",6100.0,10500.0,9700.0,18400.0,15500.0,"NA"
"Sub-Total",13200.0,31230.0,25900.0,40400.0,42627.0,45000.0
"Computer Software",164400.0,216190.0,237000.0,268610.0,332769.0,410836.0
"Total",177600.0,247420.0,262900.0,309010.0,375396.0,455836.0
